dataset_id	object_id	unit_id	donor_id	plate_id	completion_date	library_batch	producer_replicate
DEMO_DATASET	O01A	U01	D01	P01	2025-01-01	L1	PR1
DEMO_DATASET	O01B	U01	D01	P01	2025-01-01	L1	PR1
DEMO_DATASET	O02A	U02	D02	P02	2025-01-01	L1	PR2
DEMO_DATASET	O02B	U02	D02	P02	2025-01-01	L1	PR2
DEMO_DATASET	O03A	U03	D03	P03	2025-01-02	L1	PR3
DEMO_DATASET	O03B	U03	D03	P03	2025-01-02	L1	PR3
DEMO_DATASET	O04A	U04	D04	P04	2025-01-02	L1	PR4
DEMO_DATASET	O04B	U04	D04	P04	2025-01-02	L1	PR4
DEMO_DATASET	O05A	U05	D05	P05	2025-01-03	L2	PR1
DEMO_DATASET	O05B	U05	D05	P05	2025-01-03	L2	PR1
DEMO_DATASET	O06A	U06	D06	P06	2025-01-03	L2	PR2
DEMO_DATASET	O06B	U06	D06	P06	2025-01-03	L2	PR2
DEMO_DATASET	O07A	U07	D07	P07	2025-01-04	L2	PR3
DEMO_DATASET	O07B	U07	D07	P07	2025-01-04	L2	PR3
DEMO_DATASET	O08A	U08	D08	P08	2025-01-04	L2	PR4
DEMO_DATASET	O08B	U08	D08	P08	2025-01-04	L2	PR4
