dataset_id	allocation_id	unit_id	method_id	utility
DEMO_DATASET	shared_D	U01	METHOD_A	101
DEMO_DATASET	shared_D	U01	METHOD_B	91
DEMO_DATASET	shared_D	U01	METHOD_C	81
DEMO_DATASET	shared_D	U02	METHOD_A	102
DEMO_DATASET	shared_D	U02	METHOD_B	92
DEMO_DATASET	shared_D	U02	METHOD_C	82
DEMO_DATASET	shared_D	U03	METHOD_A	103
DEMO_DATASET	shared_D	U03	METHOD_B	93
DEMO_DATASET	shared_D	U03	METHOD_C	83
DEMO_DATASET	shared_D	U04	METHOD_A	104
DEMO_DATASET	shared_D	U04	METHOD_B	94
DEMO_DATASET	shared_D	U04	METHOD_C	84
DEMO_DATASET	shared_D	U05	METHOD_A	105
DEMO_DATASET	shared_D	U05	METHOD_B	95
DEMO_DATASET	shared_D	U05	METHOD_C	85
DEMO_DATASET	shared_D	U06	METHOD_A	106
DEMO_DATASET	shared_D	U06	METHOD_B	96
DEMO_DATASET	shared_D	U06	METHOD_C	86
DEMO_DATASET	shared_D	U07	METHOD_A	107
DEMO_DATASET	shared_D	U07	METHOD_B	97
DEMO_DATASET	shared_D	U07	METHOD_C	87
DEMO_DATASET	shared_D	U08	METHOD_A	108
DEMO_DATASET	shared_D	U08	METHOD_B	98
DEMO_DATASET	shared_D	U08	METHOD_C	88
DEMO_DATASET	disjoint_D	U01	METHOD_A	51
DEMO_DATASET	disjoint_D	U01	METHOD_B	51
DEMO_DATASET	disjoint_D	U01	METHOD_C	31
DEMO_DATASET	disjoint_D	U02	METHOD_A	52
DEMO_DATASET	disjoint_D	U02	METHOD_B	42
DEMO_DATASET	disjoint_D	U02	METHOD_C	32
DEMO_DATASET	disjoint_D	U03	METHOD_A	53
DEMO_DATASET	disjoint_D	U03	METHOD_B	43
DEMO_DATASET	disjoint_D	U03	METHOD_C	33
DEMO_DATASET	disjoint_D	U04	METHOD_A	54
DEMO_DATASET	disjoint_D	U04	METHOD_B	44
DEMO_DATASET	disjoint_D	U04	METHOD_C	34
DEMO_DATASET	disjoint_D	U05	METHOD_A	55
DEMO_DATASET	disjoint_D	U05	METHOD_B	45
DEMO_DATASET	disjoint_D	U05	METHOD_C	35
DEMO_DATASET	disjoint_D	U06	METHOD_A	56
DEMO_DATASET	disjoint_D	U06	METHOD_B	46
DEMO_DATASET	disjoint_D	U06	METHOD_C	36
DEMO_DATASET	disjoint_D	U07	METHOD_A	57
DEMO_DATASET	disjoint_D	U07	METHOD_B	47
DEMO_DATASET	disjoint_D	U07	METHOD_C	37
DEMO_DATASET	disjoint_D	U08	METHOD_A	58
DEMO_DATASET	disjoint_D	U08	METHOD_B	48
DEMO_DATASET	disjoint_D	U08	METHOD_C	38
DEMO_DATASET	crossfit_D	U01	METHOD_A	11
DEMO_DATASET	crossfit_D	U01	METHOD_B	11
DEMO_DATASET	crossfit_D	U01	METHOD_C	11
DEMO_DATASET	crossfit_D	U02	METHOD_A	12
DEMO_DATASET	crossfit_D	U02	METHOD_B	12
DEMO_DATASET	crossfit_D	U02	METHOD_C	12
DEMO_DATASET	crossfit_D	U03	METHOD_A	13
DEMO_DATASET	crossfit_D	U03	METHOD_B	13
DEMO_DATASET	crossfit_D	U03	METHOD_C	13
DEMO_DATASET	crossfit_D	U04	METHOD_A	14
DEMO_DATASET	crossfit_D	U04	METHOD_B	14
DEMO_DATASET	crossfit_D	U04	METHOD_C	14
DEMO_DATASET	crossfit_D	U05	METHOD_A	15
DEMO_DATASET	crossfit_D	U05	METHOD_B	15
DEMO_DATASET	crossfit_D	U05	METHOD_C	15
DEMO_DATASET	crossfit_D	U06	METHOD_A	16
DEMO_DATASET	crossfit_D	U06	METHOD_B	16
DEMO_DATASET	crossfit_D	U06	METHOD_C	16
DEMO_DATASET	crossfit_D	U07	METHOD_A	17
DEMO_DATASET	crossfit_D	U07	METHOD_B	17
DEMO_DATASET	crossfit_D	U07	METHOD_C	17
DEMO_DATASET	crossfit_D	U08	METHOD_A	18
DEMO_DATASET	crossfit_D	U08	METHOD_B	18
DEMO_DATASET	crossfit_D	U08	METHOD_C	18
