dataset_id	allocation_id	unit_id	method_id	utility
SYNTHETIC_DEMO	shared_D	U01	METHOD_A	11
SYNTHETIC_DEMO	shared_D	U01	METHOD_B	10
SYNTHETIC_DEMO	shared_D	U02	METHOD_A	12
SYNTHETIC_DEMO	shared_D	U02	METHOD_B	11
SYNTHETIC_DEMO	shared_D	U03	METHOD_A	13
SYNTHETIC_DEMO	shared_D	U03	METHOD_B	12
SYNTHETIC_DEMO	shared_D	U04	METHOD_A	14
SYNTHETIC_DEMO	shared_D	U04	METHOD_B	13
SYNTHETIC_DEMO	shared_D	U05	METHOD_A	15
SYNTHETIC_DEMO	shared_D	U05	METHOD_B	14
SYNTHETIC_DEMO	shared_D	U06	METHOD_A	16
SYNTHETIC_DEMO	shared_D	U06	METHOD_B	15
SYNTHETIC_DEMO	disjoint_D	U01	METHOD_A	10
SYNTHETIC_DEMO	disjoint_D	U01	METHOD_B	11
SYNTHETIC_DEMO	disjoint_D	U02	METHOD_A	11
SYNTHETIC_DEMO	disjoint_D	U02	METHOD_B	12
SYNTHETIC_DEMO	disjoint_D	U03	METHOD_A	12
SYNTHETIC_DEMO	disjoint_D	U03	METHOD_B	13
SYNTHETIC_DEMO	disjoint_D	U04	METHOD_A	13
SYNTHETIC_DEMO	disjoint_D	U04	METHOD_B	14
SYNTHETIC_DEMO	disjoint_D	U05	METHOD_A	14
SYNTHETIC_DEMO	disjoint_D	U05	METHOD_B	15
SYNTHETIC_DEMO	disjoint_D	U06	METHOD_A	15
SYNTHETIC_DEMO	disjoint_D	U06	METHOD_B	16
