label_id	inference_block	uses_original_primary_prediction_reference	minimum_absolute_score_in_both_predictions	task_programs_with_opposite_active_directions	tasks_with_at_least_one_opposite_active_direction	donors_with_at_least_one_opposite_active_direction	task_program_denominator	task_denominator	donor_denominator
0	1	True	0.0	304	39	8	1480	40	8
0	1	True	0.01	163	38	8	1480	40	8
0	1	True	0.025	70	34	8	1480	40	8
0	1	True	0.05	16	13	7	1480	40	8
0	2	False	0.0	320	40	8	1480	40	8
0	2	False	0.01	173	40	8	1480	40	8
0	2	False	0.025	69	35	8	1480	40	8
0	2	False	0.05	24	18	8	1480	40	8
0	3	False	0.0	299	40	8	1480	40	8
0	3	False	0.01	180	39	8	1480	40	8
0	3	False	0.025	84	37	8	1480	40	8
0	3	False	0.05	16	14	7	1480	40	8
100	1	False	0.0	319	39	8	1480	40	8
100	1	False	0.01	167	39	8	1480	40	8
100	1	False	0.025	68	33	8	1480	40	8
100	1	False	0.05	20	16	8	1480	40	8
100	2	False	0.0	306	40	8	1480	40	8
100	2	False	0.01	170	38	8	1480	40	8
100	2	False	0.025	66	30	8	1480	40	8
100	2	False	0.05	17	12	6	1480	40	8
100	3	False	0.0	308	38	8	1480	40	8
100	3	False	0.01	173	37	8	1480	40	8
100	3	False	0.025	75	30	8	1480	40	8
100	3	False	0.05	20	15	8	1480	40	8
200	1	False	0.0	321	40	8	1480	40	8
200	1	False	0.01	178	39	8	1480	40	8
200	1	False	0.025	70	32	8	1480	40	8
200	1	False	0.05	18	13	6	1480	40	8
200	2	False	0.0	308	39	8	1480	40	8
200	2	False	0.01	163	39	8	1480	40	8
200	2	False	0.025	64	33	8	1480	40	8
200	2	False	0.05	15	12	7	1480	40	8
200	3	False	0.0	312	39	8	1480	40	8
200	3	False	0.01	181	38	8	1480	40	8
200	3	False	0.025	67	31	8	1480	40	8
200	3	False	0.05	14	11	7	1480	40	8
300	1	False	0.0	318	40	8	1480	40	8
300	1	False	0.01	175	40	8	1480	40	8
