label_id	inference_block	uses_original_primary_prediction_reference	top_k_by_absolute_predicted_score	tasks_with_different_S_D_top_k_sets	mean_S_D_top_k_intersection	task_denominator
0	1	True	1	0	1.0	40
0	1	True	3	11	2.725	40
0	1	True	5	36	3.85	40
0	1	True	10	39	7.2	40
0	2	False	1	0	1.0	40
0	2	False	3	11	2.7	40
0	2	False	5	34	3.8	40
0	2	False	10	40	7.275	40
0	3	False	1	0	1.0	40
0	3	False	3	11	2.725	40
0	3	False	5	32	3.925	40
0	3	False	10	39	7.15	40
100	1	False	1	0	1.0	40
100	1	False	3	12	2.675	40
100	1	False	5	34	3.95	40
100	1	False	10	40	7.225	40
100	2	False	1	0	1.0	40
100	2	False	3	13	2.675	40
100	2	False	5	33	3.85	40
100	2	False	10	40	7.025	40
100	3	False	1	0	1.0	40
100	3	False	3	19	2.5	40
100	3	False	5	33	4.0	40
100	3	False	10	39	7.425	40
200	1	False	1	0	1.0	40
200	1	False	3	12	2.675	40
200	1	False	5	36	3.875	40
200	1	False	10	38	7.225	40
200	2	False	1	0	1.0	40
200	2	False	3	12	2.675	40
200	2	False	5	30	4.025	40
200	2	False	10	39	7.075	40
200	3	False	1	0	1.0	40
200	3	False	3	11	2.725	40
200	3	False	5	34	3.875	40
200	3	False	10	40	7.225	40
300	1	False	1	0	1.0	40
300	1	False	3	14	2.65	40
300	1	False	5	30	4.0	40
300	1	False	10	39	7.525	40
300	2	False	1	0	1.0	40
300	2	False	3	16	2.575	40
300	2	False	5	32	3.975	40
300	2	False	10	40	7.3	40
300	3	False	1	0	1.0	40
300	3	False	3	13	2.65	40
300	3	False	5	37	3.725	40
300	3	False	10	40	7.075	40
400	1	False	1	0	1.0	40
400	1	False	3	14	2.65	40
400	1	False	5	34	3.925	40
400	1	False	10	39	7.225	40
400	2	False	1	0	1.0	40
400	2	False	3	12	2.675	40
400	2	False	5	29	4.0	40
400	2	False	10	40	7.3	40
400	3	False	1	0	1.0	40
400	3	False	3	15	2.6	40
400	3	False	5	35	3.875	40
400	3	False	10	40	7.4	40
500	1	False	1	0	1.0	40
500	1	False	3	11	2.7	40
500	1	False	5	36	3.8	40
500	1	False	10	40	7.45	40
500	2	False	1	0	1.0	40
500	2	False	3	11	2.725	40
500	2	False	5	35	3.875	40
500	2	False	10	40	7.15	40
500	3	False	1	0	1.0	40
500	3	False	3	12	2.7	40
500	3	False	5	33	3.85	40
500	3	False	10	40	7.3	40
600	1	False	1	0	1.0	40
600	1	False	3	15	2.6	40
600	1	False	5	30	4.0	40
600	1	False	10	40	7.275	40
600	2	False	1	0	1.0	40
600	2	False	3	15	2.625	40
600	2	False	5	33	3.925	40
600	2	False	10	40	7.3	40
600	3	False	1	0	1.0	40
600	3	False	3	9	2.75	40
600	3	False	5	35	3.8	40
600	3	False	10	40	7.325	40
700	1	False	1	0	1.0	40
700	1	False	3	15	2.625	40
700	1	False	5	34	3.875	40
700	1	False	10	40	7.35	40
700	2	False	1	0	1.0	40
700	2	False	3	10	2.75	40
700	2	False	5	36	3.85	40
700	2	False	10	39	7.275	40
700	3	False	1	0	1.0	40
700	3	False	3	8	2.8	40
700	3	False	5	31	3.85	40
700	3	False	10	39	7.3	40
800	1	False	1	0	1.0	40
800	1	False	3	12	2.675	40
800	1	False	5	35	3.875	40
800	1	False	10	40	7.225	40
800	2	False	1	0	1.0	40
800	2	False	3	11	2.7	40
800	2	False	5	30	4.05	40
800	2	False	10	39	7.075	40
800	3	False	1	0	1.0	40
800	3	False	3	15	2.625	40
800	3	False	5	34	3.925	40
800	3	False	10	39	7.4	40
900	1	False	1	0	1.0	40
900	1	False	3	14	2.625	40
900	1	False	5	36	3.875	40
900	1	False	10	40	7.275	40
900	2	False	1	0	1.0	40
900	2	False	3	9	2.75	40
900	2	False	5	32	3.95	40
900	2	False	10	40	7.325	40
900	3	False	1	0	1.0	40
900	3	False	3	12	2.7	40
900	3	False	5	31	4.05	40
900	3	False	10	40	7.25	40
