root_index	policy	selected_model_index	maximum_utility	selected_utility	maximizer_indices	top_two_gap	gap_to_best_outside_tie	selection_root_indices	root_id	selected_model	selected_model_id	maximizer_models
0	S	6	-0.1305855231538954	-0.1305855231538954	6	0.10814045403135047	0.10814045403135047	1,2,3,4,5,6,7	ROOT_01	scGen	SCGEN_2_1_1_ABSOLUTE_V1	SCGEN_2_1_1_ABSOLUTE_V1
0	D	3	-0.23872597718524588	-0.23872597718524588	3	0.00011890518223020563	0.00011890518223020563	1,2,3,4,5,6,7	ROOT_01	PCA-64 ridge	PCA64_ADDITIVE_RIDGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1
1	S	6	-0.13238386375600109	-0.13238386375600109	6	0.10937700494265923	0.10937700494265923	0,2,3,4,5,6,7	ROOT_02	scGen	SCGEN_2_1_1_ABSOLUTE_V1	SCGEN_2_1_1_ABSOLUTE_V1
1	D	3	-0.24176086869866031	-0.24176086869866031	3	6.41010802745201e-05	6.41010802745201e-05	0,2,3,4,5,6,7	ROOT_02	PCA-64 ridge	PCA64_ADDITIVE_RIDGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1
2	S	6	-0.13333269581349164	-0.13333269581349164	6	0.10970933663651228	0.10970933663651228	0,1,3,4,5,6,7	ROOT_03	scGen	SCGEN_2_1_1_ABSOLUTE_V1	SCGEN_2_1_1_ABSOLUTE_V1
2	D	3	-0.24304203245000394	-0.24304203245000394	3	8.923680340269802e-05	8.923680340269802e-05	0,1,3,4,5,6,7	ROOT_03	PCA-64 ridge	PCA64_ADDITIVE_RIDGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1
3	S	6	-0.13267570511906138	-0.13267570511906138	6	0.10952926893098142	0.10952926893098142	0,1,2,4,5,6,7	ROOT_04	scGen	SCGEN_2_1_1_ABSOLUTE_V1	SCGEN_2_1_1_ABSOLUTE_V1
3	D	3	-0.2422049740500428	-0.2422049740500428	3	0.0001478948861361462	0.0001478948861361462	0,1,2,4,5,6,7	ROOT_04	PCA-64 ridge	PCA64_ADDITIVE_RIDGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1
4	S	6	-0.13275595517491268	-0.13275595517491268	6	0.10913635503115615	0.10913635503115615	0,1,2,3,5,6,7	ROOT_05	scGen	SCGEN_2_1_1_ABSOLUTE_V1	SCGEN_2_1_1_ABSOLUTE_V1
4	D	3	-0.24189231020606883	-0.24189231020606883	3	4.017277862383706e-05	4.017277862383706e-05	0,1,2,3,5,6,7	ROOT_05	PCA-64 ridge	PCA64_ADDITIVE_RIDGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1
5	S	6	-0.1318119084616958	-0.1318119084616958	6	0.10856191112215058	0.10856191112215058	0,1,2,3,4,6,7	ROOT_06	scGen	SCGEN_2_1_1_ABSOLUTE_V1	SCGEN_2_1_1_ABSOLUTE_V1
5	D	3	-0.24037381958384638	-0.24037381958384638	3	0.00014095177487727373	0.00014095177487727373	0,1,2,3,4,6,7	ROOT_06	PCA-64 ridge	PCA64_ADDITIVE_RIDGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1
6	S	6	-0.12366052232818954	-0.12366052232818954	6	0.11079949787928088	0.11079949787928088	0,1,2,3,4,5,7	ROOT_07	scGen	SCGEN_2_1_1_ABSOLUTE_V1	SCGEN_2_1_1_ABSOLUTE_V1
6	D	3	-0.23446002020747042	-0.23446002020747042	3	0.00017912555593624369	0.00017912555593624369	0,1,2,3,4,5,7	ROOT_07	PCA-64 ridge	PCA64_ADDITIVE_RIDGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1
7	S	6	-0.13144805001391405	-0.13144805001391405	6	0.10817394113401202	0.10817394113401202	0,1,2,3,4,5,6	ROOT_08	scGen	SCGEN_2_1_1_ABSOLUTE_V1	SCGEN_2_1_1_ABSOLUTE_V1
7	D	3	-0.23962199114792607	-0.23962199114792607	3	7.210112315558792e-05	7.210112315558792e-05	0,1,2,3,4,5,6	ROOT_08	PCA-64 ridge	PCA64_ADDITIVE_RIDGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1
