task_row	root_id	task_id	cell_type	selected_model_S	selected_model_D	selected_model_id_S	selected_model_id_D	selection_changed	program_prediction_difference	program_error_S	program_error_D	program_error_change	rms_observed	rms_S	rms_D
0	ROOT_01	T01	B	scGen	PCA-64 ridge	SCGEN_2_1_1_ABSOLUTE_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	True	0.045196093985195494	0.07824480457051633	0.06328734815777716	-0.01495745641273917	0.42703093785050994	0.3556983918345539	0.22000263067036915
1	ROOT_01	T02	CD4_T	scGen	PCA-64 ridge	SCGEN_2_1_1_ABSOLUTE_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	True	0.046155695932171475	0.08261628387326027	0.0687271761196712	-0.013889107753589064	0.42462473778506327	0.33565865532103567	0.19671713484447265
2	ROOT_01	T03	CD8_T	scGen	PCA-64 ridge	SCGEN_2_1_1_ABSOLUTE_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	True	0.05032688606411793	0.1476353094324185	0.12492052145328299	-0.022714787979135523	0.4688090462297071	0.38070437238202126	0.21494474632246846
3	ROOT_01	T04	monocytes_combined	scGen	PCA-64 ridge	SCGEN_2_1_1_ABSOLUTE_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	True	0.08158026527775124	0.11249673511520163	0.11875103718236663	0.006254302067164999	0.45014787247094845	0.39755896505792626	0.30866345680552504
4	ROOT_01	T05	NK_combined	scGen	PCA-64 ridge	SCGEN_2_1_1_ABSOLUTE_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	True	0.05306910667450677	0.08219600021547889	0.09170730932539681	0.009511309109917918	0.4936309798181309	0.4113707484861795	0.24783995236777487
5	ROOT_02	T01	B	scGen	PCA-64 ridge	SCGEN_2_1_1_ABSOLUTE_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	True	0.04510655500375329	0.08244309517354412	0.07020784019662953	-0.012235254976914592	0.4377810915549526	0.33746787332617195	0.22000263067036915
6	ROOT_02	T02	CD4_T	scGen	PCA-64 ridge	SCGEN_2_1_1_ABSOLUTE_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	True	0.04537379819067325	0.0835055387276706	0.06728142155105889	-0.016224117176611708	0.42809252829417405	0.33123578281014643	0.19671713484447265
7	ROOT_02	T03	CD8_T	scGen	PCA-64 ridge	SCGEN_2_1_1_ABSOLUTE_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	True	0.037462370800220864	0.08043267117247228	0.07094960973065487	-0.009483061441817417	0.47864311321506453	0.35575063022232517	0.21494474632246846
8	ROOT_02	T04	monocytes_combined	scGen	PCA-64 ridge	SCGEN_2_1_1_ABSOLUTE_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	True	0.07060480920732863	0.08903921939393769	0.10298770107378735	0.013948481679849661	0.5042364563159493	0.400979132620725	0.30866345680552504
9	ROOT_02	T05	NK_combined	scGen	PCA-64 ridge	SCGEN_2_1_1_ABSOLUTE_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	True	0.048842468219268194	0.07144168517230039	0.07061508191560517	-0.0008266032566952158	0.5057560908222424	0.3978083446089951	0.24783995236777487
