cohort	assignment_index	prediction_index	label_id	inference_block	observation_block	evaluation	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference	donor_count	task_count	D_lower_mse_donors	D_lower_mae_donors	D_lower_mse_tasks	D_lower_mae_tasks
primary39_two_types	0	0	0	1	1	shared_observation	0.01591458994215507	0.019127453311132053	0.0032128633689769846	0.09563206464300297	0.10514957143112134	0.009517506788118357	0.05851298075023534	39	78	13	9	20	22
extension39_four_types	0	0	0	1	1	shared_observation	0.01130473476220321	0.01436534590033211	0.0030606111381288985	0.07883819057340218	0.09010768392384877	0.011269493350446583	0.05310514447621737	39	156	4	4	22	26
extension34_five_types	0	0	0	1	1	shared_observation	0.01053441545332454	0.013983493269820704	0.0034490778164961637	0.07617095482175085	0.08928295152050195	0.0131119966987511	0.05366557127945717	34	170	3	3	18	23
primary39_two_types	1	0	0	1	2	independent_observation	0.023537386108413157	0.019467108154323003	-0.00407027795409016	0.1188441998990223	0.1079675479111343	-0.010876651987888017	0.05851298075023534	39	78	34	29	60	56
extension39_four_types	1	0	0	1	2	independent_observation	0.018558957550560872	0.014870055406395934	-0.0036889021441649334	0.10458026103995254	0.0932395426086445	-0.011340718431308044	0.05310514447621737	39	156	38	37	133	133
extension34_five_types	1	0	0	1	2	independent_observation	0.018171774497847938	0.014494529491205317	-0.0036772450066426235	0.10389851806363716	0.09232227166150006	-0.011576246402137102	0.05366557127945717	34	170	33	33	149	148
primary39_two_types	2	0	0	1	3	independent_observation	0.021777731518871062	0.01802472664157744	-0.0037530048772936257	0.11397106990173331	0.1033205834615605	-0.010650486440172798	0.05851298075023534	39	78	34	32	63	58
extension39_four_types	2	0	0	1	3	independent_observation	0.017641323085558873	0.013974517282558604	-0.003666805803000272	0.10229235822425237	0.09012746640286756	-0.012164891821384813	0.05310514447621737	39	156	37	36	138	132
extension34_five_types	2	0	0	1	3	independent_observation	0.017023885590234267	0.013378404235993681	-0.003645481354240583	0.10046469001957933	0.0882708610376359	-0.012193828981943426	0.05366557127945717	34	170	33	33	152	147
primary39_two_types	3	0	0	1	all_excluding_input	deeper_observation	0.009993720931152535	0.005629028287634617	-0.0043646926435179185	0.07459882699377167	0.051436180460035535	-0.02316264653373613	0.05851298075023534	39	78	37	37	70	69
extension39_four_types	3	0	0	1	all_excluding_input	deeper_observation	0.007813600236456397	0.003953263823820105	-0.003860336412636292	0.06565369957802174	0.04103561569229403	-0.02461808388572772	0.05310514447621737	39	156	37	39	148	147
extension34_five_types	3	0	0	1	all_excluding_input	deeper_observation	0.007925163629916436	0.003978247904433213	-0.003946915725483223	0.06697598354202772	0.042335029594446724	-0.024640953947580993	0.05366557127945717	34	170	32	34	161	161
primary39_two_types	4	1	0	2	1	independent_observation	0.02154333886445086	0.019127453311132053	-0.002415885553318808	0.11245645647643587	0.10514957143112134	-0.007306885045314562	0.059681555098876876	39	78	26	25	54	55
extension39_four_types	4	1	0	2	1	independent_observation	0.016886656484380234	0.01436534590033211	-0.002521310584048125	0.09928343583640879	0.09010768392384877	-0.009175751912560029	0.05395030542063917	39	156	33	31	120	120
extension34_five_types	4	1	0	2	1	independent_observation	0.016899077979345863	0.013983493269820704	-0.0029155847095251593	0.09954111150770488	0.08928295152050195	-0.01025815998720293	0.05384842215434273	34	170	29	32	135	135
primary39_two_types	5	1	0	2	2	shared_observation	0.01483355271564141	0.019467108154323003	0.004633555438681591	0.0929778480235017	0.1079675479111343	0.014989699887632603	0.059681555098876876	39	78	8	8	16	18
extension39_four_types	5	1	0	2	2	shared_observation	0.01077906948946816	0.014870055406395934	0.004090985916927776	0.07758294332594062	0.0932395426086445	0.01565659928270387	0.05395030542063917	39	156	4	4	22	24
extension34_five_types	5	1	0	2	2	shared_observation	0.010337375532105775	0.014494529491205317	0.004157153959099539	0.07652578866899759	0.09232227166150006	0.015796482992502463	0.05384842215434273	34	170	2	2	24	27
primary39_two_types	6	1	0	2	3	independent_observation	0.021178212966808704	0.01802472664157744	-0.003153486325231273	0.11342251708012308	0.1033205834615605	-0.010101933618562556	0.059681555098876876	39	78	28	28	60	56
extension39_four_types	6	1	0	2	3	independent_observation	0.016875254070103814	0.013974517282558604	-0.0029007367875452084	0.10045433705190364	0.09012746640286756	-0.01032687064903609	0.05395030542063917	39	156	35	37	131	125
extension34_five_types	6	1	0	2	3	independent_observation	0.01628527317219256	0.013378404235993681	-0.0029068689361988797	0.09913010312336762	0.0882708610376359	-0.010859242085731727	0.05384842215434273	34	170	32	34	143	140
primary39_two_types	7	1	0	2	all_excluding_input	deeper_observation	0.009622330568110524	0.0056014248572881275	-0.004020905710822397	0.07346901790411474	0.0513900364973871	-0.022078981406727653	0.059681555098876876	39	78	31	32	68	67
extension39_four_types	7	1	0	2	all_excluding_input	deeper_observation	0.0075675812908342	0.0039414756956933725	-0.0036261055951408274	0.0645371340656025	0.04105115224231569	-0.023485981823286813	0.05395030542063917	39	156	38	39	145	145
extension34_five_types	7	1	0	2	all_excluding_input	deeper_observation	0.00767515538640755	0.003958398137393811	-0.0037167572490137395	0.06534177378114459	0.04221008977989909	-0.0231316840012455	0.05384842215434273	34	170	33	34	160	160
primary39_two_types	8	2	0	3	1	independent_observation	0.02476795385278203	0.019127453311132053	-0.005640500541649978	0.121734196933778	0.10514957143112134	-0.016584625502656682	0.06217608165704409	39	78	35	34	62	62
extension39_four_types	8	2	0	3	1	independent_observation	0.018825903989605878	0.01436534590033211	-0.004460558089273767	0.10468051901087898	0.09010768392384877	-0.014572835087030231	0.05500930355693868	39	156	38	38	134	131
extension34_five_types	8	2	0	3	1	independent_observation	0.018677944726159308	0.013983493269820704	-0.0046944514563386055	0.10487671063693718	0.08928295152050195	-0.015593759116435247	0.05494593448586258	34	170	32	34	147	143
primary39_two_types	9	2	0	3	2	independent_observation	0.024876819234561986	0.019467108154323003	-0.005409711080238982	0.12277958528791455	0.1079675479111343	-0.01481203737678025	0.06217608165704409	39	78	34	33	62	59
extension39_four_types	9	2	0	3	2	independent_observation	0.01923841737104867	0.014870055406395934	-0.004368361964652736	0.10717207633998453	0.0932395426086445	-0.013932533731340055	0.05500930355693868	39	156	37	38	133	130
extension34_five_types	9	2	0	3	2	independent_observation	0.018948912888644212	0.014494529491205317	-0.004454383397438897	0.1065606697887172	0.09232227166150006	-0.014238398127217139	0.05494593448586258	34	170	33	33	147	146
primary39_two_types	10	2	0	3	3	shared_observation	0.01680864118656366	0.01802472664157744	0.0012160854550137758	0.09822470411553615	0.1033205834615605	0.005095879346024367	0.06217608165704409	39	78	13	13	20	22
extension39_four_types	10	2	0	3	3	shared_observation	0.011841471558673893	0.013974517282558604	0.0021330457238847105	0.08087511952463527	0.09012746640286756	0.009252346878232277	0.05500930355693868	39	156	10	8	26	31
extension34_five_types	10	2	0	3	3	shared_observation	0.011178890728531732	0.013378404235993681	0.0021995135074619485	0.07889764649970572	0.0882708610376359	0.009373214537930177	0.05494593448586258	34	170	7	5	28	32
primary39_two_types	11	2	0	3	all_excluding_input	deeper_observation	0.0109641406802211	0.005684327920997019	-0.005279812759224082	0.0782531390294663	0.051589776492402706	-0.026663362537063588	0.06217608165704409	39	78	35	35	69	68
extension39_four_types	11	2	0	3	all_excluding_input	deeper_observation	0.008270208936109219	0.003977402182889754	-0.004292806753219464	0.06722538127992687	0.04108121514643404	-0.02614416613349284	0.05500930355693868	39	156	38	38	147	146
extension34_five_types	11	2	0	3	all_excluding_input	deeper_observation	0.008488069621409283	0.003998004281807671	-0.004490065339601612	0.06857218203554935	0.042316907714937416	-0.02625527432061194	0.05494593448586258	34	170	33	34	161	160
primary39_two_types	12	3	100	1	1	shared_observation	0.016771714799682928	0.01870367837254992	0.001931963572866991	0.09748002607711145	0.10448679917830743	0.0070067731011959865	0.06040547421089015	39	78	13	12	25	25
extension39_four_types	12	3	100	1	1	shared_observation	0.011619626929955315	0.014273921602204385	0.002654294672249073	0.07934546395155129	0.08999536723277822	0.010649903281226935	0.054424184651147275	39	156	9	6	27	30
extension34_five_types	12	3	100	1	1	shared_observation	0.010913215438724056	0.01382374946234334	0.0029105340236192847	0.07704135195655215	0.08892729176353706	0.011885939806984892	0.05450729922058971	34	170	6	4	24	26
primary39_two_types	13	3	100	1	2	independent_observation	0.022018900941654374	0.018010116053740928	-0.004008784887913452	0.11466293752899623	0.10231867793405819	-0.012344259594938036	0.06040547421089015	39	78	28	30	58	57
extension39_four_types	13	3	100	1	2	independent_observation	0.017535696210361308	0.014017962867436711	-0.0035177333429246005	0.10182450952861331	0.09005836983594975	-0.011766139692663574	0.054424184651147275	39	156	36	36	126	123
extension34_five_types	13	3	100	1	2	independent_observation	0.01736416658938774	0.013853730524214859	-0.00351043606517288	0.10206063042952501	0.08975586686655054	-0.01230476356297446	0.05450729922058971	34	170	33	34	139	136
primary39_two_types	14	3	100	1	3	independent_observation	0.02402516409856598	0.019686460565944766	-0.004338703532621217	0.11969699670599784	0.10776242528982985	-0.011934571416167992	0.06040547421089015	39	78	29	30	58	57
extension39_four_types	14	3	100	1	3	independent_observation	0.018354394994738475	0.014735469072679391	-0.003618925922059084	0.10376151255378023	0.09203734534723282	-0.011724167206547412	0.054424184651147275	39	156	35	37	127	123
extension34_five_types	14	3	100	1	3	independent_observation	0.017790401249522032	0.01408283076661353	-0.0037075704829085026	0.10301415769406438	0.09061233652439885	-0.012401821169665556	0.05450729922058971	34	170	32	33	142	137
primary39_two_types	15	3	100	1	all_excluding_input	deeper_observation	0.009540574498408989	0.005621627329337583	-0.003918947169071407	0.07321205461497228	0.05169476546175497	-0.021517289153217326	0.06040547421089015	39	78	36	35	65	64
extension39_four_types	15	3	100	1	all_excluding_input	deeper_observation	0.007508808389795281	0.003945534650817891	-0.003563273738977391	0.06470665382383489	0.041131555180213844	-0.02357509864362104	0.054424184651147275	39	156	37	39	143	142
extension34_five_types	15	3	100	1	all_excluding_input	deeper_observation	0.007768957563717682	0.003987414320661147	-0.003781543243056536	0.06666996550299853	0.04250495770775882	-0.02416500779523971	0.05450729922058971	34	170	33	34	158	157
primary39_two_types	16	4	100	2	1	independent_observation	0.02186196398600773	0.01870367837254992	-0.0031582856134578087	0.11452521477297568	0.10448679917830743	-0.01003841559466825	0.059210756989136554	39	78	32	33	57	59
extension39_four_types	16	4	100	2	1	independent_observation	0.017321500715525247	0.014273921602204385	-0.003047579113320858	0.10108652959920048	0.08999536723277822	-0.011091162366422248	0.05322094444338085	39	156	36	37	125	128
extension34_five_types	16	4	100	2	1	independent_observation	0.017145382967537457	0.01382374946234334	-0.0033216335051941153	0.10065149023467987	0.08892729176353706	-0.01172419847114282	0.053872038236935274	34	170	32	32	140	142
primary39_two_types	17	4	100	2	2	shared_observation	0.014616261526157994	0.018010116053740928	0.0033938545275829313	0.09250371576033045	0.10231867793405819	0.00981496217372774	0.059210756989136554	39	78	8	10	21	23
extension39_four_types	17	4	100	2	2	shared_observation	0.010802296661728564	0.014017962867436711	0.003215666205708146	0.07827560426962486	0.09005836983594975	0.011782765566324908	0.05322094444338085	39	156	5	5	26	28
extension34_five_types	17	4	100	2	2	shared_observation	0.010330609467085231	0.013853730524214859	0.003523121057129629	0.07678435938396315	0.08975586686655054	0.012971507482587406	0.053872038236935274	34	170	4	4	24	26
primary39_two_types	18	4	100	2	3	independent_observation	0.02313004782712462	0.019686460565944766	-0.003443587261179857	0.11900351259399025	0.10776242528982985	-0.011241087304160399	0.059210756989136554	39	78	31	33	60	60
extension39_four_types	18	4	100	2	3	independent_observation	0.017945398817205083	0.014735469072679391	-0.003209929744525691	0.10366880992991392	0.09203734534723282	-0.011631464582681115	0.05322094444338085	39	156	34	37	131	129
extension34_five_types	18	4	100	2	3	independent_observation	0.01754918548435313	0.01408283076661353	-0.003466354717739597	0.10312560253537083	0.09061233652439885	-0.012513266010971986	0.053872038236935274	34	170	32	33	147	146
primary39_two_types	19	4	100	2	all_excluding_input	deeper_observation	0.009956311447501217	0.005698629421127272	-0.004257682026373945	0.07567966040987294	0.05177737466631685	-0.023902285743556087	0.059210756989136554	39	78	36	37	71	71
extension39_four_types	19	4	100	2	all_excluding_input	deeper_observation	0.007766341991500496	0.003992660052454678	-0.003773681939045817	0.06568823957926612	0.04126917353302839	-0.024419066046237732	0.05322094444338085	39	156	37	38	147	148
extension34_five_types	19	4	100	2	all_excluding_input	deeper_observation	0.007960549875378335	0.003992867097215269	-0.003967682778163065	0.06702200678568762	0.04240713157407406	-0.024614875211613565	0.053872038236935274	34	170	32	34	161	162
primary39_two_types	20	5	100	3	1	independent_observation	0.022657965503766652	0.01870367837254992	-0.003954287131216732	0.11534975436543773	0.10448679917830743	-0.010862955187130293	0.059792537272609345	39	78	32	28	59	55
extension39_four_types	20	5	100	3	1	independent_observation	0.01786172726219251	0.014273921602204385	-0.0035878056599881226	0.10185092065546474	0.08999536723277822	-0.011855553422686524	0.053523312355794495	39	156	38	38	130	127
extension34_five_types	20	5	100	3	1	independent_observation	0.017792467019406618	0.01382374946234334	-0.003968717557063278	0.10200842890805965	0.08892729176353706	-0.013081137144522604	0.05359177423774277	34	170	34	34	147	143
primary39_two_types	21	5	100	3	2	independent_observation	0.021154792358758636	0.018010116053740928	-0.003144676305017709	0.11090350646433485	0.10231867793405819	-0.008584828530276667	0.059792537272609345	39	78	31	29	62	55
extension39_four_types	21	5	100	3	2	independent_observation	0.0172517135805975	0.014017962867436711	-0.003233750713160791	0.10038699187808933	0.09005836983594975	-0.010328622042139577	0.053523312355794495	39	156	34	35	132	124
extension34_five_types	21	5	100	3	2	independent_observation	0.017174126336073015	0.013853730524214859	-0.003320395811858154	0.10003560076159967	0.08975586686655054	-0.010279733895049116	0.05359177423774277	34	170	30	33	143	135
primary39_two_types	22	5	100	3	3	shared_observation	0.01660295518136085	0.019686460565944766	0.003083505384583913	0.09710562677366624	0.10776242528982985	0.010656798516163617	0.059792537272609345	39	78	12	12	20	21
extension39_four_types	22	5	100	3	3	shared_observation	0.01169792771185139	0.014735469072679391	0.003037541360828002	0.07994015159903253	0.09203734534723282	0.01209719374820029	0.053523312355794495	39	156	7	5	29	32
extension34_five_types	22	5	100	3	3	shared_observation	0.01094617835383566	0.01408283076661353	0.0031366524127778737	0.07748487045435819	0.09061233652439885	0.013127466070040651	0.05359177423774277	34	170	4	2	31	32
primary39_two_types	23	5	100	3	all_excluding_input	deeper_observation	0.010474550150166781	0.005611479416010988	-0.004863070734155793	0.07575527783919891	0.0510832509368572	-0.02467202690234171	0.059792537272609345	39	78	37	38	71	71
extension39_four_types	23	5	100	3	all_excluding_input	deeper_observation	0.008024464079480795	0.003942501594471834	-0.004081962485008961	0.06594581554541941	0.040826855973646256	-0.025118959571773167	0.053523312355794495	39	156	38	39	148	149
extension34_five_types	23	5	100	3	all_excluding_input	deeper_observation	0.008107058870730353	0.00396389589613641	-0.0041431629745939435	0.06662704879553856	0.04201122444243821	-0.024615824353100346	0.05359177423774277	34	170	33	34	163	163
primary39_two_types	24	6	200	1	1	shared_observation	0.016497777479029946	0.018903729449950744	0.0024059519709208016	0.09879782462161742	0.10603230271922218	0.007234478097604761	0.060624089818307504	39	78	12	13	21	25
