cohort	program_panel	weighting	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference	donor_count	task_count	D_lower_mse_donors	D_lower_mae_donors	D_lower_mse_tasks	D_lower_mae_tasks
primary39_two_types	all37	balanced_batch_orientation	0.023537386108413157	0.019467108154323003	-0.00407027795409016	0.1188441998990223	0.1079675479111343	-0.010876651987888017	0.05851298075023534	39	78	34	29	60	56
primary39_two_types	all37	equal_donor	0.023557060670357666	0.01903465527855049	-0.0045224053918071685	0.11853414335434656	0.1067238219974464	-0.01181032135690017	0.05936654796155326	39	78	34	29	60	56
primary39_two_types	all37	equal_batch_without_orientation_standardization	0.023585524399860048	0.018945238714825664	-0.004640285685034383	0.11856668712517239	0.10651400376993989	-0.01205268335523251	0.05938338365439337	39	78	34	29	60	56
extension39_four_types	all37	balanced_batch_orientation	0.018558957550560872	0.014870055406395934	-0.0036889021441649334	0.10458026103995254	0.0932395426086445	-0.011340718431308044	0.05310514447621737	39	156	38	37	133	133
extension39_four_types	all37	equal_donor	0.018552782857341323	0.014604862695683027	-0.003947920161658301	0.10450578068732834	0.09257721488305237	-0.01192856580427595	0.05367467320500845	39	156	38	37	133	133
extension39_four_types	all37	equal_batch_without_orientation_standardization	0.018571357276420904	0.014558212525699072	-0.00401314475072183	0.10456002937318853	0.09247808723882683	-0.01208194213436171	0.05366979741688013	39	156	38	37	133	133
extension34_five_types	all37	balanced_batch_orientation	0.018171774497847938	0.014494529491205317	-0.0036772450066426235	0.10389851806363716	0.09232227166150006	-0.011576246402137102	0.05366557127945717	34	170	33	33	149	148
extension34_five_types	all37	equal_donor	0.01821722347146577	0.014264406445771226	-0.003952817025694549	0.10410747008658898	0.09173047746909568	-0.012376992617493312	0.05444054097548074	34	170	33	33	149	148
extension34_five_types	all37	equal_batch_without_orientation_standardization	0.018181906859864927	0.01421853500883151	-0.003963371851033418	0.10408764808441923	0.09173830847945767	-0.01234933960496157	0.05408698042146053	34	170	33	33	149	148
primary39_two_types	secondary_without_IFNa36	balanced_batch_orientation	0.021930222430756048	0.01764708157775431	-0.0042831408530017365	0.11622074059700709	0.10498929480609061	-0.011231445790916478	0.05748225361971056	39	78	35	28	61	54
primary39_two_types	secondary_without_IFNa36	equal_donor	0.021942729633345905	0.017270006062541917	-0.004672723570803983	0.11584924740139765	0.10375410867049996	-0.012095138730897695	0.05835305410841626	39	78	35	28	61	54
primary39_two_types	secondary_without_IFNa36	equal_batch_without_orientation_standardization	0.02199740394765151	0.01720411729517329	-0.004793286652478224	0.11592590922409998	0.10358484427426128	-0.012341064949838705	0.05840111322220033	39	78	35	28	61	54
extension39_four_types	secondary_without_IFNa36	balanced_batch_orientation	0.017376576066441496	0.013578280211361544	-0.0037982958550799506	0.10221539383207653	0.09067327164146621	-0.01154212219061033	0.05255747194325949	39	156	38	37	137	131
extension39_four_types	secondary_without_IFNa36	equal_donor	0.01739699165192046	0.013380020844049701	-0.004016970807870757	0.10216515034596399	0.09011750109286461	-0.012047649253099396	0.05312857639849524	39	156	38	37	137	131
extension39_four_types	secondary_without_IFNa36	equal_batch_without_orientation_standardization	0.017432476191702732	0.0133508008238773	-0.0040816753678254315	0.10226278435182791	0.09005643630741185	-0.012206348044416072	0.053131334840622296	39	156	38	37	137	131
extension34_five_types	secondary_without_IFNa36	balanced_batch_orientation	0.01711337382734627	0.013259688633610595	-0.0038536851937356733	0.10162562125372507	0.08972369000334805	-0.011901931250377008	0.0531950823164646	34	170	33	34	152	146
extension34_five_types	secondary_without_IFNa36	equal_donor	0.017163297398934397	0.013079600294913054	-0.0040836971040213365	0.10184314385222823	0.08923461977742661	-0.012608524074801609	0.05389652426633745	34	170	33	34	152	146
extension34_five_types	secondary_without_IFNa36	equal_batch_without_orientation_standardization	0.017180091783678283	0.013078474792093293	-0.004101616991584989	0.10189891649655158	0.08930332554863728	-0.01259559094791429	0.05360114157379636	34	170	33	34	152	146
