evaluation_reference	donor_id	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference
shared_B1	H01	0.006954515160316703	0.01020812436846379	0.0032536092081470866	0.06802807352284068	0.07874842279436516	0.010720349271524477	0.055265609586748574
shared_B1	H02	0.008186386139183068	0.01062173920904983	0.0024353530698667616	0.07113400619396136	0.08111374009954955	0.009979733905588197	0.04947800028424885
shared_B1	H03	0.006279420863416207	0.009887997818858695	0.0036085769554424886	0.0639809218808362	0.08161096714352076	0.01763004526268455	0.055469408979721024
shared_B1	H04	0.009325840191284001	0.014317382832435523	0.004991542641151524	0.07324816178791534	0.09315459441415905	0.019906432626243722	0.060736291270530283
shared_B1	H05	0.005930742581290666	0.009452562971265906	0.0035218203899752393	0.06326967323137524	0.08029133025927988	0.017021657027904636	0.055916214779670834
shared_B1	H06	0.006936269067322832	0.009195499657202354	0.002259230589879521	0.06236079788656292	0.07405070257358196	0.011689904687019036	0.05722618168011138
shared_B1	H07	0.03034036071947519	0.027047814929297292	-0.0032925457901779006	0.11745151084182222	0.12297037806897444	0.005518867227152185	0.069800547544918
shared_B1	H08	0.0062940474516606755	0.01097978792085864	0.004685740469197965	0.06633651581913003	0.08542829739229876	0.019091781573168747	0.05270893065699285
heldout_B2	H01	0.01707088992524538	0.014038871613132425	-0.0030320183121129523	0.10063782664137513	0.09347867844769894	-0.007159148193676168	0.055265609586748574
heldout_B2	H02	0.010550069325521537	0.009466616338897957	-0.0010834529866235818	0.08137244192798501	0.07640833089354716	-0.004964111034437854	0.04947800028424885
heldout_B2	H03	0.013950837764726226	0.008912963146570441	-0.005037874618155784	0.09167935212490544	0.07569960191466604	-0.015979750210239396	0.055469408979721024
heldout_B2	H04	0.013170611733702564	0.013399709179817651	0.00022909744611508687	0.08979714304812339	0.08761124288270669	-0.00218590016541671	0.060736291270530283
heldout_B2	H05	0.014055019581617778	0.008716142400369477	-0.005338877181248302	0.09609866574724629	0.07422575229933345	-0.021872913447912826	0.055916214779670834
heldout_B2	H06	0.01652855098951892	0.011342853454045228	-0.005185697535473696	0.099521234917999	0.08287962166194543	-0.01664161325605356	0.05722618168011138
heldout_B2	H07	0.04252255626116213	0.03056968175918452	-0.011952874501977611	0.1510117633146993	0.13153158572323864	-0.01948017759146063	0.069800547544918
heldout_B2	H08	0.011595278322789466	0.00900101700621837	-0.002594261316571096	0.08563442985005562	0.0767155652586247	-0.008918864591430925	0.05270893065699285
