panel_id	endpoint_id	endpoint_label	absolute_standardized_effect	root_count_R	minus_cell_id	plus_cell_id	pooled_numerator_or_score_sum	pooled_denominator	point_estimate	interval_lower	interval_upper	interval_method
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	0.25	8	SIMV1__DM025__R08__AXBASE	SIMV1__DP025__R08__AXBASE	0	10000	0	0	0.00036881991461876218	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	0.25	12	SIMV1__DM025__R12__AXBASE	SIMV1__DP025__R12__AXBASE	0	10000	0	0	0.00036881991461876218	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	0.25	20	SIMV1__DM025__R20__AXBASE	SIMV1__DP025__R20__AXBASE	0	10000	0	0	0.00036881991461876218	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	0.25	40	SIMV1__DM025__R40__AXBASE	SIMV1__DP025__R40__AXBASE	0	10000	0	0	0.00036881991461876218	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	0.5	8	SIMV1__DM050__R08__AXBASE	SIMV1__DP050__R08__AXBASE	0	10000	0	0	0.00036881991461876218	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	0.5	12	SIMV1__DM050__R12__AXBASE	SIMV1__DP050__R12__AXBASE	0	10000	0	0	0.00036881991461876218	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	0.5	20	SIMV1__DM050__R20__AXBASE	SIMV1__DP050__R20__AXBASE	16	10000	0.0016000000000000001	0.00091480612315426261	0.0025970027660048365	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	0.5	40	SIMV1__DM050__R40__AXBASE	SIMV1__DP050__R40__AXBASE	294	10000	0.029399999999999999	0.026176772423689793	0.032901011906427705	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	1	8	SIMV1__DM100__R08__AXBASE	SIMV1__DP100__R08__AXBASE	117	10000	0.0117	0.009685560336194516	0.014005828349545281	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	1	12	SIMV1__DM100__R12__AXBASE	SIMV1__DP100__R12__AXBASE	536	10000	0.053600000000000002	0.049266175399012686	0.058196050065610912	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	1	20	SIMV1__DM100__R20__AXBASE	SIMV1__DP100__R20__AXBASE	4786	10000	0.47860000000000003	0.46876659308731883	0.48844587648203552	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_EXACT_FAMILY_RECOVERY	Exact-family recovery	1	40	SIMV1__DM100__R40__AXBASE	SIMV1__DP100__R40__AXBASE	9471	10000	0.94710000000000005	0.94253101685711682	0.95140632259981062	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	0.25	8	SIMV1__DM025__R08__AXBASE	SIMV1__DP025__R08__AXBASE	459.5	10000	0.045949999999999998	0.032368984842593804	0.059531015157406192	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	0.25	12	SIMV1__DM025__R12__AXBASE	SIMV1__DP025__R12__AXBASE	695.16666666666663	10000	0.069516666666666657	0.055935651509260463	0.083097681824072858	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	0.25	20	SIMV1__DM025__R20__AXBASE	SIMV1__DP025__R20__AXBASE	908.83333333333326	10000	0.09088333333333333	0.077302318175927129	0.10446434849073953	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	0.25	40	SIMV1__DM025__R40__AXBASE	SIMV1__DP025__R40__AXBASE	3010	10000	0.30099999999999999	0.28741898484259382	0.31458101515740616	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	0.5	8	SIMV1__DM050__R08__AXBASE	SIMV1__DP050__R08__AXBASE	2055	10000	0.20549999999999999	0.19191898484259379	0.21908101515740619	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	0.5	12	SIMV1__DM050__R12__AXBASE	SIMV1__DP050__R12__AXBASE	3114	10000	0.31140000000000001	0.29781898484259384	0.32498101515740618	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	0.5	20	SIMV1__DM050__R20__AXBASE	SIMV1__DP050__R20__AXBASE	4129.5	10000	0.41294999999999998	0.39936898484259381	0.42653101515740616	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	0.5	40	SIMV1__DM050__R40__AXBASE	SIMV1__DP050__R40__AXBASE	6899.833333333333	10000	0.68998333333333328	0.67640231817592711	0.70356434849073946	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	1	8	SIMV1__DM100__R08__AXBASE	SIMV1__DP100__R08__AXBASE	5682.5	10000	0.56825000000000003	0.55466898484259386	0.58183101515740621	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	1	12	SIMV1__DM100__R12__AXBASE	SIMV1__DP100__R12__AXBASE	6960.166666666667	10000	0.69601666666666673	0.68243565150926055	0.7095976818240729	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	1	20	SIMV1__DM100__R20__AXBASE	SIMV1__DP100__R20__AXBASE	8866.1666666666661	10000	0.88661666666666661	0.87303565150926044	0.90019768182407278	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
F2A_BASELINE_RECOVERY	SIM_TRUE_EDGE_RECOVERY	True-edge recovery	1	40	SIMV1__DM100__R40__AXBASE	SIMV1__DP100__R40__AXBASE	9911.1666666666679	10000	0.99111666666666676	0.97753565150926058	1	POINTWISE_TWO_SIDED_95_PERCENT_HOEFFDING_N10000_AFTER_SIGN_POOLING
