root_count_R	procedure_order	procedure_id	procedure_label	visual_group	visual_group_label	events	trials	estimate	interval_lower	interval_upper	interval_method	invalid_descendant_replicate	evidence_authority	interpretation	source_record_id	upstream_sha256
8	1	EXACT_ROOT_SIGN_HOLM	Exact unit sign	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	98	2500	0.039199999999999999	0.031936855323145497	0.0475660981732118	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	VALID_SIGN_INFERENCE_CHARACTERIZATION_NOT_A_QUALIFICATION_RECEIPT	SIGN_FWER_CHARACTERIZATION_ONLY_NOT_QUALIFICATION	CMP002:EXACT_ROOT_SIGN_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
8	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	Unit CR1-t mean	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	113	2500	0.045199999999999997	0.037393829361129997	0.054092424759486703	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	CMP002:ROOT_CR1_T_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
8	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	Whole-unit bootstrap	WHOLE_UNIT_BOOTSTRAP_COMPARATOR	Whole-unit bootstrap comparator	518	2500	0.2072	0.1914627051399142	0.22362610693917051	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	CMP002:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
8	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Tasks as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2022	2500	0.80879999999999996	0.79282685384311913	0.82404633370201541	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	CMP002:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
8	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Cells as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2476	2500	0.99039999999999995	0.98574943814221783	0.99383968835455316	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	CMP002:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
12	1	EXACT_ROOT_SIGN_HOLM	Exact unit sign	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	88	2500	0.035200000000000002	0.0283252109114723	0.043189240112958799	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	VALID_SIGN_INFERENCE_CHARACTERIZATION_NOT_A_QUALIFICATION_RECEIPT	SIGN_FWER_CHARACTERIZATION_ONLY_NOT_QUALIFICATION	CMP006:EXACT_ROOT_SIGN_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
12	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	Unit CR1-t mean	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	115	2500	0.045999999999999999	0.038124581537420502	0.054959485870328999	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	CMP006:ROOT_CR1_T_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
12	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	Whole-unit bootstrap	WHOLE_UNIT_BOOTSTRAP_COMPARATOR	Whole-unit bootstrap comparator	354	2500	0.1416	0.1281593627179175	0.15588598857115529	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	CMP006:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
12	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Tasks as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	1960	2500	0.78400000000000003	0.76734100968129815	0.79999104358105155	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	CMP006:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
12	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Cells as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2460	2500	0.98399999999999999	0.9782757083719954	0.9885454030815588	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	CMP006:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
