root_count_R	procedure_order	procedure_id	events	trials	estimate	archived_events	exact_events_match	source_record_id
8	1	EXACT_ROOT_SIGN_HOLM	98	2500	0.0392	98	True	CMP002:EXACT_ROOT_SIGN_HOLM
8	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	113	2500	0.0452	113	True	CMP002:ROOT_CR1_T_MEAN_CONTRAST_HOLM
8	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	518	2500	0.2072	518	True	CMP002:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM
8	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	2022	2500	0.8088	2022	True	CMP002:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM
8	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	2476	2500	0.9904	2476	True	CMP002:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM
12	1	EXACT_ROOT_SIGN_HOLM	88	2500	0.0352	88	True	CMP006:EXACT_ROOT_SIGN_HOLM
12	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	115	2500	0.046	115	True	CMP006:ROOT_CR1_T_MEAN_CONTRAST_HOLM
12	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	354	2500	0.1416	354	True	CMP006:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM
12	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	1960	2500	0.784	1960	True	CMP006:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM
12	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	2460	2500	0.984	2460	True	CMP006:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM
20	1	EXACT_ROOT_SIGN_HOLM	36	2500	0.0144	36	True	CMP010:EXACT_ROOT_SIGN_HOLM
20	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	108	2500	0.0432	108	True	CMP010:ROOT_CR1_T_MEAN_CONTRAST_HOLM
20	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	225	2500	0.09	225	True	CMP010:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM
20	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	1916	2500	0.7664	1916	True	CMP010:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM
20	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	2469	2500	0.9876	2469	True	CMP010:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM
40	1	EXACT_ROOT_SIGN_HOLM	75	2500	0.03	75	True	CMP014:EXACT_ROOT_SIGN_HOLM
40	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	105	2500	0.042	105	True	CMP014:ROOT_CR1_T_MEAN_CONTRAST_HOLM
40	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	161	2500	0.0644	161	True	CMP014:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM
40	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	1886	2500	0.7544	1886	True	CMP014:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM
40	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	2472	2500	0.9888	2472	True	CMP014:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM
