root_count_R	procedure_order	procedure_id	procedure_label	visual_group	visual_group_label	events	trials	estimate	interval_lower	interval_upper	interval_method	invalid_descendant_replicate	evidence_authority	interpretation	source_record_id	upstream_sha256
2	1	EXACT_ROOT_SIGN_HOLM	Exact unit sign	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	0	2500	0	0	0.001474463690359561	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	VALID_SIGN_INFERENCE_CHARACTERIZATION_NOT_A_QUALIFICATION_RECEIPT	SIGN_FWER_CHARACTERIZATION_ONLY_NOT_QUALIFICATION	LOWN_R02_C02:EXACT_ROOT_SIGN_HOLM	2d60d3c241468aaf8876847575bc785464515be1f072268d5da7f2b7f132324e
2	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	Unit CR1-t mean	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	130	2500	0.051999999999999998	0.0436259138262797	0.061441990576322221	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	LOWN_R02_C02:ROOT_CR1_T_MEAN_CONTRAST_HOLM	2d60d3c241468aaf8876847575bc785464515be1f072268d5da7f2b7f132324e
2	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	Whole-unit bootstrap	WHOLE_UNIT_BOOTSTRAP_COMPARATOR	Whole-unit bootstrap comparator	2397	2500	0.95879999999999999	0.95025362973545868	0.96624904741181195	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	LOWN_R02_C02:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	2d60d3c241468aaf8876847575bc785464515be1f072268d5da7f2b7f132324e
2	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Tasks as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2364	2500	0.9456	0.93597426686679719	0.95416419317820333	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	LOWN_R02_C02:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	2d60d3c241468aaf8876847575bc785464515be1f072268d5da7f2b7f132324e
2	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Cells as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2492	2500	0.99680000000000002	0.99370451115270841	0.99861748601956835	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	LOWN_R02_C02:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	2d60d3c241468aaf8876847575bc785464515be1f072268d5da7f2b7f132324e
3	1	EXACT_ROOT_SIGN_HOLM	Exact unit sign	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	0	2500	0	0	0.001474463690359561	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	VALID_SIGN_INFERENCE_CHARACTERIZATION_NOT_A_QUALIFICATION_RECEIPT	SIGN_FWER_CHARACTERIZATION_ONLY_NOT_QUALIFICATION	LOWN_R03_C02:EXACT_ROOT_SIGN_HOLM	9e8e48059b822f79cbe1d515ae885d64be86b9fe6921568daaf20d97253bc0da
3	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	Unit CR1-t mean	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	147	2500	0.058799999999999998	0.049899654997201816	0.068750339166711014	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	LOWN_R03_C02:ROOT_CR1_T_MEAN_CONTRAST_HOLM	9e8e48059b822f79cbe1d515ae885d64be86b9fe6921568daaf20d97253bc0da
3	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	Whole-unit bootstrap	WHOLE_UNIT_BOOTSTRAP_COMPARATOR	Whole-unit bootstrap comparator	1872	2500	0.74880000000000002	0.73131381083088032	0.76570150793523817	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	LOWN_R03_C02:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	9e8e48059b822f79cbe1d515ae885d64be86b9fe6921568daaf20d97253bc0da
3	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Tasks as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2254	2500	0.90159999999999996	0.88924955624405266	0.91300017925206634	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	LOWN_R03_C02:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	9e8e48059b822f79cbe1d515ae885d64be86b9fe6921568daaf20d97253bc0da
3	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Cells as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2483	2500	0.99319999999999997	0.98913479739337717	0.99603390661868985	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	LOWN_R03_C02:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	9e8e48059b822f79cbe1d515ae885d64be86b9fe6921568daaf20d97253bc0da
