condition	depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	crossing_allocation_count	n_allocations	strict_crossing_after_allocation_mean
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	3.0068540250264657e-18	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	3.0068540250264657e-18	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	3.0068540250264657e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	2.1973164029039559e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	2.1973164029039559e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	2.1973164029039559e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	1.5034270125132329e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	1.5034270125132329e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	1.5034270125132329e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	1.6768993601109137e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	1.6768993601109137e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	1.6768993601109137e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	S	0.016140971424477499	0.016140971424477499	0	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	M	0.016140971424477499	0.016140971424477499	4.6259292692714865e-19	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	P	0.016140971424477499	0.019150742351956199	0.0030097709274786002	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	O	0.016140971424477499	0.013131200496998899	-0.0030097709274786002	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	D	0.016140971424477499	0.016140971424477499	6.9388939039072297e-19	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	S	0.0151661102679295	0.0151661102679295	0	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	M	0.0151661102679295	0.0151661102679295	3.4694469519536144e-19	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	P	0.0151661102679295	0.0166454559084235	0.001479345640494	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	O	0.0151661102679295	0.013686764627435399	-0.001479345640494	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	D	0.0151661102679295	0.0151661102679295	8.0953762212250999e-19	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	S	0.0150765288668276	0.0150765288668276	0	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	M	0.0150765288668276	0.0150765288668276	2.3129646346357432e-19	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	P	0.0150765288668276	0.015838388681591601	0.00076185981476400001	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	O	0.0150765288668276	0.0143146690520636	-0.00076185981476400001	0	30	False
