allocation	depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_tasks	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
0	8	64	direct_effect_ridge	additive	-0.009335153646806654	0.028527012578303396	0.01919185893149674	55	44	0.01919185893149674	0.0	True	True	True	False	False	state_to_effect
0	8	64	direct_effect_ridge	compositional_ridge	-0.010126389711731973	0.028527012578303396	0.01840062286657142	55	42	0.018400622866571424	-3.469446951953614e-18	True	True	True	False	False	state_to_effect
0	8	64	direct_effect_ridge	CPA_0.8.8	0.062023577665616565	0.028527012578303396	0.09055059024391995	55	5	0.09055059024391995	0.0	False	False	False	False	False	effect_preferred_both
0	16	128	direct_effect_ridge	additive	-0.0024955490673749647	0.014532244999799819	0.012036695932424858	55	38	0.012036695932424854	3.469446951953614e-18	True	True	True	False	False	state_to_effect
0	16	128	direct_effect_ridge	compositional_ridge	-0.003286785132300282	0.014532244999799819	0.011245459867499539	55	34	0.011245459867499537	1.734723475976807e-18	True	True	True	False	False	state_to_effect
0	16	128	direct_effect_ridge	CPA_0.8.8	0.06805179612975942	0.014532244999799819	0.08258404112955926	55	2	0.08258404112955925	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
0	32	256	direct_effect_ridge	additive	0.0010292792509066797	0.007222817988993198	0.008252097239899878	55	18	0.008252097239899878	0.0	False	False	False	False	False	effect_preferred_both
0	32	256	direct_effect_ridge	compositional_ridge	0.00023804318598136248	0.007222817988993198	0.007460861174974561	55	27	0.007460861174974561	0.0	False	False	False	False	False	effect_preferred_both
0	32	256	direct_effect_ridge	CPA_0.8.8	0.06847987076897548	0.007222817988993198	0.07570268875796868	55	1	0.07570268875796868	0.0	False	False	False	False	False	effect_preferred_both
0	64	512	direct_effect_ridge	additive	0.002925802760049866	0.003646986423690466	0.006572789183740333	55	11	0.006572789183740332	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
0	64	512	direct_effect_ridge	compositional_ridge	0.0021345666951245487	0.003646986423690466	0.005781553118815013	55	14	0.005781553118815015	-1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
0	64	512	direct_effect_ridge	CPA_0.8.8	0.06975437801037601	0.003646986423690466	0.07340136443406649	55	0	0.07340136443406647	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
0	128	1024	direct_effect_ridge	additive	0.0037956773518053317	0.0018657349186582282	0.00566141227046356	55	5	0.00566141227046356	0.0	False	False	False	False	False	effect_preferred_both
0	128	1024	direct_effect_ridge	compositional_ridge	0.003004441286880014	0.0018657349186582282	0.004870176205538242	55	11	0.004870176205538242	0.0	False	False	False	False	False	effect_preferred_both
0	128	1024	direct_effect_ridge	CPA_0.8.8	0.06945998018751381	0.0018657349186582282	0.07132571510617204	55	0	0.07132571510617204	0.0	False	False	False	False	False	effect_preferred_both
0	135	1080	direct_effect_ridge	additive	0.003851065402655975	0.0018011313424203107	0.005652196745076287	55	4	0.005652196745076285	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
0	135	1080	direct_effect_ridge	compositional_ridge	0.0030598293377306573	0.0018011313424203107	0.004860960680150968	55	11	0.004860960680150968	0.0	False	False	False	False	False	effect_preferred_both
0	135	1080	direct_effect_ridge	CPA_0.8.8	0.0696821864844322	0.0018011313424203107	0.07148331782685251	55	0	0.07148331782685251	0.0	False	False	False	False	False	effect_preferred_both
1	8	64	direct_effect_ridge	additive	-0.011432389207206508	0.03195997071535509	0.020527581508148592	55	45	0.020527581508148582	1.0408340855860843e-17	True	True	True	False	False	state_to_effect
1	8	64	direct_effect_ridge	compositional_ridge	-0.012223625272131828	0.03195997071535509	0.019736345443223276	55	41	0.019736345443223266	1.0408340855860843e-17	True	True	True	False	False	state_to_effect
1	8	64	direct_effect_ridge	CPA_0.8.8	0.05127320621481195	0.03195997071535509	0.08323317693016703	55	5	0.08323317693016705	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
1	16	128	direct_effect_ridge	additive	-0.003158412996341662	0.015846787321706454	0.012688374325364791	55	37	0.012688374325364793	-1.734723475976807e-18	True	True	True	False	False	state_to_effect
1	16	128	direct_effect_ridge	compositional_ridge	-0.00394964906126698	0.015846787321706454	0.011897138260439475	55	33	0.011897138260439474	1.734723475976807e-18	True	True	True	False	False	state_to_effect
1	16	128	direct_effect_ridge	CPA_0.8.8	0.06166272525355	0.015846787321706454	0.07750951257525646	55	2	0.07750951257525646	0.0	False	False	False	False	False	effect_preferred_both
1	32	256	direct_effect_ridge	additive	0.00036435832681601225	0.00840000852405252	0.008764366850868534	55	22	0.008764366850868533	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
1	32	256	direct_effect_ridge	compositional_ridge	-0.00042687773810930505	0.00840000852405252	0.007973130785943217	55	25	0.007973130785943215	1.734723475976807e-18	True	True	True	False	False	state_to_effect
1	32	256	direct_effect_ridge	CPA_0.8.8	0.06284932095593064	0.00840000852405252	0.07124932947998316	55	1	0.07124932947998316	0.0	False	False	False	False	False	effect_preferred_both
1	64	512	direct_effect_ridge	additive	0.0028160029447654574	0.0037928184251342944	0.006608821369899753	55	10	0.006608821369899752	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
1	64	512	direct_effect_ridge	compositional_ridge	0.0020247668798401403	0.0037928184251342944	0.005817585304974435	55	15	0.005817585304974435	0.0	False	False	False	False	False	effect_preferred_both
1	64	512	direct_effect_ridge	CPA_0.8.8	0.06861193527566202	0.0037928184251342944	0.07240475370079631	55	0	0.07240475370079631	0.0	False	False	False	False	False	effect_preferred_both
1	128	1024	direct_effect_ridge	additive	0.003844641960113142	0.0019270362951216199	0.005771678255234762	55	3	0.005771678255234762	0.0	False	False	False	False	False	effect_preferred_both
1	128	1024	direct_effect_ridge	compositional_ridge	0.003053405895187825	0.0019270362951216199	0.004980442190309443	55	11	0.004980442190309445	-1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
1	128	1024	direct_effect_ridge	CPA_0.8.8	0.07080307789589624	0.0019270362951216199	0.07273011419101785	55	0	0.07273011419101785	0.0	False	False	False	False	False	effect_preferred_both
1	135	1080	direct_effect_ridge	additive	0.0038661441969093002	0.0018768400650454743	0.005742984261954774	55	3	0.005742984261954774	0.0	False	False	False	False	False	effect_preferred_both
1	135	1080	direct_effect_ridge	compositional_ridge	0.0030749081319839827	0.0018768400650454743	0.004951748197029457	55	10	0.004951748197029457	0.0	False	False	False	False	False	effect_preferred_both
1	135	1080	direct_effect_ridge	CPA_0.8.8	0.07055209728277305	0.0018768400650454743	0.07242893734781854	55	0	0.07242893734781852	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
2	8	64	direct_effect_ridge	additive	-0.010423006079000362	0.03155975527163019	0.021136749192629832	55	44	0.021136749192629832	0.0	True	True	True	False	False	state_to_effect
2	8	64	direct_effect_ridge	compositional_ridge	-0.01121424214392568	0.03155975527163019	0.020345513127704513	55	43	0.020345513127704513	0.0	True	True	True	False	False	state_to_effect
2	8	64	direct_effect_ridge	CPA_0.8.8	0.06606935521820267	0.03155975527163019	0.09762911048983287	55	7	0.09762911048983286	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
2	16	128	direct_effect_ridge	additive	-0.0030447287902009503	0.015682721130162478	0.012637992339961535	55	38	0.012637992339961528	6.938893903907228e-18	True	True	True	False	False	state_to_effect
