depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_task_allocation_pairs	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
8	64	direct_effect_ridge	additive	-0.010566050989818054	0.030771096581544737	0.020205045591726686	1650	1334	0.020205045591726683	3.469446951953614e-18	True	True	True	False	False	state_to_effect
8	64	direct_effect_ridge	compositional_ridge	-0.011357287054743372	0.030771096581544737	0.01941380952680137	1650	1249	0.019413809526801364	6.938893903907228e-18	True	True	True	False	False	state_to_effect
8	64	direct_effect_ridge	CPA_0.8.8	0.05749429328299111	0.030771096581544737	0.08826538986453586	1650	167	0.08826538986453585	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
16	128	direct_effect_ridge	additive	-0.002821429897965291	0.015340822696117636	0.012519392798152349	1650	1115	0.012519392798152345	3.469446951953614e-18	True	True	True	False	False	state_to_effect
16	128	direct_effect_ridge	compositional_ridge	-0.0036126659628906077	0.015340822696117636	0.011728156733227028	1650	995	0.011728156733227028	0.0	True	True	True	False	False	state_to_effect
16	128	direct_effect_ridge	CPA_0.8.8	0.06471525249072282	0.015340822696117636	0.08005607518684046	1650	61	0.08005607518684046	0.0	False	False	False	False	False	effect_preferred_both
32	256	direct_effect_ridge	additive	0.0009158879763838948	0.0077340105629845465	0.008649898539368442	1650	550	0.008649898539368442	0.0	False	False	False	False	False	effect_preferred_both
32	256	direct_effect_ridge	compositional_ridge	0.00012465191145857776	0.0077340105629845465	0.007858662474443124	1650	805	0.007858662474443124	0.0	False	False	False	False	False	effect_preferred_both
32	256	direct_effect_ridge	CPA_0.8.8	0.06746665924414501	0.0077340105629845465	0.07520066980712956	1650	48	0.07520066980712956	0.0	False	False	False	False	False	effect_preferred_both
64	512	direct_effect_ridge	additive	0.002842666828094431	0.003838995584402715	0.006681662412497147	1650	298	0.0066816624124971455	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
64	512	direct_effect_ridge	compositional_ridge	0.0020514307631691138	0.003838995584402715	0.005890426347571828	1650	463	0.005890426347571829	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
64	512	direct_effect_ridge	CPA_0.8.8	0.0690139586298364	0.003838995584402715	0.07285295421423911	1650	2	0.07285295421423912	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
128	1024	direct_effect_ridge	additive	0.003814742290780321	0.0019173976591933103	0.005732139949973632	1650	121	0.005732139949973632	0.0	False	False	False	False	False	effect_preferred_both
128	1024	direct_effect_ridge	compositional_ridge	0.0030235062258550036	0.0019173976591933103	0.004940903885048313	1650	330	0.004940903885048314	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
128	1024	direct_effect_ridge	CPA_0.8.8	0.07003607779453187	0.0019173976591933103	0.07195347545372517	1650	0	0.07195347545372519	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
135	1080	direct_effect_ridge	additive	0.003860680074926967	0.0018214947222395463	0.005682174797166513	1650	111	0.005682174797166513	0.0	False	False	False	False	False	effect_preferred_both
135	1080	direct_effect_ridge	compositional_ridge	0.0030694440100016494	0.0018214947222395463	0.004890938732241195	1650	317	0.004890938732241196	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
135	1080	direct_effect_ridge	CPA_0.8.8	0.0699731527191967	0.0018214947222395463	0.07179464744143625	1650	0	0.07179464744143625	0.0	False	False	False	False	False	effect_preferred_both
