depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_task_allocation_pairs	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification	d_S_over_V	inside_reversal_interval
8	64	direct_effect_ridge	additive	-0.010566050989818054	0.030771096581544737	0.020205045591726686	1650	1334	0.020205045591726683	3.4694469519536142e-18	True	True	True	False	False	state_to_effect	-0.34337583523608145	True
8	64	direct_effect_ridge	compositional_ridge	-0.011357287054743372	0.030771096581544737	0.019413809526801371	1650	1249	0.019413809526801364	6.9388939039072284e-18	True	True	True	False	False	state_to_effect	-0.36908944810094985	True
8	64	direct_effect_ridge	CPA_0.8.8	0.057494293282991112	0.030771096581544737	0.088265389864535859	1650	167	0.088265389864535845	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both	1.8684512308694865	False
16	128	direct_effect_ridge	additive	-0.002821429897965291	0.015340822696117636	0.012519392798152349	1650	1115	0.012519392798152345	3.4694469519536142e-18	True	True	True	False	False	state_to_effect	-0.18391646614097962	True
16	128	direct_effect_ridge	compositional_ridge	-0.0036126659628906077	0.015340822696117636	0.011728156733227028	1650	995	0.011728156733227028	0	True	True	True	False	False	state_to_effect	-0.23549362602338658	True
16	128	direct_effect_ridge	CPA_0.8.8	0.064715252490722824	0.015340822696117636	0.080056075186840464	1650	61	0.080056075186840464	0	False	False	False	False	False	effect_preferred_both	4.2184994750705629	False
32	256	direct_effect_ridge	additive	0.00091588797638389485	0.0077340105629845465	0.0086498985393684419	1650	550	0.0086498985393684419	0	False	False	False	False	False	effect_preferred_both	0.11842341937925342	False
32	256	direct_effect_ridge	compositional_ridge	0.00012465191145857776	0.0077340105629845465	0.0078586624744431243	1650	805	0.0078586624744431243	0	False	False	False	False	False	effect_preferred_both	0.016117370210892847	False
32	256	direct_effect_ridge	CPA_0.8.8	0.067466659244145008	0.0077340105629845465	0.075200669807129555	1650	48	0.075200669807129555	0	False	False	False	False	False	effect_preferred_both	8.7233730410253916	False
64	512	direct_effect_ridge	additive	0.0028426668280944309	0.003838995584402715	0.0066816624124971472	1650	298	0.0066816624124971455	1.7347234759768071e-18	False	False	False	False	False	effect_preferred_both	0.74047150240124682	False
64	512	direct_effect_ridge	compositional_ridge	0.0020514307631691138	0.003838995584402715	0.0058904263475718279	1650	463	0.0058904263475718288	-8.6736173798840355e-19	False	False	False	False	False	effect_preferred_both	0.53436653365890308	False
64	512	direct_effect_ridge	CPA_0.8.8	0.069013958629836406	0.003838995584402715	0.07285295421423911	1650	2	0.072852954214239124	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both	17.977087264760126	False
128	1024	direct_effect_ridge	additive	0.0038147422907803211	0.0019173976591933103	0.0057321399499736317	1650	121	0.0057321399499736317	0	False	False	False	False	False	effect_preferred_both	1.9895415395392022	False
128	1024	direct_effect_ridge	compositional_ridge	0.0030235062258550036	0.0019173976591933103	0.0049409038850483132	1650	330	0.0049409038850483141	-8.6736173798840355e-19	False	False	False	False	False	effect_preferred_both	1.5768801069294391	False
128	1024	direct_effect_ridge	CPA_0.8.8	0.070036077794531873	0.0019173976591933103	0.071953475453725171	1650	0	0.071953475453725185	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both	36.526631530361591	False
135	1080	direct_effect_ridge	additive	0.003860680074926967	0.0018214947222395463	0.0056821747971665133	1650	111	0.0056821747971665133	0	False	False	False	False	False	effect_preferred_both	2.1195120841087158	False
135	1080	direct_effect_ridge	compositional_ridge	0.0030694440100016494	0.0018214947222395463	0.0048909387322411948	1650	317	0.0048909387322411957	-8.6736173798840355e-19	False	False	False	False	False	effect_preferred_both	1.6851237461878215	False
135	1080	direct_effect_ridge	CPA_0.8.8	0.069973152719196699	0.0018214947222395463	0.071794647441436252	1650	0	0.071794647441436252	0	False	False	False	False	False	effect_preferred_both	38.415237697292909	False
