alpha	fold	condition	standardized_mse
0	0	AHR+KLF1	0.032182917816660057
0	0	CEBPA+KLF1	0.030957000166464847
0	0	DUSP9+ETS2	0.015538249626914975
0	0	DUSP9+IGDCC3	0.017371239201532749
0	0	ELMSAN1+LHX1	0.01289393756535862
0	0	FEV+MAP7D1	0.013401355645939503
0	0	IGDCC3+MAPK1	0.015475682451829122
0	0	IKZF3+MAP2K6	0.0091474536778564011
0	0	MAP2K6+SPI1	0.066348103804497585
0	0	PTPN12+PTPN9	0.010287557844095154
0	0	PTPN12+UBASH3B	0.0087528652798353479
0	1	C19orf26+TGFBR2	0.020923549939411267
0	1	CEBPE+FOSB	0.055372961961839495
0	1	CEBPE+KLF1	0.017049674082520616
0	1	ETS2+MAPK1	0.03951594457666948
0	1	ETS2+PRTG	0.0079803514040855325
0	1	FEV+ISL2	0.022743741019226195
0	1	FOXF1+FOXL2	0.025132382659498829
0	1	FOXL2+MEIS1	0.01593456574154346
0	1	MAP2K3+MAP2K6	0.014385499851184405
0	1	PTPN9+UBASH3B	0.0083722891568545846
0	1	SNAI1+UBASH3B	0.014690474967829945
0	2	BCL2L11+TGFBR2	0.0072474425251634845
0	2	CBL+TGFBR2	0.012995321278450867
0	2	CEBPB+OSR2	0.020200089314223898
0	2	CEBPE+SET	0.022802867179281306
0	2	DUSP9+KLF1	0.019937468389052693
0	2	DUSP9+MAPK1	0.026782882631519875
0	2	ETS2+MAP7D1	0.016185788181226735
0	2	FOXF1+HOXB9	0.014321817777610744
0	2	IER5L+LYL1	0.026483706193152379
0	2	IKZF3+MAPK1	0.023303499550603859
0	2	IRF1+SET	0.022761708711715518
0	3	AHR+FEV	0.029525319425317463
0	3	BAK1+BCL2L11	0.0089464746662697159
0	3	CEBPE+RUNX1T1	0.0052251664332592521
0	3	CNN1+UBASH3B	0.021210458590085822
0	3	ELMSAN1+MAP2K3	0.0083355684537351014
0	3	FOXA1+KLF1	0.01532678503008174
0	3	IKZF3+MAP2K3	0.012575526394308789
0	3	KLF1+MAP2K6	0.013986947892619953
0	3	KLF1+SET	0.018524504182345646
0	3	PTPN12+ZBTB25	0.010899579414541475
0	3	S1PR2+SGK1	0.022173855425365787
0	4	BPGM+SAMD1	0.018590120336271342
0	4	CEBPA+CEBPE	0.070956304107327048
0	4	CEBPB+LYL1	0.038967333196050898
0	4	CEBPE+ZC3HAV1	0.020310335303230495
0	4	CNN1+MAPK1	0.014910423205314218
0	4	ELMSAN1+MAP2K6	0.0060094815030708338
0	4	FOXA1+FOXF1	0.010033648417026709
0	4	FOXA3+FOXF1	0.016584282231189965
0	4	MAP2K3+SLC38A2	0.0079498866473193645
0	4	MAPK1+PRTG	0.0078013293262217676
0	4	RHOXF2B+SET	0.028548699129868904
0.01	0	AHR+KLF1	0.031909561794138938
0.01	0	CEBPA+KLF1	0.030853490933718596
0.01	0	DUSP9+ETS2	0.015380747608308423
0.01	0	DUSP9+IGDCC3	0.016957144439648287
0.01	0	ELMSAN1+LHX1	0.012891749224976354
0.01	0	FEV+MAP7D1	0.013365734214181243
0.01	0	IGDCC3+MAPK1	0.015228311289348751
0.01	0	IKZF3+MAP2K6	0.0090743904435621019
0.01	0	MAP2K6+SPI1	0.064366505856315759
0.01	0	PTPN12+PTPN9	0.010212026355581159
0.01	0	PTPN12+UBASH3B	0.0087003908638943334
0.01	1	C19orf26+TGFBR2	0.020934983685461518
0.01	1	CEBPE+FOSB	0.055505205816930171
0.01	1	CEBPE+KLF1	0.017068292055249124
0.01	1	ETS2+MAPK1	0.039324305763240218
0.01	1	ETS2+PRTG	0.0078873186020167151
0.01	1	FEV+ISL2	0.022896328402085716
0.01	1	FOXF1+FOXL2	0.025256370421253314
0.01	1	FOXL2+MEIS1	0.015902193764824692
0.01	1	MAP2K3+MAP2K6	0.014072291134841751
0.01	1	PTPN9+UBASH3B	0.0083612872547341541
0.01	1	SNAI1+UBASH3B	0.014376861767280846
0.01	2	BCL2L11+TGFBR2	0.0071982383375797845
0.01	2	CBL+TGFBR2	0.012884328206622653
0.01	2	CEBPB+OSR2	0.019807349367885193
0.01	2	CEBPE+SET	0.02267531734302226
0.01	2	DUSP9+KLF1	0.019858110993383776
0.01	2	DUSP9+MAPK1	0.026624739861751939
0.01	2	ETS2+MAP7D1	0.01624384243607219
0.01	2	FOXF1+HOXB9	0.014275219414256827
0.01	2	IER5L+LYL1	0.026322559251982344
0.01	2	IKZF3+MAPK1	0.02303873242933021
0.01	2	IRF1+SET	0.022438474589668436
0.01	3	AHR+FEV	0.029627825568811873
0.01	3	BAK1+BCL2L11	0.008890509890723864
0.01	3	CEBPE+RUNX1T1	0.0051726441868511107
0.01	3	CNN1+UBASH3B	0.021411995225798171
0.01	3	ELMSAN1+MAP2K3	0.0083106502077334912
0.01	3	FOXA1+KLF1	0.015306819533468378
0.01	3	IKZF3+MAP2K3	0.012429805539541483
0.01	3	KLF1+MAP2K6	0.013705343926616792
0.01	3	KLF1+SET	0.01839150539851547
0.01	3	PTPN12+ZBTB25	0.010935712853039643
0.01	3	S1PR2+SGK1	0.021758216949490268
0.01	4	BPGM+SAMD1	0.017903487741179339
0.01	4	CEBPA+CEBPE	0.069423741338334344
0.01	4	CEBPB+LYL1	0.038404813440559009
0.01	4	CEBPE+ZC3HAV1	0.020192866914071145
0.01	4	CNN1+MAPK1	0.014787905581247807
0.01	4	ELMSAN1+MAP2K6	0.0059749912531144728
0.01	4	FOXA1+FOXF1	0.009974688177709844
0.01	4	FOXA3+FOXF1	0.016341218255065869
0.01	4	MAP2K3+SLC38A2	0.0078608794099690425
0.01	4	MAPK1+PRTG	0.0077603752022038569
0.01	4	RHOXF2B+SET	0.027964245617849621
0.10000000000000001	0	AHR+KLF1	0.029719020945756031
0.10000000000000001	0	CEBPA+KLF1	0.030466554226201571
0.10000000000000001	0	DUSP9+ETS2	0.01416730138708088
0.10000000000000001	0	DUSP9+IGDCC3	0.014207431044350915
0.10000000000000001	0	ELMSAN1+LHX1	0.013103754081129779
0.10000000000000001	0	FEV+MAP7D1	0.013231739490088259
0.10000000000000001	0	IGDCC3+MAPK1	0.013396030828928929
0.10000000000000001	0	IKZF3+MAP2K6	0.008659575024803608
0.10000000000000001	0	MAP2K6+SPI1	0.049541657925568416
0.10000000000000001	0	PTPN12+PTPN9	0.0097853914964303526
0.10000000000000001	0	PTPN12+UBASH3B	0.0083241816838984517
0.10000000000000001	1	C19orf26+TGFBR2	0.021124225182869594
0.10000000000000001	1	CEBPE+FOSB	0.05681824779706908
0.10000000000000001	1	CEBPE+KLF1	0.017265583205221657
0.10000000000000001	1	ETS2+MAPK1	0.037881582154746671
0.10000000000000001	1	ETS2+PRTG	0.0072586886121413169
0.10000000000000001	1	FEV+ISL2	0.024357073254219996
0.10000000000000001	1	FOXF1+FOXL2	0.026531903499452805
0.10000000000000001	1	FOXL2+MEIS1	0.016243256360024581
0.10000000000000001	1	MAP2K3+MAP2K6	0.011646629131271239
0.10000000000000001	1	PTPN9+UBASH3B	0.0084076304296973308
0.10000000000000001	1	SNAI1+UBASH3B	0.01216862491168705
