alpha	fold	n_train_conditions	n_validation_conditions	training_mse	validation_mse
0	0	150	11	0.0028609684014501867	0.021123305734634942
0	1	150	11	0.0028422605871376281	0.022009221396423983
0	2	150	11	0.0029341598307195075	0.019365690157454665
0	3	150	11	0.0030877951628366361	0.015157289627993703
0	4	150	11	0.0029044098964566166	0.021878349400262866
0.01	0	150	11	0.0028637354718446567	0.020812732093061267
0.01	1	150	11	0.0028449338430867224	0.021962312606174383
0.01	2	150	11	0.002936853114920633	0.019215173839232328
0.01	3	150	11	0.0030904802745386562	0.015085548116417323
0.01	4	150	11	0.0029071760214862642	0.021508110266482212
0.10000000000000001	0	150	11	0.0030973538165523975	0.018600239830385199
0.10000000000000001	1	150	11	0.0030707959381469766	0.021791222230763754
0.10000000000000001	2	150	11	0.0031643991273813841	0.018221120319288332
0.10000000000000001	3	150	11	0.0033173256918514814	0.014736432037349246
0.10000000000000001	4	150	11	0.0031410011526270937	0.018767305518802541
1	0	150	11	0.010840688219009315	0.018306742548529195
1	1	150	11	0.010604364481654348	0.028216985818628092
1	2	150	11	0.010760145886252305	0.021072080233859314
1	3	150	11	0.010872923012436432	0.020918514049372613
1	4	150	11	0.010948666036573025	0.015008321445964727
10	0	150	11	0.041164548471554173	0.05657583262316928
10	1	150	11	0.040673042145212016	0.065912280434559475
10	2	150	11	0.041120829783578311	0.056255618503641004
10	3	150	11	0.040969058123760033	0.05696485636031192
10	4	150	11	0.041460001578933807	0.054093532277913914
100	0	150	11	0.060119932889263934	0.082967047538719071
100	1	150	11	0.059441616801195175	0.092878831169483436
100	2	150	11	0.060139635153203225	0.082576883347628249
100	3	150	11	0.060198821154768586	0.08101096951798524
100	4	150	11	0.06002655187507884	0.084826120662255033
