alpha	fold	condition	condition_order	standardized_mse
0	0	AHR	1	0.0039396823184973092
0	0	AHR+FEV	2	0.0039396823184973092
0	0	ARID1A	1	0
0	0	ARRDC3	1	0
0	0	ATL1	1	0
0	0	BAK1	1	0.0013234429979688926
0	0	BAK1+BCL2L11	2	0.0013234429979688926
0	0	BCL2L11	1	0.0015627609729055962
0	0	BCL2L11+TGFBR2	2	0.0014804440295699342
0	0	BCORL1	1	0
0	0	BPGM	1	0.0020655689262523706
0	0	BPGM+SAMD1	2	0.0020655689262523711
0	0	C19orf26	1	0.0034124576639350478
0	0	C19orf26+TGFBR2	2	0.0034124576639350482
0	0	C3orf72	1	0
0	0	CBFA2T3	1	0
0	0	CBL	1	0.0020090649170531002
0	0	CBL+TGFBR2	2	0.0020090649170531006
0	0	CDKN1A	1	0
0	0	CDKN1B	1	0
0	0	CDKN1C	1	0
0	0	CEBPA	1	0.014958821892638731
0	0	CEBPA+CEBPE	2	0.014958821892638734
0	0	CEBPB	1	0.0071657311930263361
0	0	CEBPB+LYL1	2	0.0071572652809073056
0	0	CEBPB+OSR2	2	0.0028715276522823983
0	0	CEBPE	1	0.042406663218265236
0	0	CEBPE+FOSB	2	0.012612690899602579
0	0	CEBPE+KLF1	2	0.010942225784900625
0	0	CEBPE+RUNX1T1	2	0.00090949455882455884
0	0	CEBPE+SET	2	0.0073989546440911729
0	0	CEBPE+ZC3HAV1	2	0.0028843184537359016
0	0	CELF2	1	0
0	0	CITED1	1	0
0	0	CKS1B	1	0
0	0	CLDN6	1	0
0	0	CNN1	1	0.0037793705765444127
0	0	CNN1+MAPK1	2	0.0041382076513594868
0	0	CNN1+UBASH3B	2	0.0057234793537511916
0	0	CNNM4	1	0
0	0	COL1A1	1	0
0	0	COL2A1	1	0
0	0	CSRNP1	1	0
0	0	DLX2	1	0
0	0	DUSP9	1	0.0044742192412736848
0	0	DUSP9+KLF1	2	0.0074629111564772522
0	0	DUSP9+MAPK1	2	0.012853995755142936
0	0	EGR1	1	0
0	0	ELMSAN1	1	0.0021762264827172614
0	0	ELMSAN1+MAP2K3	2	0.0019583459725443148
0	0	ELMSAN1+MAP2K6	2	0.0012966139537166691
0	0	ETS2	1	0.0037825303070019613
0	0	ETS2+MAP7D1	2	0.003275979809418184
0	0	ETS2+MAPK1	2	0.010797437463364425
0	0	ETS2+PRTG	2	0.0042709311394431588
0	0	FEV	1	0.0070263314172524316
0	0	FEV+ISL2	2	0.0040874035886939311
0	0	FOSB	1	0.012612690899602572
0	0	FOXA1	1	0.0038383217533905041
0	0	FOXA1+FOXF1	2	0.0026281855483631733
0	0	FOXA1+KLF1	2	0.004598522025774569
0	0	FOXA3	1	0.0028741050019279583
0	0	FOXA3+FOXF1	2	0.0028741050019279583
0	0	FOXF1	1	0.0051545228346326312
0	0	FOXF1+FOXL2	2	0.0052667081340659772
0	0	FOXF1+HOXB9	2	0.0025535688307350302
0	0	FOXL2	1	0.0045534444624923311
0	0	FOXL2+MEIS1	2	0.002134608103699739
0	0	FOXO4	1	0
0	0	GLB1L2	1	0
0	0	HES7	1	0
0	0	HK2	1	0
0	0	HNF4A	1	0
0	0	HOXA13	1	0
0	0	HOXB9	1	0.0025535688307350311
0	0	HOXC13	1	0
0	0	IER5L	1	0.0037691872064150385
0	0	IER5L+LYL1	2	0.0037691872064150385
0	0	IGDCC3	1	0
0	0	IKZF3	1	0.005657239384480559
0	0	IKZF3+MAP2K3	2	0.0040562688919877901
0	0	IKZF3+MAPK1	2	0.0065373726710121179
0	0	IRF1	1	0.0043588790060813763
0	0	IRF1+SET	2	0.0043588790060813763
0	0	ISL2	1	0.0040874035886939311
0	0	JUN	1	0
0	0	KIAA1804	1	0
0	0	KIF18B	1	0
0	0	KIF2C	1	0
0	0	KLF1	1	0.0017617534508453739
0	0	KLF1+MAP2K6	2	0.0031689952350766131
0	0	KLF1+SET	2	0.0058555393037235262
0	0	KMT2A	1	0
0	0	LHX1	1	0
0	0	LYL1	1	0.0041550265857474523
0	0	MAML2	1	0
0	0	MAP2K3	1	0.0039265217987070524
0	0	MAP2K3+MAP2K6	2	0.0025420205278240803
0	0	MAP2K3+SLC38A2	2	0.0014612514990933537
0	0	MAP2K6	1	0.0034251011503134208
0	0	MAP4K3	1	0
0	0	MAP4K5	1	0
0	0	MAP7D1	1	0.0032759798094181827
0	0	MAPK1	1	0.010801142020229767
0	0	MAPK1+PRTG	2	0.0023679440606837422
0	0	MEIS1	1	0.0021346081036997394
0	0	MIDN	1	0
0	0	NCL	1	0
0	0	NIT1	1	0
0	0	OSR2	1	0.0028715276522823983
0	0	PLK4	1	0
0	0	POU3F2	1	0
0	0	PRDM1	1	0
0	0	PRTG	1	0.0067780903761524534
0	0	PTPN1	1	0
0	0	PTPN12	1	0.0018500013305971675
0	0	PTPN12+ZBTB25	2	0.001850001330597167
0	0	PTPN13	1	0
0	0	PTPN9	1	0.0018145526796169869
0	0	PTPN9+UBASH3B	2	0.0018145526796169871
0	0	RHOXF2B	1	0.0052918466873420923
0	0	RHOXF2B+SET	2	0.0052918466873420923
0	0	RREB1	1	0
0	0	RUNX1T1	1	0.00090949455882455884
0	0	S1PR2	1	0.0024637617139295315
0	0	S1PR2+SGK1	2	0.0024637617139295315
0	0	SAMD1	1	0.0020655689262523719
0	0	SET	1	0.010129684714558704
0	0	SGK1	1	0.0024637617139295319
0	0	SLC38A2	1	0.0014612514990933537
0	0	SLC4A1	1	0
0	0	SLC6A9	1	0
0	0	SNAI1	1	0.0027493377972424371
0	0	SNAI1+UBASH3B	2	0.0027493377972424371
0	0	SPI1	1	0
0	0	STIL	1	0
0	0	TBX2	1	0
0	0	TBX3	1	0
0	0	TGFBR2	1	0.0025768002450243604
0	0	TMSB4X	1	0
0	0	TP73	1	0
0	0	TSC22D1	1	0
0	0	UBASH3A	1	0
0	0	UBASH3B	1	0.0037889704062398994
0	0	ZBTB1	1	0
0	0	ZBTB10	1	0
0	0	ZBTB25	1	0.0018500013305971668
0	0	ZC3HAV1	1	0.0028843184537359033
0	0	ZNF318	1	0
0	0	ctrl	0	0
0	1	AHR	1	0.0051184756410465621
0	1	AHR+FEV	2	0.0087450676042911193
0	1	AHR+KLF1	2	0.012995244601382686
0	1	ARID1A	1	0
0	1	ARRDC3	1	0
0	1	ATL1	1	0
0	1	BAK1	1	0.0012981746381921159
0	1	BAK1+BCL2L11	2	0.0012981746381921159
0	1	BCL2L11	1	0.0014137584888244976
0	1	BCL2L11+TGFBR2	2	0.0011811352241179556
0	1	BCORL1	1	0
0	1	BPGM	1	0.0020655689262523706
0	1	BPGM+SAMD1	2	0.0020655689262523711
0	1	C19orf26	1	0
0	1	C3orf72	1	0
0	1	CBFA2T3	1	0
0	1	CBL	1	0.0019153493775270175
0	1	CBL+TGFBR2	2	0.0019153493775270177
0	1	CDKN1A	1	0
0	1	CDKN1B	1	0
0	1	CDKN1C	1	0
0	1	CEBPA	1	0.015121267836625546
0	1	CEBPA+CEBPE	2	0.018800594897135803
0	1	CEBPA+KLF1	2	0.0099600023788790314
0	1	CEBPB	1	0.0071657311930263361
0	1	CEBPB+LYL1	2	0.0071572652809073056
0	1	CEBPB+OSR2	2	0.0028715276522823983
0	1	CEBPE	1	0.042184505985254944
0	1	CEBPE+RUNX1T1	2	0.00088195610008462769
0	1	CEBPE+SET	2	0.0072605460220440876
0	1	CEBPE+ZC3HAV1	2	0.0027944891940951152
0	1	CELF2	1	0
0	1	CITED1	1	0
0	1	CKS1B	1	0
0	1	CLDN6	1	0
0	1	CNN1	1	0.0049114243441433581
0	1	CNN1+MAPK1	2	0.0044917244537209487
0	1	CNN1+UBASH3B	2	0.0045598563113415091
0	1	CNNM4	1	0
0	1	COL1A1	1	0
0	1	COL2A1	1	0
0	1	CSRNP1	1	0
0	1	DLX2	1	0
0	1	DUSP9	1	0.0044058496712675076
0	1	DUSP9+ETS2	2	0.0053792701815675841
0	1	DUSP9+IGDCC3	2	0.0053354396192636898
0	1	DUSP9+KLF1	2	0.0080881685411430555
0	1	DUSP9+MAPK1	2	0.0069610480878154399
0	1	EGR1	1	0
0	1	ELMSAN1	1	0.0026121459114681568
0	1	ELMSAN1+LHX1	2	0.0019317591667545398
0	1	ELMSAN1+MAP2K3	2	0.0021165480715191805
0	1	ELMSAN1+MAP2K6	2	0.0021591527756717136
0	1	ETS2	1	0.002656033519417296
