condition	condition_order	validation_fold	hash_rank	assignment_sha256	fold_role
AHR	1	-1	-1		training_in_every_fold
AHR+FEV	2	3	8	212557ed446db11c71f37b34f429d5db2e804cd324df1a876eda6e26b9ba3f10	out_of_fold_double
AHR+KLF1	2	0	25	737a1f70049b9f9568b85e822140782e9b01c6beabc1ba6990ce62ef793d20e4	out_of_fold_double
ARID1A	1	-1	-1		training_in_every_fold
ARRDC3	1	-1	-1		training_in_every_fold
ATL1	1	-1	-1		training_in_every_fold
BAK1	1	-1	-1		training_in_every_fold
BAK1+BCL2L11	2	3	38	af7cd77904b8a561b4242ae9b7b7a8d3fa570d3648a615bbc09773a7ba073aef	out_of_fold_double
BCL2L11	1	-1	-1		training_in_every_fold
BCL2L11+TGFBR2	2	2	22	6803b64f76a86b8323d958810dce1ff8ad0c5da6ccc2214f766d1411d5d5808c	out_of_fold_double
BCORL1	1	-1	-1		training_in_every_fold
BPGM	1	-1	-1		training_in_every_fold
BPGM+SAMD1	2	4	14	43ac801183ec76f6b1e0634c494b8eba15e6160b0f128795388caa36160b289f	out_of_fold_double
C19orf26	1	-1	-1		training_in_every_fold
C19orf26+TGFBR2	2	1	21	6615ceff253f2b3315c565b9c14585a4a4caf775afd38fb9f38989971088a5c7	out_of_fold_double
C3orf72	1	-1	-1		training_in_every_fold
CBFA2T3	1	-1	-1		training_in_every_fold
CBL	1	-1	-1		training_in_every_fold
CBL+TGFBR2	2	2	27	7c5f15040944204f9631cd8f3f93409daf4b0aa6c173ce7bf85e34da03f68a08	out_of_fold_double
CDKN1A	1	-1	-1		training_in_every_fold
CDKN1B	1	-1	-1		training_in_every_fold
CDKN1C	1	-1	-1		training_in_every_fold
CEBPA	1	-1	-1		training_in_every_fold
CEBPA+CEBPE	2	4	39	b09346820e592dd1c893220fa40f61199926191149336fd91551325bd6c40e77	out_of_fold_double
CEBPA+KLF1	2	0	15	4d419f7daff8a46dff207aa487e5bcedd9b61f971c9e29de113a8093a9b800d6	out_of_fold_double
CEBPB	1	-1	-1		training_in_every_fold
CEBPB+LYL1	2	4	34	969ba06fb09b6603f67b0a988b4451e8f8b081f253bfa883934de792e2f87364	out_of_fold_double
CEBPB+OSR2	2	2	7	2083fec55e4d893d6f924b4a1808abf7c085be6ef3478282c21932dc0181037d	out_of_fold_double
CEBPE	1	-1	-1		training_in_every_fold
CEBPE+FOSB	2	1	26	75ffa92c26c7406eb582b5a88a89207cd880f4efaeb36eda8f18fcf8cdc6d1d5	out_of_fold_double
