depth_per_gemgroup	model	pattern	mean_utility	allocation_min_utility	allocation_max_utility
8	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
8	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
8	additive	P	-0.0569662637177467	-0.06022454419042066	-0.054722179714505326
8	additive	O	-0.0569662637177467	-0.06022454419042066	-0.054722179714505326
8	additive	D	-0.0569662637177467	-0.06022454419042066	-0.054722179714505326
8	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
8	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
8	compositional_ridge	P	-0.05617502765282139	-0.05943330812549532	-0.053930943649580045
8	compositional_ridge	O	-0.05617502765282139	-0.05943330812549532	-0.053930943649580045
8	compositional_ridge	D	-0.05617502765282139	-0.05943330812549532	-0.053930943649580045
8	CPA_0.8.8	S	-0.09425551140901113	-0.10268752843340502	-0.08723939902214671
8	CPA_0.8.8	M	-0.09425551140901113	-0.10268752843340502	-0.08723939902214671
8	CPA_0.8.8	P	-0.12803357515446323	-0.13897434703660266	-0.11826931501072284
8	CPA_0.8.8	O	-0.12201964082664854	-0.13081682991713747	-0.11495870994025018
8	CPA_0.8.8	D	-0.12502660799055587	-0.13424728370503516	-0.1166140124754865
8	zero_effect	S	-0.11820850686066037	-0.12720414693120913	-0.11094839173997537
8	zero_effect	M	-0.11820850686066037	-0.12720414693120916	-0.11094839173997537
8	zero_effect	P	-0.11820850686066037	-0.12720414693120916	-0.11094839173997537
8	zero_effect	O	-0.11820850686066037	-0.12720414693120916	-0.11094839173997537
8	zero_effect	D	-0.11820850686066037	-0.12720414693120916	-0.11094839173997537
16	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
16	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
16	additive	P	-0.04153598983231958	-0.042703787866181134	-0.0401587986234217
16	additive	O	-0.04153598983231958	-0.042703787866181134	-0.0401587986234217
16	additive	D	-0.04153598983231958	-0.042703787866181134	-0.0401587986234217
16	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
16	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
