condition	depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	crossing_allocation_count	n_allocations	strict_crossing_after_allocation_mean
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223471	0.0002126899583223471	0.0	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223471	0.00021268995832234884	1.734723475976807e-18	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223471	0.00021268995832235011	3.0068540250264657e-18	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223471	0.00021268995832235011	3.0068540250264657e-18	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223471	0.00021268995832235011	3.0068540250264657e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223471	0.0002126899583223471	0.0	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223471	0.00021268995832234884	1.734723475976807e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223471	0.0002126899583223493	2.1973164029039556e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223471	0.0002126899583223493	2.1973164029039556e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223471	0.0002126899583223493	2.1973164029039556e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223471	0.0002126899583223471	0.0	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223471	0.00021268995832234884	1.734723475976807e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223471	0.0002126899583223486	1.5034270125132329e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223471	0.0002126899583223486	1.5034270125132329e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223471	0.0002126899583223486	1.5034270125132329e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223471	0.0002126899583223471	0.0	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223471	0.00021268995832234884	1.734723475976807e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223471	0.00021268995832234873	1.61907524424502e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223471	0.00021268995832234873	1.61907524424502e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223471	0.00021268995832234873	1.61907524424502e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223471	0.0002126899583223471	0.0	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223471	0.00021268995832234884	1.734723475976807e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223471	0.00021268995832234879	1.6768993601109135e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223471	0.00021268995832234879	1.6768993601109135e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223471	0.00021268995832234879	1.6768993601109135e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223471	0.0002126899583223471	0.0	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223471	0.00021268995832234884	1.734723475976807e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223471	0.00021268995832234873	1.61907524424502e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223471	0.00021268995832234873	1.61907524424502e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223471	0.00021268995832234873	1.61907524424502e-18	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	S	0.016140971424477592	0.016140971424477592	0.0	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	M	0.016140971424477592	0.016140971424477592	4.625929269271486e-19	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	P	0.016140971424477592	0.01915074235195628	0.0030097709274786834	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	O	0.016140971424477592	0.013131200496998912	-0.003009770927478682	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	D	0.016140971424477592	0.016140971424477592	6.938893903907229e-19	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	S	0.015166110267929512	0.015166110267929512	0.0	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	M	0.015166110267929512	0.015166110267929512	3.4694469519536144e-19	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	P	0.015166110267929512	0.01664545590842355	0.0014793456404940401	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	O	0.015166110267929512	0.01368676462743547	-0.0014793456404940406	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	D	0.015166110267929512	0.015166110267929512	8.0953762212251e-19	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	S	0.015076528866827624	0.015076528866827624	0.0	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	M	0.015076528866827624	0.015076528866827624	2.312964634635743e-19	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	P	0.015076528866827624	0.01583838868159164	0.0007618598147640162	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	O	0.015076528866827624	0.014314669052063607	-0.0007618598147640166	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	D	0.015076528866827624	0.015076528866827622	-5.782411586589357e-19	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	S	0.014963331311114407	0.014963331311114407	0.0	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	M	0.014963331311114407	0.014963331311114408	2.312964634635743e-19	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	P	0.014963331311114407	0.015316928375349996	0.00035359706423558737	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	O	0.014963331311114407	0.014609734246878819	-0.0003535970642355887	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	D	0.014963331311114407	0.014963331311114407	-9.830099697201907e-19	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	S	0.014820056275714448	0.014820056275714448	0.0	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	M	0.014820056275714448	0.014820056275714448	0.0	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	P	0.014820056275714448	0.01499761461410871	0.00017755833839426324	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	O	0.014820056275714448	0.014642497937320186	-0.00017755833839426278	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	D	0.014820056275714448	0.014820056275714448	-1.7347234759768072e-19	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	S	0.014850652008904312	0.014850652008904312	0.0	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	M	0.014850652008904312	0.014850652008904312	0.0	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	P	0.014850652008904312	0.015022440587214097	0.0001717885783097847	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	O	0.014850652008904312	0.014678863430594526	-0.0001717885783097862	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	D	0.014850652008904312	0.014850652008904312	-4.625929269271486e-19	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	S	0.04132326409381989	0.04132326409381989	0.0	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	M	0.04132326409381989	0.04132326409381989	-1.1564823173178713e-18	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	P	0.04132326409381989	0.010552167512275147	-0.03077109658154474	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	O	0.04132326409381989	0.010552167512275147	-0.03077109658154474	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	D	0.04132326409381989	0.010552167512275147	-0.03077109658154474	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	S	0.033407983511261834	0.033407983511261834	0.0	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	M	0.033407983511261834	0.033407983511261834	2.312964634635743e-19	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	P	0.033407983511261834	0.018067160815144197	-0.015340822696117635	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	O	0.033407983511261834	0.018067160815144197	-0.015340822696117635	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	D	0.033407983511261834	0.018067160815144197	-0.015340822696117635	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	S	0.029949322138597256	0.029949322138597256	0.0	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	M	0.029949322138597256	0.029949322138597252	-2.312964634635743e-19	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	P	0.029949322138597256	0.022215311575612705	-0.007734010562984548	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	O	0.029949322138597256	0.022215311575612705	-0.007734010562984548	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	D	0.029949322138597256	0.022215311575612705	-0.007734010562984548	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	S	0.028131446302336608	0.028131446302336608	0.0	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	M	0.028131446302336608	0.028131446302336608	2.312964634635743e-19	0	30	False
