allocation	depth_per_gemgroup	cells_per_reference	model	pattern	scaled_squared_error
0	8	64	additive	S	0.026195167136201958
0	8	64	additive	M	0.026195167136201958
0	8	64	additive	P	0.054722179714505326
0	8	64	additive	O	0.054722179714505326
0	8	64	additive	D	0.054722179714505326
0	8	64	compositional_ridge	S	0.025403931071276635
0	8	64	compositional_ridge	M	0.025403931071276635
0	8	64	compositional_ridge	P	0.053930943649580045
0	8	64	compositional_ridge	O	0.053930943649580045
0	8	64	compositional_ridge	D	0.053930943649580045
0	8	64	CPA_0.8.8	S	0.097553898448625165
0	8	64	CPA_0.8.8	M	0.097553898448625151
0	8	64	CPA_0.8.8	P	0.12787723558755315
0	8	64	CPA_0.8.8	O	0.12428458646630405
0	8	64	CPA_0.8.8	D	0.12608091102692856
0	8	64	zero_effect	S	0.12040613242783979
0	8	64	zero_effect	M	0.1204061324278398
0	8	64	zero_effect	P	0.1204061324278398
0	8	64	zero_effect	O	0.1204061324278398
0	8	64	zero_effect	D	0.1204061324278398
0	16	128	additive	S	0.026195167136201958
0	16	128	additive	M	0.026195167136201958
0	16	128	additive	P	0.040727412136001784
0	16	128	additive	O	0.040727412136001784
0	16	128	additive	D	0.040727412136001784
0	16	128	compositional_ridge	S	0.025403931071276635
0	16	128	compositional_ridge	M	0.025403931071276635
0	16	128	compositional_ridge	P	0.039936176071076447
0	16	128	compositional_ridge	O	0.039936176071076447
0	16	128	compositional_ridge	D	0.039936176071076447
0	16	128	CPA_0.8.8	S	0.096742512333336361
0	16	128	CPA_0.8.8	M	0.096742512333336333
0	16	128	CPA_0.8.8	P	0.11238163284940406
0	16	128	CPA_0.8.8	O	0.11016788181686832
0	16	128	CPA_0.8.8	D	0.11127475733313616
0	16	128	zero_effect	S	0.11361059662069056
0	16	128	zero_effect	M	0.11361059662069056
0	16	128	zero_effect	P	0.11361059662069056
0	16	128	zero_effect	O	0.11361059662069056
0	16	128	zero_effect	D	0.11361059662069056
0	32	256	additive	S	0.026195167136201958
0	32	256	additive	M	0.026195167136201958
0	32	256	additive	P	0.033417985125195157
0	32	256	additive	O	0.033417985125195157
0	32	256	additive	D	0.033417985125195157
0	32	256	compositional_ridge	S	0.025403931071276635
0	32	256	compositional_ridge	M	0.025403931071276635
0	32	256	compositional_ridge	P	0.032626749060269841
0	32	256	compositional_ridge	O	0.032626749060269841
0	32	256	compositional_ridge	D	0.032626749060269841
0	32	256	CPA_0.8.8	S	0.093645758654270772
0	32	256	CPA_0.8.8	M	0.093645758654270772
0	32	256	CPA_0.8.8	P	0.10128990932301743
0	32	256	CPA_0.8.8	O	0.10044724396351047
0	32	256	CPA_0.8.8	D	0.10086857664326397
0	32	256	zero_effect	S	0.10682591466463098
0	32	256	zero_effect	M	0.10682591466463097
0	32	256	zero_effect	P	0.10682591466463097
0	32	256	zero_effect	O	0.10682591466463097
0	32	256	zero_effect	D	0.10682591466463097
0	64	512	additive	S	0.026195167136201958
0	64	512	additive	M	0.026195167136201958
0	64	512	additive	P	0.029842153559892427
0	64	512	additive	O	0.029842153559892427
0	64	512	additive	D	0.029842153559892427
0	64	512	compositional_ridge	S	0.025403931071276635
0	64	512	compositional_ridge	M	0.025403931071276635
0	64	512	compositional_ridge	P	0.029050917494967108
0	64	512	compositional_ridge	O	0.029050917494967108
0	64	512	compositional_ridge	D	0.029050917494967108
0	64	512	CPA_0.8.8	S	0.093023742386528094
0	64	512	CPA_0.8.8	M	0.093023742386528094
0	64	512	CPA_0.8.8	P	0.096912479041911415
0	64	512	CPA_0.8.8	O	0.096428978578525754
0	64	512	CPA_0.8.8	D	0.096670728810218556
0	64	512	zero_effect	S	0.10461208807991276
0	64	512	zero_effect	M	0.10461208807991275
0	64	512	zero_effect	P	0.10461208807991275
0	64	512	zero_effect	O	0.10461208807991275
0	64	512	zero_effect	D	0.10461208807991275
0	128	1024	additive	S	0.026195167136201958
0	128	1024	additive	M	0.026195167136201958
0	128	1024	additive	P	0.028060902054860181
0	128	1024	additive	O	0.028060902054860181
0	128	1024	additive	D	0.028060902054860181
0	128	1024	compositional_ridge	S	0.025403931071276635
0	128	1024	compositional_ridge	M	0.025403931071276635
0	128	1024	compositional_ridge	P	0.027269665989934865
0	128	1024	compositional_ridge	O	0.027269665989934865
0	128	1024	compositional_ridge	D	0.027269665989934865
0	128	1024	CPA_0.8.8	S	0.091859469971910454
0	128	1024	CPA_0.8.8	M	0.09185946997191044
0	128	1024	CPA_0.8.8	P	0.093864312955077314
0	128	1024	CPA_0.8.8	O	0.093586096826059992
0	128	1024	CPA_0.8.8	D	0.093725204890568653
0	128	1024	zero_effect	S	0.10269736696083379
0	128	1024	zero_effect	M	0.10269736696083379
0	128	1024	zero_effect	P	0.10269736696083379
0	128	1024	zero_effect	O	0.10269736696083379
0	128	1024	zero_effect	D	0.10269736696083379
0	135	1080	additive	S	0.026195167136201958
0	135	1080	additive	M	0.026195167136201958
0	135	1080	additive	P	0.027996298478622256
0	135	1080	additive	O	0.027996298478622256
0	135	1080	additive	D	0.027996298478622256
0	135	1080	compositional_ridge	S	0.025403931071276635
0	135	1080	compositional_ridge	M	0.025403931071276635
0	135	1080	compositional_ridge	P	0.027205062413696943
0	135	1080	compositional_ridge	O	0.027205062413696943
0	135	1080	compositional_ridge	D	0.027205062413696943
0	135	1080	CPA_0.8.8	S	0.092026288217978175
0	135	1080	CPA_0.8.8	M	0.092026288217978161
0	135	1080	CPA_0.8.8	P	0.093972153085492102
