allocation	depth_per_gemgroup	cells_per_reference	scaled_rms_displacement
0	8	64	0.04089163235047541
0	16	128	0.032327573515619427
0	32	256	0.020092789360274206
0	64	512	0.015314851714016866
0	128	1024	0.011683046416600654
0	135	1080	0.011910802844677605
1	8	64	0.060074435790776454
1	16	128	0.04584755500303922
1	32	256	0.037248078691508327
1	64	512	0.01991755306835688
1	128	1024	0.015610121113867486
1	135	1080	0.016537242237638587
2	8	64	0.059749887174644835
2	16	128	0.040474654540914486
2	32	256	0.029413992180406072
2	64	512	0.014242639971257907
2	128	1024	0.012958902625748593
2	135	1080	0.012863225694574354
3	8	64	0.055660576104210574
3	16	128	0.035363994478756398
3	32	256	0.030591478632841382
3	64	512	0.024535612917388275
3	128	1024	0.014384220982350978
3	135	1080	0.015132732508332072
4	8	64	0.041041183079243031
4	16	128	0.023776559183633587
4	32	256	0.022885310818644589
4	64	512	0.010989035654388501
4	128	1024	0.011736244811529684
4	135	1080	0.011204849579569201
5	8	64	0.044403046222775293
5	16	128	0.040723811604965972
5	32	256	0.021096952622575278
5	64	512	0.012610427560394455
5	128	1024	0.010511899324716601
5	135	1080	0.010672827987478883
6	8	64	0.064133254417059485
6	16	128	0.052922163942996918
6	32	256	0.028538703175755117
6	64	512	0.021078656988173076
6	128	1024	0.012404563841094724
6	135	1080	0.012696463442896461
7	8	64	0.047432621025207303
7	16	128	0.035087333267100208
7	32	256	0.028180759607033888
7	64	512	0.017743020422411417
7	128	1024	0.0094447984776959721
7	135	1080	0.0094085677090530954
8	8	64	0.049326205905796804
8	16	128	0.025383633038504654
8	32	256	0.030356767807590754
8	64	512	0.021611866555558603
8	128	1024	0.011347750935118098
8	135	1080	0.01060201535595825
9	8	64	0.042774034117269988
9	16	128	0.033303243488820466
9	32	256	0.029977113399716548
9	64	512	0.021635478874225841
9	128	1024	0.013734338857350696
9	135	1080	0.01411568299188241
10	8	64	0.069740425324307617
10	16	128	0.04548883329799757
10	32	256	0.031303146694710897
10	64	512	0.022952748811026803
10	128	1024	0.015586296535958805
10	135	1080	0.013900579684241209
11	8	64	0.077951891284087749
11	16	128	0.049296195932243443
11	32	256	0.033950587063567607
11	64	512	0.023740002780631868
11	128	1024	0.017174258321619069
11	135	1080	0.016903183730250626
12	8	64	0.047928038979158372
12	16	128	0.031777181361340445
12	32	256	0.016528569705791137
12	64	512	0.023264941738953236
12	128	1024	0.019984413339853659
12	135	1080	0.019202787798892038
13	8	64	0.049293615570728429
13	16	128	0.046267417744844767
13	32	256	0.029794640765797586
13	64	512	0.017886383562247386
13	128	1024	0.011075115679684385
13	135	1080	0.011659521424939373
14	8	64	0.057323092701158054
14	16	128	0.046021851753347789
14	32	256	0.027732888383222361
14	64	512	0.01490018937875754
14	128	1024	0.010484370337482004
14	135	1080	0.0092732466620409921
15	8	64	0.043725783374445389
15	16	128	0.02903157504172886
15	32	256	0.025848511285094643
15	64	512	0.018778648044480255
15	128	1024	0.014256465071590877
15	135	1080	0.013503336368275533
16	8	64	0.063259992602190548
16	16	128	0.04344124705447365
16	32	256	0.023843247973518601
16	64	512	0.016646057183690277
16	128	1024	0.010998645561816104
16	135	1080	0.010538173180265908
17	8	64	0.05613101695340611
17	16	128	0.030179612552938183
17	32	256	0.022969908231860695
17	64	512	0.018913170830106782
17	128	1024	0.015037681026876561
17	135	1080	0.01483565865799988
18	8	64	0.058161503293635487
18	16	128	0.030927073008240144
18	32	256	0.02322044759082996
18	64	512	0.019172740135907858
18	128	1024	0.01307151829017936
18	135	1080	0.013927978573364565
19	8	64	0.057513180965960913
19	16	128	0.034565902875613556
19	32	256	0.024068631386026596
19	64	512	0.021849732699347826
19	128	1024	0.013651220845062288
19	135	1080	0.012164098181823154
20	8	64	0.056146197129522728
20	16	128	0.046567266329189068
20	32	256	0.023153212976330412
20	64	512	0.016381543604316665
20	128	1024	0.0098796869635640033
20	135	1080	0.01037882397112631
21	8	64	0.048356561758235488
21	16	128	0.029141224557606489
21	32	256	0.02438193578247377
21	64	512	0.014463108231327165
21	128	1024	0.011318810202826261
21	135	1080	0.010561819628600288
22	8	64	0.058021807648783202
22	16	128	0.038266195303877544
22	32	256	0.027242120192640981
22	64	512	0.021427678163797686
22	128	1024	0.012540798265824877
22	135	1080	0.012238905258105028
23	8	64	0.045610074278035324
23	16	128	0.030052085049717504
23	32	256	0.02671302558870163
23	64	512	0.01486067950881465
23	128	1024	0.013979176198117685
23	135	1080	0.014074578487816597
24	8	64	0.05828968952339416
24	16	128	0.034689019243648395
24	32	256	0.025932267982048791
24	64	512	0.01821014629284004
24	128	1024	0.017851649371475719
24	135	1080	0.01689744190386043
25	8	64	0.069076002728503422
25	16	128	0.038596499396434135
25	32	256	0.034898223921817968
25	64	512	0.018691244989255344
25	128	1024	0.0099697796023378721
25	135	1080	0.010861244667227765
26	8	64	0.049300175982049395
26	16	128	0.044515354806349466
26	32	256	0.030354210597669823
26	64	512	0.024547401068575295
26	128	1024	0.01114462430385762
26	135	1080	0.010833639604292981
27	8	64	0.04346246149936122
27	16	128	0.045205814536042617
27	32	256	0.03645547551881969
27	64	512	0.018209285666452343
27	128	1024	0.011612148355480034
27	135	1080	0.011390943785120969
28	8	64	0.063327542271376755
28	16	128	0.043039524546079316
28	32	256	0.025850311781791993
28	64	512	0.016672403696250677
28	128	1024	0.014319820313131162
28	135	1080	0.013082515382182525
29	8	64	0.057528850151207352
29	16	128	0.03427423248440032
29	32	256	0.026517652855697689
29	64	512	0.017914966675776613
29	128	1024	0.015419616458737129
29	135	1080	0.01523923748998466
