depth_per_gemgroup	cells_per_reference	pattern	mean	allocation_min	allocation_max
8	64	S	0	0	0
8	64	M	0	0	0
8	64	P	1.6666666666666667	0	3
8	64	O	0.93333333333333335	0	3
8	64	D	0	0	0
16	128	S	0	0	0
16	128	M	0	0	0
16	128	P	0.53333333333333333	0	3
16	128	O	0.53333333333333333	0	2
16	128	D	0	0	0
32	256	S	0	0	0
32	256	M	0	0	0
32	256	P	0.20000000000000001	0	1
32	256	O	0.36666666666666664	0	1
32	256	D	0	0	0
64	512	S	0	0	0
64	512	M	0	0	0
64	512	P	0.10000000000000001	0	1
64	512	O	0.20000000000000001	0	1
64	512	D	0	0	0
128	1024	S	0	0	0
128	1024	M	0	0	0
128	1024	P	0	0	0
128	1024	O	0	0	0
128	1024	D	0	0	0
135	1080	S	0	0	0
135	1080	M	0	0	0
135	1080	P	0	0	0
135	1080	O	0	0	0
135	1080	D	0	0	0
