condition	kind	gene_a	gene_b	n_cells	gemgroup_1_n_cells	gemgroup_2_n_cells	gemgroup_3_n_cells	gemgroup_4_n_cells	gemgroup_5_n_cells	gemgroup_6_n_cells	gemgroup_7_n_cells	gemgroup_8_n_cells	single_a_n_cells	single_b_n_cells	minimum_gemgroup_cells
AHR+FEV	double	AHR	FEV	239	29	26	37	28	25	32	32	30	466	625	25
AHR+KLF1	double	AHR	KLF1	402	59	45	58	35	45	59	57	44	466	1629	35
BAK1+BCL2L11	double	BAK1	BCL2L11	153	15	16	23	16	19	24	20	20	1154	454	15
BAK1+KLF1	double	BAK1	KLF1	319	58	44	37	34	36	33	34	43	1154	1629	33
BAK1+TMSB4X	double	BAK1	TMSB4X	262	46	37	30	22	33	26	31	37	1154	456	22
BCL2L11+TGFBR2	double	BCL2L11	TGFBR2	372	52	59	38	44	40	43	49	47	454	530	38
BPGM+SAMD1	double	BPGM	SAMD1	233	43	16	34	25	27	27	34	27	388	415	16
BPGM+ZBTB1	double	BPGM	ZBTB1	280	37	41	38	31	39	28	35	31	388	589	28
C19orf26+TGFBR2	double	C19orf26	TGFBR2	259	35	47	24	31	26	28	32	36	736	530	24
C3orf72+FOXL2	double	C3orf72	FOXL2	46	6	7	9	6	6	4	5	3	212	531	3
CBFA2T3+FEV	double	CBFA2T3	FEV	136	17	12	20	18	15	27	10	17	526	625	10
CBFA2T3+POU3F2	double	CBFA2T3	POU3F2	192	24	22	31	27	26	20	25	17	526	310	17
CBFA2T3+PRDM1	double	CBFA2T3	PRDM1	93	19	7	10	11	17	11	5	13	526	261	5
CBL+CNN1	double	CBL	CNN1	279	26	31	35	35	34	43	32	43	522	624	26
CBL+PTPN12	double	CBL	PTPN12	253	27	42	37	26	34	33	30	24	522	353	24
CBL+PTPN9	double	CBL	PTPN9	226	30	25	23	32	25	31	30	30	522	358	23
CBL+TGFBR2	double	CBL	TGFBR2	154	20	34	12	14	19	22	13	20	522	530	12
