source_column	ensembl_id	gene_symbol	unique_symbol
0	ENSG00000243485	RP11-34P13.3	True
1	ENSG00000237613	FAM138A	True
2	ENSG00000186092	OR4F5	True
3	ENSG00000238009	RP11-34P13.7	True
4	ENSG00000239945	RP11-34P13.8	True
5	ENSG00000239906	RP11-34P13.14	True
6	ENSG00000241599	RP11-34P13.9	True
7	ENSG00000279928	FO538757.3	True
8	ENSG00000279457	FO538757.2	True
9	ENSG00000228463	AP006222.2	True
10	ENSG00000236743	RP5-857K21.15	True
11	ENSG00000236601	RP4-669L17.2	True
12	ENSG00000237094	RP4-669L17.10	True
13	ENSG00000278566	OR4F29	True
14	ENSG00000230021	RP5-857K21.4	True
15	ENSG00000235146	RP5-857K21.2	True
16	ENSG00000273547	OR4F16	True
17	ENSG00000229905	RP11-206L10.4	True
18	ENSG00000237491	RP11-206L10.9	True
19	ENSG00000177757	FAM87B	True
20	ENSG00000225880	LINC00115	True
21	ENSG00000230368	FAM41C	True
22	ENSG00000272438	RP11-54O7.16	True
23	ENSG00000230699	RP11-54O7.1	True
24	ENSG00000241180	RP11-54O7.2	True
25	ENSG00000223764	RP11-54O7.3	True
26	ENSG00000187634	SAMD11	True
27	ENSG00000188976	NOC2L	True
28	ENSG00000187961	KLHL17	True
29	ENSG00000187583	PLEKHN1	True
30	ENSG00000187642	PERM1	True
31	ENSG00000272512	RP11-54O7.17	True
32	ENSG00000188290	HES4	True
33	ENSG00000187608	ISG15	True
34	ENSG00000224969	RP11-54O7.11	True
35	ENSG00000188157	AGRN	True
36	ENSG00000273443	RP11-54O7.18	True
37	ENSG00000237330	RNF223	True
38	ENSG00000131591	C1orf159	True
39	ENSG00000223823	LINC01342	True
40	ENSG00000272141	RP11-465B22.8	True
41	ENSG00000205231	TTLL10-AS1	True
42	ENSG00000162571	TTLL10	True
43	ENSG00000186891	TNFRSF18	True
44	ENSG00000186827	TNFRSF4	True
45	ENSG00000078808	SDF4	True
46	ENSG00000176022	B3GALT6	True
47	ENSG00000184163	FAM132A	True
48	ENSG00000260179	RP5-902P8.12	True
49	ENSG00000160087	UBE2J2	True
50	ENSG00000230415	RP5-902P8.10	True
51	ENSG00000162572	SCNN1D	True
52	ENSG00000131584	ACAP3	True
53	ENSG00000169972	PUSL1	True
54	ENSG00000127054	CPSF3L	True
55	ENSG00000224051	CPTP	True
56	ENSG00000169962	TAS1R3	True
57	ENSG00000107404	DVL1	True
58	ENSG00000162576	MXRA8	True
59	ENSG00000175756	AURKAIP1	True
60	ENSG00000221978	CCNL2	True
61	ENSG00000242485	MRPL20	True
62	ENSG00000272455	RP4-758J18.13	True
63	ENSG00000235098	ANKRD65	True
64	ENSG00000225905	RP4-758J18.7	True
65	ENSG00000205116	TMEM88B	True
66	ENSG00000225285	RP4-758J18.10	True
67	ENSG00000179403	VWA1	True
68	ENSG00000215915	ATAD3C	True
69	ENSG00000160072	ATAD3B	True
70	ENSG00000197785	ATAD3A	True
71	ENSG00000205090	TMEM240	True
72	ENSG00000160075	SSU72	True
73	ENSG00000215014	RP5-832C2.5	True
74	ENSG00000279244	AL645728.1	True
75	ENSG00000228594	C1orf233	True
76	ENSG00000272106	RP11-345P4.9	True
77	ENSG00000197530	MIB2	True
78	ENSG00000189409	MMP23B	True
79	ENSG00000248333	CDK11B	True
80	ENSG00000272004	RP11-345P4.10	True
81	ENSG00000189339	SLC35E2B	True
82	ENSG00000269737	RP11-345P4.7	True
83	ENSG00000008128	CDK11A	True
84	ENSG00000215790	SLC35E2	True
85	ENSG00000008130	NADK	True
86	ENSG00000078369	GNB1	True
87	ENSG00000231050	RP1-140A9.1	True
88	ENSG00000169885	CALML6	True
89	ENSG00000178821	TMEM52	True
90	ENSG00000142609	CFAP74	True
91	ENSG00000233542	RP11-547D24.1	True
92	ENSG00000187730	GABRD	True
93	ENSG00000226969	RP11-547D24.3	True
94	ENSG00000067606	PRKCZ	True
95	ENSG00000271806	RP5-892K4.1	True
96	ENSG00000182873	RP11-181G12.2	True
97	ENSG00000162585	FAAP20	True
98	ENSG00000234396	RP11-181G12.4	True
99	ENSG00000157933	SKI	True
100	ENSG00000116151	MORN1	True
101	ENSG00000157916	RER1	True
102	ENSG00000157911	PEX10	True
103	ENSG00000149527	PLCH2	True
104	ENSG00000224387	RP3-395M20.2	True
105	ENSG00000229393	RP3-395M20.3	True
106	ENSG00000157881	PANK4	True
107	ENSG00000197921	HES5	True
108	ENSG00000272449	RP3-395M20.12	True
109	ENSG00000238164	RP3-395M20.8	True
110	ENSG00000157873	TNFRSF14	True
111	ENSG00000228037	RP3-395M20.9	True
112	ENSG00000157870	FAM213B	True
113	ENSG00000142606	MMEL1	True
114	ENSG00000237058	RP13-436F16.1	True
115	ENSG00000215912	TTC34	True
116	ENSG00000233234	RP11-740P5.2	True
117	ENSG00000231630	RP11-740P5.3	True
118	ENSG00000169717	ACTRT2	True
119	ENSG00000177133	LINC00982	True
120	ENSG00000142611	PRDM16	True
121	ENSG00000226286	RP1-163G9.2	True
122	ENSG00000272235	RP11-22L13.1	True
123	ENSG00000130762	ARHGEF16	True
124	ENSG00000272088	RP11-168F9.2	True
125	ENSG00000162591	MEGF6	True
126	ENSG00000238260	RP11-46F15.2	True
127	ENSG00000158109	TPRG1L	True
128	ENSG00000116213	WRAP73	True
129	ENSG00000078900	TP73	True
130	ENSG00000227589	RP5-1092A11.5	True
131	ENSG00000235131	RP5-1092A11.2	True
132	ENSG00000227372	TP73-AS1	True
133	ENSG00000162592	CCDC27	True
134	ENSG00000235169	SMIM1	True
135	ENSG00000130764	LRRC47	True
136	ENSG00000272153	RP1-286D6.5	True
137	ENSG00000116198	CEP104	True
138	ENSG00000169598	DFFB	True
139	ENSG00000198912	C1orf174	True
140	ENSG00000236423	LINC01134	True
141	ENSG00000233304	LINC01346	True
142	ENSG00000226374	RP13-614K11.2	True
143	ENSG00000235054	RP5-1166F10.1	True
144	ENSG00000227169	RP1-37J18.1	True
145	ENSG00000232596	RP1-37J18.2	True
146	ENSG00000196581	AJAP1	True
147	ENSG00000231510	RP11-542C10.1	True
148	ENSG00000260972	RP1-58B11.1	True
149	ENSG00000236948	RP11-154H17.1	True
150	ENSG00000131697	NPHP4	True
151	ENSG00000069424	KCNAB2	True
152	ENSG00000116254	CHD5	True
153	ENSG00000116251	RPL22	True
154	ENSG00000226944	RP1-120G22.11	True
155	ENSG00000158286	RNF207	True
156	ENSG00000116237	ICMT	True
157	ENSG00000225077	LINC00337	True
158	ENSG00000173673	HES3	True
159	ENSG00000158292	GPR153	True
160	ENSG00000097021	ACOT7	True
161	ENSG00000271746	RP1-202O8.3	True
162	ENSG00000069812	HES2	True
163	ENSG00000187017	ESPN	True
164	ENSG00000231868	RP1-202O8.2	True
165	ENSG00000215788	TNFRSF25	True
166	ENSG00000171680	PLEKHG5	True
167	ENSG00000162408	NOL9	True
168	ENSG00000173662	TAS1R1	True
169	ENSG00000204859	ZBTB48	True
170	ENSG00000162413	KLHL21	True
171	ENSG00000116273	PHF13	True
172	ENSG00000041988	THAP3	True
173	ENSG00000007923	DNAJC11	True
174	ENSG00000228750	RP11-242F24.1	True
175	ENSG00000237436	RP11-312B8.1	True
176	ENSG00000171735	CAMTA1	True
177	ENSG00000237365	RP11-334N17.1	True
178	ENSG00000237728	RP3-453P22.2	True
179	ENSG00000225126	RP4-549F15.1	True
180	ENSG00000270171	RP11-338N10.1	True
181	ENSG00000270035	RP11-338N10.2	True
182	ENSG00000269978	RP11-338N10.3	True
183	ENSG00000049245	VAMP3	True
184	ENSG00000049246	PER3	True
185	ENSG00000236266	RP3-467L1.4	True
186	ENSG00000049247	UTS2	True
187	ENSG00000049249	TNFRSF9	True
188	ENSG00000116288	PARK7	True
189	ENSG00000116285	ERRFI1	True
190	ENSG00000238290	RP11-431K24.1	True
191	ENSG00000227634	RP11-431K24.3	True
192	ENSG00000233645	RP11-431K24.4	True
193	ENSG00000162426	SLC45A1	True
194	ENSG00000142599	RERE	True
195	ENSG00000232912	RP5-1115A15.1	True
196	ENSG00000228423	RP4-633I8.4	True
197	ENSG00000074800	ENO1	True
198	ENSG00000230679	ENO1-AS1	True
199	ENSG00000131686	CA6	True
200	ENSG00000197241	SLC2A7	True
201	ENSG00000142583	SLC2A5	True
202	ENSG00000180758	GPR157	True
203	ENSG00000228526	MIR34AHG	True
204	ENSG00000234546	RP3-510D11.2	True
205	ENSG00000281937	RP3-510D11.4	True
206	ENSG00000049239	H6PD	True
207	ENSG00000171621	SPSB1	True
208	ENSG00000235263	RP13-392I16.1	True
209	ENSG00000171612	SLC25A33	True
210	ENSG00000188807	TMEM201	True
211	ENSG00000171608	PIK3CD	True
212	ENSG00000179840	PIK3CD-AS1	True
213	ENSG00000231789	PIK3CD-AS2	True
214	ENSG00000171603	CLSTN1	True
215	ENSG00000280113	AL357140.1	True
216	ENSG00000178585	CTNNBIP1	True
217	ENSG00000223989	RP11-84A14.5	True
218	ENSG00000162441	LZIC	True
219	ENSG00000173614	NMNAT1	True
220	ENSG00000162444	RBP7	True
221	ENSG00000130939	UBE4B	True
222	ENSG00000054523	KIF1B	True
223	ENSG00000142657	PGD	True
224	ENSG00000271989	RP4-736L20.3	True
225	ENSG00000251503	APITD1-CORT	True
226	ENSG00000175279	APITD1	True
227	ENSG00000241563	CORT	True
228	ENSG00000160049	DFFA	True
229	ENSG00000203469	RP5-1113E3.3	True
230	ENSG00000142655	PEX14	True
231	ENSG00000130940	CASZ1	True
232	ENSG00000272078	RP4-734G22.3	True
233	ENSG00000175262	C1orf127	True
234	ENSG00000120948	TARDBP	True
235	ENSG00000277726	RP4-635E18.9	True
236	ENSG00000009724	MASP2	True
237	ENSG00000271895	RP4-635E18.8	True
238	ENSG00000116649	SRM	True
239	ENSG00000171824	EXOSC10	True
240	ENSG00000226849	RP4-635E18.7	True
241	ENSG00000230337	RP4-635E18.6	True
242	ENSG00000198793	MTOR	True
243	ENSG00000225602	MTOR-AS1	True
244	ENSG00000171819	ANGPTL7	True
245	ENSG00000120942	UBIAD1	True
246	ENSG00000204624	PTCHD2	True
247	ENSG00000235643	RP1-69M21.2	True
248	ENSG00000116661	FBXO2	True
249	ENSG00000132879	FBXO44	True
250	ENSG00000116663	FBXO6	True
251	ENSG00000116670	MAD2L2	True
252	ENSG00000162490	DRAXIN	True
253	ENSG00000177674	AGTRAP	True
254	ENSG00000215910	C1orf167	True
255	ENSG00000177553	RP11-56N19.5	True
256	ENSG00000177000	MTHFR	True
257	ENSG00000011021	CLCN6	True
258	ENSG00000242349	NPPA-AS1	True
259	ENSG00000175206	NPPA	True
260	ENSG00000120937	NPPB	True
261	ENSG00000116685	KIAA2013	True
262	ENSG00000083444	PLOD1	True
263	ENSG00000116688	MFN2	True
264	ENSG00000116691	MIIP	True
265	ENSG00000120949	TNFRSF8	True
266	ENSG00000028137	TNFRSF1B	True
267	ENSG00000048707	VPS13D	True
268	ENSG00000229484	RP5-888M10.2	True
269	ENSG00000162496	DHRS3	True
270	ENSG00000272482	RP11-474O21.5	True
271	ENSG00000204518	AADACL4	True
272	ENSG00000188984	AADACL3	True
273	ENSG00000157330	C1orf158	True
274	ENSG00000116726	PRAMEF12	True
275	ENSG00000116721	PRAMEF1	True
276	ENSG00000228338	RP5-845O24.8	True
277	ENSG00000239810	PRAMEF11	True
278	ENSG00000179172	HNRNPCL1	True
279	ENSG00000120952	PRAMEF2	True
280	ENSG00000243073	PRAMEF4	True
281	ENSG00000187545	PRAMEF10	True
282	ENSG00000204510	PRAMEF7	True
283	ENSG00000232423	PRAMEF6	True
284	ENSG00000274764	PRAMEF27	True
285	ENSG00000280267	PRAMEF26	True
286	ENSG00000229571	PRAMEF25	True
287	ENSG00000277058	HNRNPCL3	True
288	ENSG00000275774	HNRNPCL2	True
289	ENSG00000233336	RP13-221M14.2	True
290	ENSG00000179412	HNRNPCL4	True
291	ENSG00000204505	PRAMEF9	True
292	ENSG00000279804	PRAMEF18	True
293	ENSG00000270601	PRAMEF5	True
294	ENSG00000182330	PRAMEF8	True
295	ENSG00000204501	PRAMEF15	True
296	ENSG00000228229	RP11-219C24.10	True
297	ENSG00000204481	PRAMEF14	True
298	ENSG00000204480	PRAMEF19	True
299	ENSG00000204479	PRAMEF17	True
300	ENSG00000204478	PRAMEF20	True
301	ENSG00000162494	LRRC38	True
302	ENSG00000259961	RP4-597A16.2	True
303	ENSG00000162493	PDPN	True
304	ENSG00000237445	CTA-520D8.2	True
305	ENSG00000116731	PRDM2	True
306	ENSG00000231606	RP11-344F13.1	True
307	ENSG00000234593	RP4-704D23.1	True
308	ENSG00000189337	KAZN	True
309	ENSG00000175147	TMEM51-AS1	True
310	ENSG00000171729	TMEM51	True
311	ENSG00000204464	C1orf195	True
312	ENSG00000142621	FHAD1	True
313	ENSG00000233485	RP3-467K16.2	True
314	ENSG00000236045	RP3-467K16.7	True
315	ENSG00000228140	RP3-467K16.4	True
316	ENSG00000142634	EFHD2	True
317	ENSG00000162438	CTRC	True
318	ENSG00000142615	CELA2A	True
319	ENSG00000215704	CELA2B	True
320	ENSG00000132906	CASP9	True
321	ENSG00000116138	DNAJC16	True
322	ENSG00000272510	RP4-680D5.8	True
323	ENSG00000116771	AGMAT	True
324	ENSG00000237301	RP4-680D5.2	True
325	ENSG00000197312	DDI2	True
326	ENSG00000215695	RSC1A1	True
327	ENSG00000271742	RP4-680D5.9	True
328	ENSG00000116786	PLEKHM2	True
329	ENSG00000237938	RP11-288I21.1	True
330	ENSG00000162461	SLC25A34	True
331	ENSG00000224459	RP11-169K16.4	True
332	ENSG00000162460	TMEM82	True
333	ENSG00000162458	FBLIM1	True
334	ENSG00000233954	UQCRHL	True
335	ENSG00000179743	FLJ37453	True
336	ENSG00000065526	SPEN	True
337	ENSG00000116809	ZBTB17	True
338	ENSG00000183888	C1orf64	True
339	ENSG00000233078	RP11-5P18.5	True
340	ENSG00000173641	HSPB7	True
341	ENSG00000186510	CLCNKA	True
342	ENSG00000184908	CLCNKB	True
343	ENSG00000185519	FAM131C	True
344	ENSG00000142627	EPHA2	True
345	ENSG00000227959	RP11-276H7.2	True
346	ENSG00000224621	RP11-276H7.3	True
347	ENSG00000234166	ARHGEF19-AS1	True
348	ENSG00000142632	ARHGEF19	True
349	ENSG00000132881	RSG1	True
350	ENSG00000037637	FBXO42	True
351	ENSG00000055070	SZRD1	True
352	ENSG00000187144	SPATA21	True
353	ENSG00000157191	NECAP2	True
354	ENSG00000226029	RP4-798A10.2	True
355	ENSG00000261135	RP4-798A10.7	True
356	ENSG00000224174	RP4-798A10.4	True
357	ENSG00000233421	RP5-875O13.1	True
358	ENSG00000268991	FAM231C	False
359	ENSG00000219481	NBPF1	True
360	ENSG00000271732	RP5-1182A14.5	True
361	ENSG00000282143	RP1-163M9.8	True
362	ENSG00000237847	FAM231A	True
363	ENSG00000279151	RP1-163M9.7	True
364	ENSG00000279132	FAM231C	False
365	ENSG00000282740	RP5-1182A14.7	True
366	ENSG00000058453	CROCC	True
367	ENSG00000223643	RP11-108M9.1	True
368	ENSG00000230239	RP11-108M9.2	True
369	ENSG00000228549	RP11-108M9.3	True
370	ENSG00000238142	RP11-108M9.4	True
371	ENSG00000272426	RP11-108M9.6	True
372	ENSG00000117122	MFAP2	True
373	ENSG00000226526	RP1-37C10.3	True
374	ENSG00000159363	ATP13A2	True
375	ENSG00000117118	SDHB	True
376	ENSG00000117115	PADI2	True
377	ENSG00000204362	RP11-380J14.1	True
378	ENSG00000282843	RP11-380J14.4	True
379	ENSG00000142623	PADI1	True
380	ENSG00000142619	PADI3	True
381	ENSG00000159339	PADI4	True
382	ENSG00000280226	AC004824.2	True
383	ENSG00000276747	PADI6	True
384	ENSG00000227751	RP1-20B21.4	True
385	ENSG00000179051	RCC2	True
386	ENSG00000074964	ARHGEF10L	True
387	ENSG00000236648	RP11-473A10.2	True
388	ENSG00000117148	ACTL8	True
