completed_epoch	autoencoder_lr	doser_lr	adversary_lr
1	0.0001	0.0001	0.0001
2	0.0001	0.0001	0.0001
3	0.0001	0.0001	0.0001
4	0.0001	0.0001	0.0001
5	0.0001	0.0001	0.0001
6	0.0001	0.0001	0.0001
7	0.0001	0.0001	0.0001
8	0.0001	0.0001	0.0001
9	0.0001	0.0001	0.0001
10	0.0001	0.0001	0.0001
11	0.0001	0.0001	0.0001
12	0.0001	0.0001	0.0001
13	0.0001	0.0001	0.0001
14	0.0001	0.0001	0.0001
15	0.0001	0.0001	0.0001
16	0.0001	0.0001	0.0001
17	0.0001	0.0001	0.0001
18	0.0001	0.0001	0.0001
19	0.0001	0.0001	0.0001
20	0.0001	0.0001	0.0001
21	0.0001	0.0001	0.0001
22	0.0001	0.0001	0.0001
23	0.0001	0.0001	0.0001
24	0.0001	0.0001	0.0001
25	0.0001	0.0001	0.0001
26	0.0001	0.0001	0.0001
27	0.0001	0.0001	0.0001
28	0.0001	0.0001	0.0001
29	0.0001	0.0001	0.0001
30	0.0001	0.0001	0.0001
31	0.0001	0.0001	0.0001
32	0.0001	0.0001	0.0001
33	0.0001	0.0001	0.0001
34	0.0001	0.0001	0.0001
35	0.0001	0.0001	0.0001
36	0.0001	0.0001	0.0001
37	0.0001	0.0001	0.0001
38	0.0001	0.0001	0.0001
39	0.0001	0.0001	0.0001
40	0.0001	0.0001	0.0001
41	0.0001	0.0001	0.0001
42	0.0001	0.0001	0.0001
43	0.0001	0.0001	0.0001
44	0.0001	0.0001	0.0001
45	9e-05	9e-05	9e-05
46	9e-05	9e-05	9e-05
47	9e-05	9e-05	9e-05
48	9e-05	9e-05	9e-05
49	9e-05	9e-05	9e-05
50	9e-05	9e-05	9e-05
51	9e-05	9e-05	9e-05
52	9e-05	9e-05	9e-05
53	9e-05	9e-05	9e-05
54	9e-05	9e-05	9e-05
55	9e-05	9e-05	9e-05
56	9e-05	9e-05	9e-05
57	9e-05	9e-05	9e-05
58	9e-05	9e-05	9e-05
59	9e-05	9e-05	9e-05
60	9e-05	9e-05	9e-05
61	9e-05	9e-05	9e-05
62	9e-05	9e-05	9e-05
63	9e-05	9e-05	9e-05
64	9e-05	9e-05	9e-05
65	9e-05	9e-05	9e-05
66	9e-05	9e-05	9e-05
67	9e-05	9e-05	9e-05
68	9e-05	9e-05	9e-05
69	9e-05	9e-05	9e-05
70	9e-05	9e-05	9e-05
71	9e-05	9e-05	9e-05
72	9e-05	9e-05	9e-05
73	9e-05	9e-05	9e-05
74	9e-05	9e-05	9e-05
75	9e-05	9e-05	9e-05
76	9e-05	9e-05	9e-05
77	9e-05	9e-05	9e-05
78	9e-05	9e-05	9e-05
79	9e-05	9e-05	9e-05
80	9e-05	9e-05	9e-05
81	9e-05	9e-05	9e-05
82	9e-05	9e-05	9e-05
83	9e-05	9e-05	9e-05
84	9e-05	9e-05	9e-05
85	9e-05	9e-05	9e-05
86	9e-05	9e-05	9e-05
87	9e-05	9e-05	9e-05
88	9e-05	9e-05	9e-05
89	9e-05	9e-05	9e-05
90	8.1e-05	8.1e-05	8.1e-05
91	8.1e-05	8.1e-05	8.1e-05
