allocation	cells_per_role	pattern	mean_utility_improvement	improved_tasks	ties	worse_tasks
0	64	S	0.019915526703224485	50	0	5
0	64	M	0.019915526703224492	50	0	5
0	64	P	0.01974413692869809	50	0	5
0	64	O	0.020086916477750884	51	0	4
0	64	D	0.019915526703224492	50	0	5
0	128	S	0.01939195138773944	50	0	5
0	128	M	0.01939195138773944	50	0	5
0	128	P	0.01933167392417662	50	0	5
0	128	O	0.019452228851302253	50	0	5
0	128	D	0.01939195138773944	50	0	5
0	256	S	0.01884003558079579	50	0	5
0	256	M	0.01884003558079579	50	0	5
0	256	P	0.018772578901918763	50	0	5
0	256	O	0.018907492259672816	50	0	5
0	256	D	0.018840035580795788	50	0	5
0	512	S	0.018576782722517827	50	0	5
0	512	M	0.018576782722517816	50	0	5
0	512	P	0.018549713447246746	50	0	5
0	512	O	0.0186038519977889	50	0	5
0	512	D	0.01857678272251782	50	0	5
0	1024	S	0.018453641246477498	50	0	5
0	1024	M	0.0184536412464775	50	0	5
0	1024	P	0.018442123924750694	50	0	5
0	1024	O	0.018465158568204302	50	0	5
0	1024	D	0.0184536412464775	50	0	5
0	1080	S	0.01842841134760852	50	0	5
0	1080	M	0.018428411347608514	50	0	5
0	1080	P	0.018416104707609692	50	0	5
0	1080	O	0.018440717987607335	50	0	5
0	1080	D	0.018428411347608514	50	0	5
1	64	S	0.017731791052263173	50	0	5
1	64	M	0.017731791052263173	50	0	5
1	64	P	0.01732675960583908	50	0	5
1	64	O	0.018136822498687262	50	0	5
1	64	D	0.017731791052263173	50	0	5
1	128	S	0.018248499075417646	50	0	5
1	128	M	0.01824849907541765	50	0	5
1	128	P	0.018029428986456375	50	0	5
1	128	O	0.018467569164378913	50	0	5
1	128	D	0.018248499075417646	50	0	5
1	256	S	0.017780294297965325	50	0	5
1	256	M	0.017780294297965325	50	0	5
1	256	P	0.017725996243908148	50	0	5
1	256	O	0.017834592352022508	50	0	5
1	256	D	0.01778029429796533	50	0	5
1	512	S	0.01870488487578452	50	0	5
1	512	M	0.018704884875784523	50	0	5
1	512	P	0.018690218987090616	50	0	5
1	512	O	0.018719550764478423	50	0	5
1	512	D	0.018704884875784526	50	0	5
1	1024	S	0.01868835610775581	50	0	5
1	1024	M	0.018688356107755818	50	0	5
1	1024	P	0.018689136446899637	50	0	5
1	1024	O	0.01868757576861199	50	0	5
1	1024	D	0.018688356107755814	50	0	5
1	1080	S	0.018640162641591986	50	0	5
1	1080	M	0.018640162641591986	50	0	5
1	1080	P	0.0186484323577436	50	0	5
1	1080	O	0.01863189292544037	50	0	5
1	1080	D	0.01864016264159199	50	0	5
2	64	S	0.020171201850054058	52	0	3
2	64	M	0.020171201850054058	52	0	3
2	64	P	0.019863220049548443	52	0	3
2	64	O	0.020479183650559667	52	0	3
2	64	D	0.020171201850054058	52	0	3
2	128	S	0.019275544813742475	52	0	3
2	128	M	0.01927554481374247	52	0	3
2	128	P	0.019112793236467644	51	0	4
2	128	O	0.019438296391017303	52	0	3
2	128	D	0.01927554481374247	52	0	3
2	256	S	0.01911425068418053	51	0	4
2	256	M	0.01911425068418053	51	0	4
2	256	P	0.019045234676574343	51	0	4
2	256	O	0.01918326669178673	51	0	4
2	256	D	0.019114250684180528	51	0	4
2	512	S	0.01862111939263686	50	0	5
