condition	model	reference	mse_difference
BAK1+KLF1	selected_CPA	original_CPA	0.0008553352694905432
BAK1+TMSB4X	selected_CPA	original_CPA	0.0021097081297294547
BPGM+ZBTB1	selected_CPA	original_CPA	-0.02456507143280589
CBFA2T3+FEV	selected_CPA	original_CPA	-0.058569174073041574
CBFA2T3+POU3F2	selected_CPA	original_CPA	-0.025251661610936532
CBL+CNN1	selected_CPA	original_CPA	-0.04143367317644636
CBL+PTPN12	selected_CPA	original_CPA	-0.029154607133065287
CBL+PTPN9	selected_CPA	original_CPA	-0.02465103116960414
CBL+UBASH3B	selected_CPA	original_CPA	-0.03726337817120419
CEBPB+MAPK1	selected_CPA	original_CPA	-0.011362391688767987
CEBPB+PTPN12	selected_CPA	original_CPA	-0.011932655149722152
CEBPE+CNN1	selected_CPA	original_CPA	-0.007221384397276265
CEBPE+ETS2	selected_CPA	original_CPA	-0.005299856870707539
CEBPE+PTPN12	selected_CPA	original_CPA	-0.006718141554109151
CEBPE+SPI1	selected_CPA	original_CPA	-0.03515953345660733
CLDN6+KLF1	selected_CPA	original_CPA	-0.02135773871005929
CNN1+ETS2	selected_CPA	original_CPA	-0.008825039574075186
CNN1+UBASH3A	selected_CPA	original_CPA	-0.04001541841949502
COL2A1+KLF1	selected_CPA	original_CPA	-0.0089780995722741
DUSP9+PRTG	selected_CPA	original_CPA	-0.03109479315211483
DUSP9+SNAI1	selected_CPA	original_CPA	-0.035305782064854546
ELMSAN1+ZBTB10	selected_CPA	original_CPA	-0.015556187761926105
ETS2+IGDCC3	selected_CPA	original_CPA	-0.006300038109284641
ETS2+IKZF3	selected_CPA	original_CPA	-0.04315280803883806
ETS2+TGFBR2	selected_CPA	original_CPA	0.0028116459529244735
FOSB+IKZF3	selected_CPA	original_CPA	-0.028491659835791286
FOSB+OSR2	selected_CPA	original_CPA	-0.007023256913515019
FOSB+PTPN12	selected_CPA	original_CPA	-0.005258044323372225
FOSB+UBASH3B	selected_CPA	original_CPA	-0.0014138200207217087
FOXA1+FOXA3	selected_CPA	original_CPA	-0.02489321708862817
FOXA1+FOXL2	selected_CPA	original_CPA	-0.020673105031037725
FOXA1+HOXB9	selected_CPA	original_CPA	-0.026413080631650945
FOXA3+HOXB9	selected_CPA	original_CPA	-0.02874456552153032
FOXL2+POU3F2	selected_CPA	original_CPA	-0.03249227613919173
FOXL2+ZNF318	selected_CPA	original_CPA	-0.010527983153978356
HOXC13+ZC3HAV1	selected_CPA	original_CPA	-0.008721449289554595
IGDCC3+PRTG	selected_CPA	original_CPA	-0.017632635401448972
IGDCC3+TGFBR2	selected_CPA	original_CPA	-0.00909673595470941
KLF1+TGFBR2	selected_CPA	original_CPA	-0.0031446372088232005
MAPK1+TGFBR2	selected_CPA	original_CPA	-0.004302274314474046
OSR2+PTPN12	selected_CPA	original_CPA	0.0013822882617765958
OSR2+UBASH3B	selected_CPA	original_CPA	0.00647444408098885
PRTG+TGFBR2	selected_CPA	original_CPA	-0.012656733323760737
PTPN12+SAMD1	selected_CPA	original_CPA	-0.029642148922657333
PTPN12+SNAI1	selected_CPA	original_CPA	-0.010660617242283697
PTPN12+UBASH3A	selected_CPA	original_CPA	-0.031715062673301236
PTPN12+ZBTB10	selected_CPA	original_CPA	-0.020537640230662943
RHOXF2B+ZBTB25	selected_CPA	original_CPA	-0.03596392093302318
SAMD1+UBASH3B	selected_CPA	original_CPA	-0.026082227677122025
SAMD1+ZBTB1	selected_CPA	original_CPA	-0.032191131592988934
SGK1+TBX2	selected_CPA	original_CPA	-0.02457056748857088
SGK1+TBX3	selected_CPA	original_CPA	-0.014793488565914337
TBX2+TBX3	selected_CPA	original_CPA	-0.006895897561979718
UBASH3A+UBASH3B	selected_CPA	original_CPA	-0.010632568205037832
UBASH3B+ZBTB25	selected_CPA	original_CPA	-0.023120294063733907
BAK1+KLF1	selected_CPA	additive	0.013598029507199856
BAK1+TMSB4X	selected_CPA	additive	0.0055422774837838185
BPGM+ZBTB1	selected_CPA	additive	0.020105414616455552
CBFA2T3+FEV	selected_CPA	additive	0.08723773479852609
CBFA2T3+POU3F2	selected_CPA	additive	0.04838364996138343
CBL+CNN1	selected_CPA	additive	0.0855736072648103
CBL+PTPN12	selected_CPA	additive	0.04208964822586026
CBL+PTPN9	selected_CPA	additive	0.0569173152945492
CBL+UBASH3B	selected_CPA	additive	0.08429269076141811
CEBPB+MAPK1	selected_CPA	additive	0.02298676303999845
CEBPB+PTPN12	selected_CPA	additive	0.0007483508715373718
CEBPE+CNN1	selected_CPA	additive	-0.004974244769104741
CEBPE+ETS2	selected_CPA	additive	0.02805383622567928
CEBPE+PTPN12	selected_CPA	additive	-0.02826838382805194
CEBPE+SPI1	selected_CPA	additive	0.30016941160848065
CLDN6+KLF1	selected_CPA	additive	0.029129146398027595
CNN1+ETS2	selected_CPA	additive	0.008993050107378785
CNN1+UBASH3A	selected_CPA	additive	0.08120637526931485
COL2A1+KLF1	selected_CPA	additive	0.029377674656571345
DUSP9+PRTG	selected_CPA	additive	0.05345909810385873
DUSP9+SNAI1	selected_CPA	additive	0.1267720484947057
ELMSAN1+ZBTB10	selected_CPA	additive	0.10167879987429788
ETS2+IGDCC3	selected_CPA	additive	0.004035676390734051
ETS2+IKZF3	selected_CPA	additive	0.07231101925921939
ETS2+TGFBR2	selected_CPA	additive	0.006809883265467867
FOSB+IKZF3	selected_CPA	additive	0.015331798326855287
FOSB+OSR2	selected_CPA	additive	0.061079683189990346
FOSB+PTPN12	selected_CPA	additive	-0.002924447961370903
FOSB+UBASH3B	selected_CPA	additive	0.004203054184984411
FOXA1+FOXA3	selected_CPA	additive	0.07784724961539528
FOXA1+FOXL2	selected_CPA	additive	0.06126785243988115
FOXA1+HOXB9	selected_CPA	additive	0.08445009857683099
FOXA3+HOXB9	selected_CPA	additive	0.11920173975591668
FOXL2+POU3F2	selected_CPA	additive	0.09465406183752542
FOXL2+ZNF318	selected_CPA	additive	0.03348276779072551
HOXC13+ZC3HAV1	selected_CPA	additive	0.014850854815699567
IGDCC3+PRTG	selected_CPA	additive	0.010044768959178309
IGDCC3+TGFBR2	selected_CPA	additive	0.021594763148930232
KLF1+TGFBR2	selected_CPA	additive	0.005569469235493601
MAPK1+TGFBR2	selected_CPA	additive	0.02102951208887564
OSR2+PTPN12	selected_CPA	additive	-0.006956746273555862
OSR2+UBASH3B	selected_CPA	additive	-0.00508562714853527
PRTG+TGFBR2	selected_CPA	additive	0.028007866012724956
PTPN12+SAMD1	selected_CPA	additive	0.06670295545576373
PTPN12+SNAI1	selected_CPA	additive	0.018637206850053684
PTPN12+UBASH3A	selected_CPA	additive	0.050662763879904774
PTPN12+ZBTB10	selected_CPA	additive	0.06934490824547765
RHOXF2B+ZBTB25	selected_CPA	additive	0.09002532608325027
SAMD1+UBASH3B	selected_CPA	additive	0.08446623201970481
SAMD1+ZBTB1	selected_CPA	additive	0.07873007762325389
SGK1+TBX2	selected_CPA	additive	0.06433847285565995
SGK1+TBX3	selected_CPA	additive	0.04445703819791113
TBX2+TBX3	selected_CPA	additive	0.039155833081903305
UBASH3A+UBASH3B	selected_CPA	additive	0.016246254796542327
UBASH3B+ZBTB25	selected_CPA	additive	0.04913298629807992
BAK1+KLF1	selected_CPA	compositional_ridge	0.01378343850416141
BAK1+TMSB4X	selected_CPA	compositional_ridge	0.005352949016688499
BPGM+ZBTB1	selected_CPA	compositional_ridge	0.02804009371911912
CBFA2T3+FEV	selected_CPA	compositional_ridge	0.08776868066156868
CBFA2T3+POU3F2	selected_CPA	compositional_ridge	0.028104031296128443
CBL+CNN1	selected_CPA	compositional_ridge	0.07710015068541054
CBL+PTPN12	selected_CPA	compositional_ridge	0.04643173356595155
CBL+PTPN9	selected_CPA	compositional_ridge	0.056316427796140586
CBL+UBASH3B	selected_CPA	compositional_ridge	0.08655281348654745
CEBPB+MAPK1	selected_CPA	compositional_ridge	0.06854640401252968
CEBPB+PTPN12	selected_CPA	compositional_ridge	0.033511834237094765
CEBPE+CNN1	selected_CPA	compositional_ridge	0.04090236767962696
CEBPE+ETS2	selected_CPA	compositional_ridge	0.0596769900745509
CEBPE+PTPN12	selected_CPA	compositional_ridge	0.025685276645467575
CEBPE+SPI1	selected_CPA	compositional_ridge	0.2503410248951178
CLDN6+KLF1	selected_CPA	compositional_ridge	0.02454009985950128
CNN1+ETS2	selected_CPA	compositional_ridge	0.009681412926764821
CNN1+UBASH3A	selected_CPA	compositional_ridge	0.06430031404941433
COL2A1+KLF1	selected_CPA	compositional_ridge	0.02990652824965511
