allocation	depth_per_gemgroup	cells_per_reference	model	pattern	scaled_squared_error
0	8	64	additive	S	0.026195167136201958
0	8	64	additive	M	0.026195167136201958
0	8	64	additive	P	0.054722179714505326
0	8	64	additive	O	0.054722179714505326
0	8	64	additive	D	0.054722179714505326
0	8	64	compositional_ridge	S	0.025403931071276635
0	8	64	compositional_ridge	M	0.025403931071276635
0	8	64	compositional_ridge	P	0.053930943649580045
0	8	64	compositional_ridge	O	0.053930943649580045
0	8	64	compositional_ridge	D	0.053930943649580045
0	8	64	CPA_0.8.8	S	0.077638371745400697
0	8	64	CPA_0.8.8	M	0.077638371745400697
0	8	64	CPA_0.8.8	P	0.10813309865885504
0	8	64	CPA_0.8.8	O	0.10419766998855319
0	8	64	CPA_0.8.8	D	0.10616538432370404
0	8	64	zero_effect	S	0.12040613242783979
0	8	64	zero_effect	M	0.1204061324278398
0	8	64	zero_effect	P	0.1204061324278398
0	8	64	zero_effect	O	0.1204061324278398
0	8	64	zero_effect	D	0.1204061324278398
0	16	128	additive	S	0.026195167136201958
0	16	128	additive	M	0.026195167136201958
0	16	128	additive	P	0.040727412136001784
0	16	128	additive	O	0.040727412136001784
0	16	128	additive	D	0.040727412136001784
0	16	128	compositional_ridge	S	0.025403931071276635
0	16	128	compositional_ridge	M	0.025403931071276635
0	16	128	compositional_ridge	P	0.039936176071076447
0	16	128	compositional_ridge	O	0.039936176071076447
0	16	128	compositional_ridge	D	0.039936176071076447
0	16	128	CPA_0.8.8	S	0.077350560945596905
0	16	128	CPA_0.8.8	M	0.077350560945596905
0	16	128	CPA_0.8.8	P	0.093049958925227452
0	16	128	CPA_0.8.8	O	0.090715652965566052
0	16	128	CPA_0.8.8	D	0.091882805945396759
0	16	128	zero_effect	S	0.11361059662069056
0	16	128	zero_effect	M	0.11361059662069056
0	16	128	zero_effect	P	0.11361059662069056
0	16	128	zero_effect	O	0.11361059662069056
0	16	128	zero_effect	D	0.11361059662069056
0	32	256	additive	S	0.026195167136201958
0	32	256	additive	M	0.026195167136201958
0	32	256	additive	P	0.033417985125195157
0	32	256	additive	O	0.033417985125195157
0	32	256	additive	D	0.033417985125195157
0	32	256	compositional_ridge	S	0.025403931071276635
0	32	256	compositional_ridge	M	0.025403931071276635
0	32	256	compositional_ridge	P	0.032626749060269841
0	32	256	compositional_ridge	O	0.032626749060269841
0	32	256	compositional_ridge	D	0.032626749060269841
0	32	256	CPA_0.8.8	S	0.074805723073474939
0	32	256	CPA_0.8.8	M	0.074805723073474939
0	32	256	CPA_0.8.8	P	0.082517330421098697
0	32	256	CPA_0.8.8	O	0.081539751703837635
0	32	256	CPA_0.8.8	D	0.082028541062468152
0	32	256	zero_effect	S	0.10682591466463098
0	32	256	zero_effect	M	0.10682591466463097
0	32	256	zero_effect	P	0.10682591466463097
0	32	256	zero_effect	O	0.10682591466463097
0	32	256	zero_effect	D	0.10682591466463097
0	64	512	additive	S	0.026195167136201958
0	64	512	additive	M	0.026195167136201958
0	64	512	additive	P	0.029842153559892427
0	64	512	additive	O	0.029842153559892427
0	64	512	additive	D	0.029842153559892427
0	64	512	compositional_ridge	S	0.025403931071276635
0	64	512	compositional_ridge	M	0.025403931071276635
0	64	512	compositional_ridge	P	0.029050917494967108
0	64	512	compositional_ridge	O	0.029050917494967108
0	64	512	compositional_ridge	D	0.029050917494967108
0	64	512	CPA_0.8.8	S	0.07444695966401027
0	64	512	CPA_0.8.8	M	0.07444695966401027
0	64	512	CPA_0.8.8	P	0.078362765594664666
0	64	512	CPA_0.8.8	O	0.077825126580736828
0	64	512	CPA_0.8.8	D	0.078093946087700733
0	64	512	zero_effect	S	0.10461208807991276
0	64	512	zero_effect	M	0.10461208807991275
0	64	512	zero_effect	P	0.10461208807991275
0	64	512	zero_effect	O	0.10461208807991275
0	64	512	zero_effect	D	0.10461208807991275
0	128	1024	additive	S	0.026195167136201958
0	128	1024	additive	M	0.026195167136201958
0	128	1024	additive	P	0.028060902054860181
0	128	1024	additive	O	0.028060902054860181
0	128	1024	additive	D	0.028060902054860181
0	128	1024	compositional_ridge	S	0.025403931071276635
0	128	1024	compositional_ridge	M	0.025403931071276635
0	128	1024	compositional_ridge	P	0.027269665989934865
0	128	1024	compositional_ridge	O	0.027269665989934865
0	128	1024	compositional_ridge	D	0.027269665989934865
0	128	1024	CPA_0.8.8	S	0.073405828725432928
0	128	1024	CPA_0.8.8	M	0.073405828725432928
0	128	1024	CPA_0.8.8	P	0.075422189030326631
0	128	1024	CPA_0.8.8	O	0.075120938257855707
0	128	1024	CPA_0.8.8	D	0.075271563644091183
0	128	1024	zero_effect	S	0.10269736696083379
0	128	1024	zero_effect	M	0.10269736696083379
0	128	1024	zero_effect	P	0.10269736696083379
0	128	1024	zero_effect	O	0.10269736696083379
0	128	1024	zero_effect	D	0.10269736696083379
0	135	1080	additive	S	0.026195167136201958
0	135	1080	additive	M	0.026195167136201958
0	135	1080	additive	P	0.027996298478622256
0	135	1080	additive	O	0.027996298478622256
0	135	1080	additive	D	0.027996298478622256
0	135	1080	compositional_ridge	S	0.025403931071276635
0	135	1080	compositional_ridge	M	0.025403931071276635
0	135	1080	compositional_ridge	P	0.027205062413696943
0	135	1080	compositional_ridge	O	0.027205062413696943
0	135	1080	compositional_ridge	D	0.027205062413696943
0	135	1080	CPA_0.8.8	S	0.073597876870369658
0	135	1080	CPA_0.8.8	M	0.073597876870369658
0	135	1080	CPA_0.8.8	P	0.075556048377882393
