depth_per_gemgroup	cells_per_reference	model	pattern	mean	allocation_min	allocation_max
8	64	additive	S	0.026195167136201958	0.026195167136201958	0.026195167136201958
8	64	additive	M	0.026195167136201958	0.026195167136201958	0.026195167136201958
8	64	additive	P	0.056966263717746699	0.054722179714505326	0.060224544190420663
8	64	additive	O	0.056966263717746699	0.054722179714505326	0.060224544190420663
8	64	additive	D	0.056966263717746699	0.054722179714505326	0.060224544190420663
8	64	compositional_ridge	S	0.025403931071276635	0.025403931071276635	0.025403931071276635
8	64	compositional_ridge	M	0.025403931071276635	0.025403931071276635	0.025403931071276635
8	64	compositional_ridge	P	0.056175027652821376	0.053930943649580045	0.05943330812549532
8	64	compositional_ridge	O	0.056175027652821376	0.053930943649580045	0.05943330812549532
8	64	compositional_ridge	D	0.056175027652821376	0.053930943649580045	0.05943330812549532
8	64	CPA_0.8.8	S	0.075760203923009264	0.069609678936972938	0.082516326583350938
8	64	CPA_0.8.8	M	0.075760203923009264	0.069609678936972938	0.082516326583350938
8	64	CPA_0.8.8	P	0.10980661036347469	0.10106484817647439	0.11945677124743082
8	64	CPA_0.8.8	O	0.10325599064563333	0.096903736604150997	0.11033764626657779
8	64	CPA_0.8.8	D	0.10653130050455401	0.0989842923903127	0.11407608185498114
8	64	zero_effect	S	0.11820850686066035	0.11094839173997537	0.12720414693120913
8	64	zero_effect	M	0.11820850686066037	0.11094839173997537	0.12720414693120916
8	64	zero_effect	P	0.11820850686066037	0.11094839173997537	0.12720414693120916
8	64	zero_effect	O	0.11820850686066037	0.11094839173997537	0.12720414693120916
8	64	zero_effect	D	0.11820850686066037	0.11094839173997537	0.12720414693120916
16	128	additive	S	0.026195167136201958	0.026195167136201958	0.026195167136201958
16	128	additive	M	0.026195167136201958	0.026195167136201958	0.026195167136201958
16	128	additive	P	0.041535989832319591	0.040158798623421699	0.042703787866181134
16	128	additive	O	0.041535989832319591	0.040158798623421699	0.042703787866181134
16	128	additive	D	0.041535989832319591	0.040158798623421699	0.042703787866181134
16	128	compositional_ridge	S	0.025403931071276635	0.025403931071276635	0.025403931071276635
16	128	compositional_ridge	M	0.025403931071276635	0.025403931071276635	0.025403931071276635
16	128	compositional_ridge	P	0.040744753767394275	0.03936756255849639	0.041912551801255804
16	128	compositional_ridge	O	0.040744753767394275	0.03936756255849639	0.041912551801255804
16	128	compositional_ridge	D	0.040744753767394275	0.03936756255849639	0.041912551801255804
16	128	CPA_0.8.8	S	0.075128850118874671	0.071495140796040524	0.081562022208694074
16	128	CPA_0.8.8	M	0.075128850118874671	0.071495140796040524	0.081562022208694074
16	128	CPA_0.8.8	P	0.092079367994914396	0.088472462711458116	0.097726203419916308
16	128	CPA_0.8.8	O	0.088859977635070211	0.085746177489380057	0.094972089536230944
16	128	CPA_0.8.8	D	0.090469672814992311	0.087180799088348818	0.096349146478073577
16	128	zero_effect	S	0.11076536903327518	0.10625501477008828	0.11837380253338349
16	128	zero_effect	M	0.11076536903327518	0.10625501477008828	0.11837380253338349
16	128	zero_effect	P	0.11076536903327518	0.10625501477008828	0.11837380253338349
16	128	zero_effect	O	0.11076536903327518	0.10625501477008828	0.11837380253338349
16	128	zero_effect	D	0.11076536903327518	0.10625501477008828	0.11837380253338349
32	256	additive	S	0.026195167136201958	0.026195167136201958	0.026195167136201958
