depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	allocation_min_margin	allocation_max_margin	crossing_allocation_count	n_allocations	strict_crossing_after_task_and_allocation_means
8	additive	compositional_ridge	primary_state_pair	S	-0.00079123606492530001	-0.00079123606492530001	0	-0.00079123606492530001	-0.00079123606492530001	0	30	False
8	additive	compositional_ridge	primary_state_pair	M	-0.00079123606492530001	-0.00079123606492530001	0	-0.00079123606492530001	-0.00079123606492530001	0	30	False
8	additive	compositional_ridge	primary_state_pair	P	-0.00079123606492530001	-0.00079123606492530001	5.0885221961986346e-18	-0.00079123606492530001	-0.00079123606492520005	0	30	False
8	additive	compositional_ridge	primary_state_pair	O	-0.00079123606492530001	-0.00079123606492530001	5.0885221961986346e-18	-0.00079123606492530001	-0.00079123606492520005	0	30	False
8	additive	compositional_ridge	primary_state_pair	D	-0.00079123606492530001	-0.00079123606492530001	5.0885221961986346e-18	-0.00079123606492530001	-0.00079123606492520005	0	30	False
8	additive	CPA_0.8.8	primary_state_pair	S	0.0495650367868073	0.0495650367868073	0	0.043414511800770897	0.056321159447148897	0	30	False
8	additive	CPA_0.8.8	primary_state_pair	M	0.0495650367868073	0.0495650367868073	9.251858538542973e-19	0.043414511800770897	0.056321159447148897	0	30	False
8	additive	CPA_0.8.8	primary_state_pair	P	0.0495650367868073	0.052840346645727898	0.0032753098589206001	0.0454950675869326	0.0600595950355522	0	30	False
8	additive	CPA_0.8.8	primary_state_pair	O	0.0495650367868073	0.046289726927886597	-0.0032753098589206001	0.040925635865114898	0.0525827238587456	0	30	False
8	additive	CPA_0.8.8	primary_state_pair	D	0.0495650367868073	0.0495650367868073	4.6259292692714865e-19	0.043414511800770897	0.056321159447148897	0	30	False
8	additive	zero_effect	zero_effect_diagnostic	S	0.092013339724458396	0.092013339724458396	0	0.084753224603773394	0.1010089797950071	0	30	False
8	additive	zero_effect	zero_effect_diagnostic	M	0.092013339724458396	0.092013339724458396	-4.6259292692714865e-19	0.084753224603773394	0.1010089797950072	0	30	False
8	additive	zero_effect	zero_effect_diagnostic	P	0.092013339724458396	0.061242243142913599	-0.030771096581544699	0.054533519123939403	0.069449224523376998	0	30	False
8	additive	zero_effect	zero_effect_diagnostic	O	0.092013339724458396	0.061242243142913599	-0.030771096581544699	0.054533519123939403	0.069449224523376998	0	30	False
8	additive	zero_effect	zero_effect_diagnostic	D	0.092013339724458396	0.061242243142913599	-0.030771096581544699	0.054533519123939403	0.069449224523376998	0	30	False
8	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.050356272851732602	0.050356272851732602	0	0.044205747865696303	0.057112395512074303	0	30	False
8	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.050356272851732602	0.050356272851732602	9.251858538542973e-19	0.044205747865696303	0.057112395512074303	0	30	False
8	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.050356272851732602	0.053631582710653297	0.0032753098589206001	0.046286303651857999	0.0608508311004776	0	30	False
8	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.050356272851732602	0.047080962992811899	-0.0032753098589206001	0.0417168719300402	0.053373959923670902	0	30	False
8	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.050356272851732602	0.050356272851732602	-4.6259292692714853e-18	0.044205747865696303	0.057112395512074303	0	30	False
8	compositional_ridge	zero_effect	zero_effect_diagnostic	S	0.092804575789383698	0.092804575789383698	0	0.085544460668698696	0.1018002158599324	0	30	False
8	compositional_ridge	zero_effect	zero_effect_diagnostic	M	0.092804575789383698	0.092804575789383698	9.251858538542973e-19	0.085544460668698696	0.1018002158599325	0	30	False
8	compositional_ridge	zero_effect	zero_effect_diagnostic	P	0.092804575789383698	0.062033479207838901	-0.030771096581544699	0.055324755188864698	0.0702404605883023	0	30	False
8	compositional_ridge	zero_effect	zero_effect_diagnostic	O	0.092804575789383698	0.062033479207838901	-0.030771096581544699	0.055324755188864698	0.0702404605883023	0	30	False
8	compositional_ridge	zero_effect	zero_effect_diagnostic	D	0.092804575789383698	0.062033479207838901	-0.030771096581544699	0.055324755188864698	0.0702404605883023	0	30	False
8	CPA_0.8.8	zero_effect	zero_effect_diagnostic	S	0.042448302937650999	0.042448302937650999	0	0.040795173589344202	0.0446878203478581	0	30	False
8	CPA_0.8.8	zero_effect	zero_effect_diagnostic	M	0.042448302937650999	0.042448302937650999	-1.3877787807814459e-18	0.040795173589344202	0.044687820347858197	0	30	False
8	CPA_0.8.8	zero_effect	zero_effect_diagnostic	P	0.042448302937650999	0.0084018964971856007	-0.034046406440465402	0.0032047993166787999	0.0122730337689847	0	30	False
8	CPA_0.8.8	zero_effect	zero_effect_diagnostic	O	0.042448302937650999	0.014952516215027	-0.027495786722624	0.012742541343574301	0.016866500664631301	0	30	False
8	CPA_0.8.8	zero_effect	zero_effect_diagnostic	D	0.042448302937650999	0.0116772063561063	-0.030771096581544699	0.0090077531266702007	0.014240748104135699	0	30	False
