condition	depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	crossing_allocation_count	n_allocations	strict_crossing_after_allocation_mean
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	3.0068540250264657e-18	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	3.0068540250264657e-18	0	30	False
BAK1+KLF1	8	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	3.0068540250264657e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	2.1973164029039559e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	2.1973164029039559e-18	0	30	False
BAK1+KLF1	16	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	2.1973164029039559e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	1.5034270125132329e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	1.5034270125132329e-18	0	30	False
BAK1+KLF1	32	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	1.5034270125132329e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	64	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	1.6768993601109137e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	1.6768993601109137e-18	0	30	False
BAK1+KLF1	128	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	1.6768993601109137e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	S	0.0002126899583223	0.0002126899583223	0	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	M	0.0002126899583223	0.0002126899583223	1.7347234759768071e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	P	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	O	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	135	additive	compositional_ridge	primary_state_pair	D	0.0002126899583223	0.0002126899583223	1.61907524424502e-18	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	S	0.0166924927077166	0.0166924927077166	0	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	M	0.0166924927077166	0.0166924927077166	-8.0953762212250999e-19	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	P	0.0166924927077166	0.019979770497103599	0.0032872777893868999	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	O	0.0166924927077166	0.0134052149183296	-0.0032872777893868999	0	30	False
BAK1+KLF1	8	additive	CPA_0.8.8	primary_state_pair	D	0.0166924927077166	0.0166924927077166	-1.5034270125132329e-18	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	S	0.015657326048784101	0.015657326048784101	0	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	M	0.015657326048784101	0.015657326048784101	-4.6259292692714865e-19	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	P	0.015657326048784101	0.017280004332634099	0.0016226782838499	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	O	0.015657326048784101	0.0140346477649342	-0.0016226782838499	0	30	False
BAK1+KLF1	16	additive	CPA_0.8.8	primary_state_pair	D	0.015657326048784101	0.015657326048784101	-2.3129646346357432e-19	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	S	0.015549117301723399	0.015549117301723399	0	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	M	0.015549117301723399	0.015549117301723399	2.3129646346357432e-19	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	P	0.015549117301723399	0.016380074706308499	0.00083095740458499995	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	O	0.015549117301723399	0.014718159897138299	-0.00083095740458499995	0	30	False
