allocation	depth_per_gemgroup	cells_per_reference	scaled_rms_displacement
0	8	64	0.042569666633671302
0	16	128	0.033059828883693729
0	32	256	0.021152498355041498
0	64	512	0.016150875970974161
0	128	1024	0.01186677597413637
0	135	1080	0.01209475538863039
1	8	64	0.063843648742615305
1	16	128	0.048451384714195585
1	32	256	0.037231552495946861
1	64	512	0.019595352013677261
1	128	1024	0.014839795453593358
1	135	1080	0.015567610446145375
2	8	64	0.062042686292261243
2	16	128	0.041790541842513039
2	32	256	0.030708264760817002
2	64	512	0.016221988183686045
2	128	1024	0.013587934469981104
2	135	1080	0.013386661046562363
3	8	64	0.055675013815988349
3	16	128	0.035519812553320894
3	32	256	0.030801779594840564
3	64	512	0.02481379798213338
3	128	1024	0.01489593994499509
3	135	1080	0.015337539961386095
4	8	64	0.045344237324179151
4	16	128	0.026165782729133929
4	32	256	0.024282993819936847
4	64	512	0.012742439210814926
4	128	1024	0.011672083550451745
4	135	1080	0.010940876601683629
5	8	64	0.042467527460406683
5	16	128	0.040905706832069393
5	32	256	0.021857355454785989
5	64	512	0.016010748349341193
5	128	1024	0.012536142512927985
5	135	1080	0.012283263174900026
6	8	64	0.063380433637004421
6	16	128	0.049722494165087776
6	32	256	0.026795664559925578
6	64	512	0.019317179061011974
6	128	1024	0.01162741413232728
6	135	1080	0.011645429938108872
7	8	64	0.045512937930518138
7	16	128	0.035124998767436938
7	32	256	0.028610183063865483
7	64	512	0.017848564780440612
7	128	1024	0.010240960591057861
7	135	1080	0.01040666010512494
8	8	64	0.050959936842724519
8	16	128	0.028316955247803213
8	32	256	0.030201961021701765
8	64	512	0.021059575704918749
8	128	1024	0.01258805861806752
8	135	1080	0.01143107386407507
9	8	64	0.047161134998821054
9	16	128	0.036005885673530268
9	32	256	0.031125948035063869
9	64	512	0.022567149947979464
9	128	1024	0.014758084467924633
9	135	1080	0.015074104741515545
10	8	64	0.070077784814051969
10	16	128	0.040713312457093975
10	32	256	0.030175368006334309
10	64	512	0.022208611963507416
10	128	1024	0.015549236451451426
10	135	1080	0.013974467682281482
11	8	64	0.078588500972285924
11	16	128	0.049448631756088976
11	32	256	0.032135129400506376
11	64	512	0.022746817581703094
11	128	1024	0.017200670549886211
11	135	1080	0.01727087749412546
12	8	64	0.050836827894607244
12	16	128	0.032481162166675105
12	32	256	0.018758781379534295
12	64	512	0.022440853534795028
12	128	1024	0.018931457826890923
12	135	1080	0.018208989148621652
13	8	64	0.052871988816132781
13	16	128	0.046785024959378627
13	32	256	0.032750787547322788
13	64	512	0.019609545378532225
13	128	1024	0.012222286590640032
13	135	1080	0.012803571804126772
14	8	64	0.060456043665377726
14	16	128	0.046656974975185346
14	32	256	0.027647327483013257
14	64	512	0.015355042807198037
14	128	1024	0.01045441026859196
14	135	1080	0.0093938989562809445
15	8	64	0.045583146069838307
15	16	128	0.032342377132465808
15	32	256	0.025932171101642518
15	64	512	0.019198845333349736
15	128	1024	0.013989766213144362
15	135	1080	0.013189738173371136
16	8	64	0.06722860713195021
16	16	128	0.04585793090114177
16	32	256	0.025268925121088304
16	64	512	0.018350052917841121
16	128	1024	0.01054070698085644
16	135	1080	0.010351863819209739
17	8	64	0.060491187526539286
17	16	128	0.034244025339558337
17	32	256	0.026992930835939455
17	64	512	0.020811361110753143
17	128	1024	0.016676729258012325
17	135	1080	0.0165482538475198
18	8	64	0.055085697371392045
18	16	128	0.032020115027185041
18	32	256	0.023172149670309651
18	64	512	0.020096592001525894
18	128	1024	0.014071692894392369
18	135	1080	0.014809044845981306
19	8	64	0.058516419201508733
19	16	128	0.036962553762582215
19	32	256	0.026186280298512665
19	64	512	0.023328685093160523
19	128	1024	0.014644458061524304
19	135	1080	0.012958347078741963
20	8	64	0.056363011567562092
20	16	128	0.046930482493234886
20	32	256	0.025471415527558144
20	64	512	0.019089342657827742
20	128	1024	0.01146023390107961
20	135	1080	0.011886338855031573
21	8	64	0.051092044185166031
21	16	128	0.030650778631235845
21	32	256	0.024515713098540969
21	64	512	0.016066558696457039
21	128	1024	0.012526662975234254
21	135	1080	0.011933814578563464
22	8	64	0.05851757255220854
22	16	128	0.038288126995124412
22	32	256	0.02783826139948456
22	64	512	0.02044525057411976
22	128	1024	0.012543810368945826
22	135	1080	0.012059867880738279
23	8	64	0.049053718308581684
23	16	128	0.033583314893805165
23	32	256	0.029305609918842384
23	64	512	0.016691340461073085
23	128	1024	0.01444879816213413
23	135	1080	0.014357687380379246
24	8	64	0.05638608267529549
24	16	128	0.036881397934615541
24	32	256	0.026636335192141175
24	64	512	0.019585393665196186
24	128	1024	0.018672754160139131
24	135	1080	0.017761359067480661
25	8	64	0.071626777278242584
25	16	128	0.040252378811147294
25	32	256	0.034944971102017434
25	64	512	0.01981938588258169
25	128	1024	0.011619818508664
25	135	1080	0.012161097403635556
26	8	64	0.049090535044814983
26	16	128	0.042626675627968472
26	32	256	0.030331600466623997
26	64	512	0.024244743927616146
26	128	1024	0.010676648665826009
26	135	1080	0.010611683133347974
27	8	64	0.049513207541178779
27	16	128	0.047667132355378269
27	32	256	0.037220632198961427
27	64	512	0.018536536410634023
27	128	1024	0.011702754331712768
27	135	1080	0.011690840090524797
28	8	64	0.06327498052758003
28	16	128	0.045031472528655629
28	32	256	0.027146998634538736
28	64	512	0.018720108002266211
28	128	1024	0.015135513922118286
28	135	1080	0.014063616876949117
29	8	64	0.060412971823058055
29	16	128	0.037123160040871177
29	32	256	0.028834438074602533
29	64	512	0.02003345238330748
29	128	1024	0.01698785844298431
29	135	1080	0.016909540542084347
