allocation	depth_per_gemgroup	cells_per_reference	pattern	reversed_task_pairs	eligible_task_pairs
0	8	64	S	0	165
1	8	64	S	0	165
2	8	64	S	0	165
3	8	64	S	0	165
4	8	64	S	0	165
5	8	64	S	0	165
6	8	64	S	0	165
7	8	64	S	0	165
8	8	64	S	0	165
9	8	64	S	0	165
10	8	64	S	0	165
11	8	64	S	0	165
12	8	64	S	0	165
13	8	64	S	0	165
14	8	64	S	0	165
15	8	64	S	0	165
16	8	64	S	0	165
17	8	64	S	0	165
18	8	64	S	0	165
19	8	64	S	0	165
20	8	64	S	0	165
21	8	64	S	0	165
22	8	64	S	0	165
23	8	64	S	0	165
24	8	64	S	0	165
25	8	64	S	0	165
26	8	64	S	0	165
27	8	64	S	0	165
28	8	64	S	0	165
29	8	64	S	0	165
0	8	64	M	0	165
1	8	64	M	0	165
2	8	64	M	0	165
3	8	64	M	0	165
4	8	64	M	0	165
5	8	64	M	0	165
6	8	64	M	0	165
7	8	64	M	0	165
8	8	64	M	0	165
9	8	64	M	0	165
10	8	64	M	0	165
11	8	64	M	0	165
12	8	64	M	0	165
13	8	64	M	0	165
14	8	64	M	0	165
15	8	64	M	0	165
16	8	64	M	0	165
17	8	64	M	0	165
18	8	64	M	0	165
19	8	64	M	0	165
20	8	64	M	0	165
21	8	64	M	0	165
22	8	64	M	0	165
23	8	64	M	0	165
24	8	64	M	0	165
25	8	64	M	0	165
26	8	64	M	0	165
27	8	64	M	0	165
28	8	64	M	0	165
29	8	64	M	0	165
0	8	64	P	1	165
1	8	64	P	3	165
2	8	64	P	1	165
3	8	64	P	2	165
4	8	64	P	0	165
5	8	64	P	0	165
6	8	64	P	2	165
7	8	64	P	1	165
8	8	64	P	1	165
9	8	64	P	1	165
10	8	64	P	5	165
11	8	64	P	5	165
12	8	64	P	1	165
13	8	64	P	1	165
14	8	64	P	3	165
15	8	64	P	1	165
16	8	64	P	6	165
17	8	64	P	2	165
18	8	64	P	2	165
19	8	64	P	2	165
20	8	64	P	3	165
21	8	64	P	2	165
22	8	64	P	1	165
23	8	64	P	1	165
24	8	64	P	2	165
25	8	64	P	5	165
26	8	64	P	1	165
27	8	64	P	1	165
28	8	64	P	4	165
29	8	64	P	3	165
0	8	64	O	1	165
1	8	64	O	3	165
2	8	64	O	3	165
3	8	64	O	3	165
4	8	64	O	1	165
5	8	64	O	1	165
6	8	64	O	2	165
7	8	64	O	2	165
8	8	64	O	1	165
9	8	64	O	1	165
10	8	64	O	2	165
11	8	64	O	3	165
12	8	64	O	2	165
13	8	64	O	1	165
14	8	64	O	1	165
15	8	64	O	1	165
16	8	64	O	2	165
