depth_per_gemgroup	cells_per_reference	pattern	reversed_after_allocation_mean	eligible_task_pairs
8	64	S	0	165
8	64	M	0	165
8	64	P	3	165
8	64	O	2	165
8	64	D	0	165
16	128	S	0	165
16	128	M	0	165
16	128	P	1	165
16	128	O	1	165
16	128	D	0	165
32	256	S	0	165
32	256	M	0	165
32	256	P	0	165
32	256	O	1	165
32	256	D	0	165
64	512	S	0	165
64	512	M	0	165
64	512	P	0	165
64	512	O	1	165
64	512	D	0	165
128	1024	S	0	165
128	1024	M	0	165
128	1024	P	0	165
128	1024	O	1	165
128	1024	D	0	165
135	1080	S	0	165
135	1080	M	0	165
135	1080	P	0	165
135	1080	O	1	165
135	1080	D	0	165
