depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_task_allocation_pairs	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification	d_S_over_V	inside_reversal_interval
8	64	direct_effect_ridge	additive	-0.010566050989818054	0.030771096581544737	0.020205045591726686	1650	1334	0.020205045591726683	3.4694469519536142e-18	True	True	True	False	False	state_to_effect	-0.34337583523608145	True
8	64	direct_effect_ridge	compositional_ridge	-0.011357287054743372	0.030771096581544737	0.019413809526801371	1650	1249	0.019413809526801364	6.9388939039072284e-18	True	True	True	False	False	state_to_effect	-0.36908944810094985	True
8	64	direct_effect_ridge	CPA_0.8.8	0.038998985796989259	0.030771096581544737	0.069770082378533993	1650	231	0.069770082378533993	0	False	False	False	False	False	effect_preferred_both	1.2673901852551877	False
16	128	direct_effect_ridge	additive	-0.002821429897965291	0.015340822696117636	0.012519392798152349	1650	1115	0.012519392798152345	3.4694469519536142e-18	True	True	True	False	False	state_to_effect	-0.18391646614097962	True
16	128	direct_effect_ridge	compositional_ridge	-0.0036126659628906077	0.015340822696117636	0.011728156733227028	1650	995	0.011728156733227028	0	True	True	True	False	False	state_to_effect	-0.23549362602338658	True
16	128	direct_effect_ridge	CPA_0.8.8	0.046112253084707421	0.015340822696117636	0.06145307578082506	1650	97	0.061453075780825053	6.9388939039072284e-18	False	False	False	False	False	effect_preferred_both	3.0058526845745526	False
32	256	direct_effect_ridge	additive	0.00091588797638389485	0.0077340105629845465	0.0086498985393684419	1650	550	0.0086498985393684419	0	False	False	False	False	False	effect_preferred_both	0.11842341937925342	False
32	256	direct_effect_ridge	compositional_ridge	0.00012465191145857776	0.0077340105629845465	0.0078586624744431243	1650	805	0.0078586624744431243	0	False	False	False	False	False	effect_preferred_both	0.016117370210892847	False
32	256	direct_effect_ridge	CPA_0.8.8	0.048872464354578801	0.0077340105629845465	0.056606474917563349	1650	45	0.056606474917563349	0	False	False	False	False	False	effect_preferred_both	6.3191618315709892	False
64	512	direct_effect_ridge	additive	0.0028426668280944309	0.003838995584402715	0.0066816624124971472	1650	298	0.0066816624124971455	1.7347234759768071e-18	False	False	False	False	False	effect_preferred_both	0.74047150240124682	False
64	512	direct_effect_ridge	compositional_ridge	0.0020514307631691138	0.003838995584402715	0.0058904263475718279	1650	463	0.0058904263475718288	-8.6736173798840355e-19	False	False	False	False	False	effect_preferred_both	0.53436653365890308	False
64	512	direct_effect_ridge	CPA_0.8.8	0.050508770511155092	0.003838995584402715	0.05434776609555781	1650	31	0.054347766095557803	6.9388939039072284e-18	False	False	False	False	False	effect_preferred_both	13.156767024261486	False
128	1024	direct_effect_ridge	additive	0.0038147422907803211	0.0019173976591933103	0.0057321399499736317	1650	121	0.0057321399499736317	0	False	False	False	False	False	effect_preferred_both	1.9895415395392022	False
128	1024	direct_effect_ridge	compositional_ridge	0.0030235062258550036	0.0019173976591933103	0.0049409038850483132	1650	330	0.0049409038850483141	-8.6736173798840355e-19	False	False	False	False	False	effect_preferred_both	1.5768801069294391	False
128	1024	direct_effect_ridge	CPA_0.8.8	0.051529370043840311	0.0019173976591933103	0.053446767703033631	1650	30	0.053446767703033624	6.9388939039072284e-18	False	False	False	False	False	effect_preferred_both	26.87463906966477	False
135	1080	direct_effect_ridge	additive	0.003860680074926967	0.0018214947222395463	0.0056821747971665133	1650	111	0.0056821747971665133	0	False	False	False	False	False	effect_preferred_both	2.1195120841087158	False
135	1080	direct_effect_ridge	compositional_ridge	0.0030694440100016494	0.0018214947222395463	0.0048909387322411948	1650	317	0.0048909387322411957	-8.6736173798840355e-19	False	False	False	False	False	effect_preferred_both	1.6851237461878215	False
135	1080	direct_effect_ridge	CPA_0.8.8	0.051491185432991873	0.0018214947222395463	0.053312680155231419	1650	30	0.053312680155231419	0	False	False	False	False	False	effect_preferred_both	28.268643770585808	False
