depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	allocation_min_margin	allocation_max_margin	crossing_allocation_count	n_allocations	strict_crossing_after_task_and_allocation_means
8	additive	compositional_ridge	primary_state_pair	S	-0.0007912360649253228	-0.0007912360649253228	0.0	-0.0007912360649253228	-0.0007912360649253228	0	30	False
8	additive	compositional_ridge	primary_state_pair	M	-0.0007912360649253228	-0.0007912360649253228	0.0	-0.0007912360649253228	-0.0007912360649253228	0	30	False
8	additive	compositional_ridge	primary_state_pair	P	-0.0007912360649253228	-0.0007912360649253177	5.088522196198634e-18	-0.0007912360649253575	-0.0007912360649252742	0	30	False
8	additive	compositional_ridge	primary_state_pair	O	-0.0007912360649253228	-0.0007912360649253177	5.088522196198634e-18	-0.0007912360649253575	-0.0007912360649252742	0	30	False
8	additive	compositional_ridge	primary_state_pair	D	-0.0007912360649253228	-0.0007912360649253177	5.088522196198634e-18	-0.0007912360649253575	-0.0007912360649252742	0	30	False
8	additive	CPA_0.8.8	primary_state_pair	S	0.049565036786807314	0.049565036786807314	0.0	0.04341451180077098	0.05632115944714898	0	30	False
8	additive	CPA_0.8.8	primary_state_pair	M	0.049565036786807314	0.049565036786807314	9.251858538542971e-19	0.04341451180077098	0.05632115944714898	0	30	False
8	additive	CPA_0.8.8	primary_state_pair	P	0.049565036786807314	0.05284034664572799	0.0032753098589206812	0.04549506758693265	0.06005959503555229	0	30	False
8	additive	CPA_0.8.8	primary_state_pair	O	0.049565036786807314	0.046289726927886625	-0.0032753098589206804	0.04092563586511495	0.05258272385874564	0	30	False
8	additive	CPA_0.8.8	primary_state_pair	D	0.049565036786807314	0.049565036786807314	4.625929269271486e-19	0.04341451180077096	0.056321159447148994	0	30	False
8	additive	zero_effect	zero_effect_diagnostic	S	0.09201333972445841	0.09201333972445841	0.0	0.08475322460377341	0.10100897979500717	0	30	False
8	additive	zero_effect	zero_effect_diagnostic	M	0.09201333972445841	0.09201333972445841	-4.625929269271486e-19	0.08475322460377341	0.1010089797950072	0	30	False
8	additive	zero_effect	zero_effect_diagnostic	P	0.09201333972445841	0.06124224314291366	-0.03077109658154474	0.054533519123939424	0.06944922452337701	0	30	False
8	additive	zero_effect	zero_effect_diagnostic	O	0.09201333972445841	0.06124224314291366	-0.03077109658154474	0.054533519123939424	0.06944922452337701	0	30	False
8	additive	zero_effect	zero_effect_diagnostic	D	0.09201333972445841	0.06124224314291366	-0.03077109658154474	0.054533519123939424	0.06944922452337701	0	30	False
8	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.05035627285173263	0.05035627285173263	0.0	0.0442057478656963	0.0571123955120743	0	30	False
8	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.05035627285173263	0.05035627285173263	9.251858538542971e-19	0.0442057478656963	0.0571123955120743	0	30	False
8	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.05035627285173263	0.053631582710653304	0.003275309858920676	0.046286303651858	0.06085083110047761	0	30	False
8	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.05035627285173263	0.04708096299281195	-0.0032753098589206856	0.04171687193004029	0.053373959923670965	0	30	False
