depth_per_gemgroup	model	pattern	mean_utility	allocation_min_utility	allocation_max_utility
8	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
8	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
8	additive	P	-0.0569662637177467	-0.06022454419042066	-0.054722179714505326
8	additive	O	-0.0569662637177467	-0.06022454419042066	-0.054722179714505326
8	additive	D	-0.0569662637177467	-0.06022454419042066	-0.054722179714505326
8	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
8	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
8	compositional_ridge	P	-0.05617502765282139	-0.05943330812549532	-0.053930943649580045
8	compositional_ridge	O	-0.05617502765282139	-0.05943330812549532	-0.053930943649580045
8	compositional_ridge	D	-0.05617502765282139	-0.05943330812549532	-0.053930943649580045
8	CPA_0.8.8	S	-0.07576020392300928	-0.08251632658335094	-0.06960967893697294
8	CPA_0.8.8	M	-0.07576020392300928	-0.08251632658335094	-0.06960967893697294
8	CPA_0.8.8	P	-0.1098066103634747	-0.11945677124743082	-0.10106484817647439
8	CPA_0.8.8	O	-0.10325599064563333	-0.11033764626657779	-0.096903736604151
8	CPA_0.8.8	D	-0.106531300504554	-0.11407608185498114	-0.0989842923903127
8	zero_effect	S	-0.11820850686066037	-0.12720414693120913	-0.11094839173997537
8	zero_effect	M	-0.11820850686066037	-0.12720414693120916	-0.11094839173997537
8	zero_effect	P	-0.11820850686066037	-0.12720414693120916	-0.11094839173997537
8	zero_effect	O	-0.11820850686066037	-0.12720414693120916	-0.11094839173997537
8	zero_effect	D	-0.11820850686066037	-0.12720414693120916	-0.11094839173997537
16	additive	S	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
16	additive	M	-0.026195167136201958	-0.026195167136201958	-0.026195167136201958
16	additive	P	-0.04153598983231958	-0.042703787866181134	-0.0401587986234217
16	additive	O	-0.04153598983231958	-0.042703787866181134	-0.0401587986234217
16	additive	D	-0.04153598983231958	-0.042703787866181134	-0.0401587986234217
16	compositional_ridge	S	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
16	compositional_ridge	M	-0.025403931071276625	-0.025403931071276635	-0.025403931071276635
