pair_order	source_configuration_order	source_configuration_id	target_configuration_order	target_configuration_id	is_focal	positive_interaction_means
0	0	NO_CHANGE_DIRECT_V1	1	CONTEXT_MEAN_EFFECT_DIRECT_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
1	0	NO_CHANGE_DIRECT_V1	2	TWO_WAY_ADDITIVE_RIDGE_DIRECT_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
2	0	NO_CHANGE_DIRECT_V1	3	PCA64_ADDITIVE_RIDGE_DIRECT_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
3	0	NO_CHANGE_DIRECT_V1	4	RBF_KERNEL_RIDGE_DIRECT_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
4	0	NO_CHANGE_DIRECT_V1	5	CPA_0_8_8_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
5	0	NO_CHANGE_DIRECT_V1	6	SCGEN_2_1_1_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
6	0	NO_CHANGE_DIRECT_V1	7	CELLOT_522D2B9_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
7	1	CONTEXT_MEAN_EFFECT_DIRECT_V1	2	TWO_WAY_ADDITIVE_RIDGE_DIRECT_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
8	1	CONTEXT_MEAN_EFFECT_DIRECT_V1	3	PCA64_ADDITIVE_RIDGE_DIRECT_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
9	1	CONTEXT_MEAN_EFFECT_DIRECT_V1	4	RBF_KERNEL_RIDGE_DIRECT_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
10	1	CONTEXT_MEAN_EFFECT_DIRECT_V1	5	CPA_0_8_8_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
11	1	CONTEXT_MEAN_EFFECT_DIRECT_V1	6	SCGEN_2_1_1_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
12	1	CONTEXT_MEAN_EFFECT_DIRECT_V1	7	CELLOT_522D2B9_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
13	2	TWO_WAY_ADDITIVE_RIDGE_DIRECT_V1	3	PCA64_ADDITIVE_RIDGE_DIRECT_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
14	2	TWO_WAY_ADDITIVE_RIDGE_DIRECT_V1	4	RBF_KERNEL_RIDGE_DIRECT_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
15	2	TWO_WAY_ADDITIVE_RIDGE_DIRECT_V1	5	CPA_0_8_8_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
16	2	TWO_WAY_ADDITIVE_RIDGE_DIRECT_V1	6	SCGEN_2_1_1_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
17	2	TWO_WAY_ADDITIVE_RIDGE_DIRECT_V1	7	CELLOT_522D2B9_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
18	3	PCA64_ADDITIVE_RIDGE_DIRECT_V1	4	RBF_KERNEL_RIDGE_DIRECT_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
19	3	PCA64_ADDITIVE_RIDGE_DIRECT_V1	5	CPA_0_8_8_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
20	3	PCA64_ADDITIVE_RIDGE_DIRECT_V1	6	SCGEN_2_1_1_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
21	3	PCA64_ADDITIVE_RIDGE_DIRECT_V1	7	CELLOT_522D2B9_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
22	4	RBF_KERNEL_RIDGE_DIRECT_V1	5	CPA_0_8_8_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
23	4	RBF_KERNEL_RIDGE_DIRECT_V1	6	SCGEN_2_1_1_ABSOLUTE_V1	true	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
24	4	RBF_KERNEL_RIDGE_DIRECT_V1	7	CELLOT_522D2B9_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
25	5	CPA_0_8_8_ABSOLUTE_V1	6	SCGEN_2_1_1_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
26	5	CPA_0_8_8_ABSOLUTE_V1	7	CELLOT_522D2B9_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
27	6	SCGEN_2_1_1_ABSOLUTE_V1	7	CELLOT_522D2B9_ABSOLUTE_V1	false	ALLOCATION_CHANGE_MORE_FAVORABLE_TO_SOURCE
