partition_index	depth	partition_seed_sha256	assignment_sha256
0	4	1c16c1e60fee563a2ef19a70e83c3014ab0b91e023890719d86397a3864c37e7	031cc9a0517799b16968db3f6564b0e487a20b51ac1fd9141bc89cab110da0c4
0	6	1c16c1e60fee563a2ef19a70e83c3014ab0b91e023890719d86397a3864c37e7	b01919e971b2c115f751c90add6ffd4a8b273d98478302d81247e7c1f908a25f
0	8	1c16c1e60fee563a2ef19a70e83c3014ab0b91e023890719d86397a3864c37e7	0c65dcd1dea0a6418af999b5ef8100e602b3c75b1819e1911678a22bb6fa4e08
1	4	41bbfd4a535664e8d0889662792a6eda34b39a296e75973d5673e8fdd8286dca	abf9af751fb5e79763c70d673e0a97ba9f4dbf629450eb3caf882a79d74b0b8c
1	6	41bbfd4a535664e8d0889662792a6eda34b39a296e75973d5673e8fdd8286dca	49b6c4653bff63f59200b8fc8bf0681a78deed076ac6ecc9471241987ccf14a9
1	8	41bbfd4a535664e8d0889662792a6eda34b39a296e75973d5673e8fdd8286dca	7755c04ed41223978afec6cc24ebd51a710d0a2c2086c98b69ecfddcb852e8d7
2	4	31b1b7b571b2075434ab95368cc03ccdd217beb4f575c637ff357ca01fca8f63	25acd8303fb52dd02f0dd8d2610898e06b5f38d0f1288d7ae5bf9005bb86d687
2	6	31b1b7b571b2075434ab95368cc03ccdd217beb4f575c637ff357ca01fca8f63	fb6b7b9397bcaed6b3ee61b7f59e8d3cb506da3b7d81d14e94b3845048e36a2d
2	8	31b1b7b571b2075434ab95368cc03ccdd217beb4f575c637ff357ca01fca8f63	953c872754f77865bb171dddf371c4df2f2a41655bc00e2534051504c65c7c96
3	4	060be8463fe5163dbc275e27fff877e2e31814099b3366b71ea87994e4a3ed5c	3fcdf72fdd30f45715bb40c554db08cde6d2d1872ef1068f6f262ff1d527fddd
3	6	060be8463fe5163dbc275e27fff877e2e31814099b3366b71ea87994e4a3ed5c	2926290d1e29ab1cf2cbe8a9c9145881a7fc20238342be12133ed4122aa90e5f
3	8	060be8463fe5163dbc275e27fff877e2e31814099b3366b71ea87994e4a3ed5c	28c136ee9f5d496fdf41380a49714178b3fecb994048aded813f2a1cc74c7fa5
4	4	c321d01a42d7fae2efda1eadf4a4354012eacc3fbc7b91ecfcfda3c2b6b45bb2	e067629dfcf031e1139b05396c22d5bc62f01e2f6e00b231082b5f27c6a4171d
4	6	c321d01a42d7fae2efda1eadf4a4354012eacc3fbc7b91ecfcfda3c2b6b45bb2	7664200f98f54f759cedcfffa33d7bd7dff20897144af639324cacf911035e7a
4	8	c321d01a42d7fae2efda1eadf4a4354012eacc3fbc7b91ecfcfda3c2b6b45bb2	b3d7c016c520dc5e1b29bdbafb5512b8fec3e8ab7be57fb714a6303ee6c6f18c
5	4	cd968c0abaed16ef465385d13135e4000af7c522f157ac5c3289debc885e16e0	f55dff7bfe2433794de7f04f6a70a190e3fd91c3fd8ed1ce7392d0185ffbcd5e
5	6	cd968c0abaed16ef465385d13135e4000af7c522f157ac5c3289debc885e16e0	22cc69e5f45e1f726f81c0202109b3fdd3b742b938b9ef368176399771e8ddeb
5	8	cd968c0abaed16ef465385d13135e4000af7c522f157ac5c3289debc885e16e0	ae9431bfc4a47d3a2cba4b11c485b9dbe8142947f9c15bb5469171da7d5c880d
6	4	a4154fa46bd8e67322621ff7804739f891a1be23fe0b1b695689d9054d8ebd6b	9db35b6a6db6ec0f1d9ae8af70aa689ab74f25ba9619b32f7d26568b18e82bf0
6	6	a4154fa46bd8e67322621ff7804739f891a1be23fe0b1b695689d9054d8ebd6b	b846b3b2fc6b6364c10032b5676c673902c7fb921dfcc228dc696c4616afdf96
6	8	a4154fa46bd8e67322621ff7804739f891a1be23fe0b1b695689d9054d8ebd6b	f16219f6c45c4fbea3d5c2a2d8e449abdaec4c560efa0deb7e57b62800ad9227
7	4	69aea0fdea4cc03b928432435ccb5a2e4f8f3c5986d5e452fb20f32deae25e15	9ffe2a34724f42a75846fca889212b40ae7abf445f9f62242a75b545c0334880
7	6	69aea0fdea4cc03b928432435ccb5a2e4f8f3c5986d5e452fb20f32deae25e15	bc94096e0c467e758719ef97b731baa0a2ed63884b36ffdae5b68fdf592a525d
7	8	69aea0fdea4cc03b928432435ccb5a2e4f8f3c5986d5e452fb20f32deae25e15	67146ac1423a7ccb15b45c4922a0560b52cb391b1ebeee89dbe64082c4b0f29d
8	4	3dc7e1a08b3330175b1f7983b8c5d29fa021856c4820161e5f7f269cabe3a85e	5450e408ec6d852c2ee6c4a70f04fb34602cf7a882225f8a6c15159655914d71
8	6	3dc7e1a08b3330175b1f7983b8c5d29fa021856c4820161e5f7f269cabe3a85e	813f577f3a23e2c02abc92ae5cda87fec705b08c45456b0f5792c7edca51c551
8	8	3dc7e1a08b3330175b1f7983b8c5d29fa021856c4820161e5f7f269cabe3a85e	2a6a413b52713ac6fa7bfde1c751fd63dc2a15aa4f653371dbae10e492a50468
9	4	708cbbf8ef586047c13ee6a21a81bbbe492c076a0f712fccb599b8344f03d24d	beb5654bf991fd1a53c2d8f9c34c243c16a62fa28bdb701ca70edace95c16722
9	6	708cbbf8ef586047c13ee6a21a81bbbe492c076a0f712fccb599b8344f03d24d	ff8d54b61036cb630c65d7dc8046d056a73e03fca2beb5b6dd857cad8856cd5d
9	8	708cbbf8ef586047c13ee6a21a81bbbe492c076a0f712fccb599b8344f03d24d	b3852c6b0d096ada817dae887e7438ef118578ac2e28ee467de4c3e021855271
10	4	d5c494e7a11155945d15e4c19c6c4a20c89a9b95446dc0ad392499eece6ffee7	c336ec48f1b5bb6df300a8b5ed1f6847a65ed113c31b4aa25e3382ea9dd700d6
10	6	d5c494e7a11155945d15e4c19c6c4a20c89a9b95446dc0ad392499eece6ffee7	09dfd5b4f10021f8c954d8937967be8599e1668830421845f9528cc7599f0c76
10	8	d5c494e7a11155945d15e4c19c6c4a20c89a9b95446dc0ad392499eece6ffee7	b71abea875594d4bff40c5873f0368bc50ed967689cfd51c086ca16c30cf256f
11	4	d17f7d5644a061c170fdd20acd726e7431d0c04c8a03aa7fdf23f197a12e01ee	d087d94722064e1543e5eb2fd7cd3b1c69fbb7655205bb07c0efa7289580be76
11	6	d17f7d5644a061c170fdd20acd726e7431d0c04c8a03aa7fdf23f197a12e01ee	714e75f4f38865c90e3dd32a0a7e229fe57986b7b906de558b857b3f03c0a9ad
11	8	d17f7d5644a061c170fdd20acd726e7431d0c04c8a03aa7fdf23f197a12e01ee	048fe5be8996c424b0ec96b13b4f67cc847a7cfd7c7610d70a9d0a3673093aa8
12	4	783e30905d60b7c28729724f366da669a5db9e2573174afc66dd4d9227f672fe	153ccfdbed5744587156c6c91c8bd8bb313d752d0df8ad3621f52ad4dac89805
12	6	783e30905d60b7c28729724f366da669a5db9e2573174afc66dd4d9227f672fe	dd54f02c12e35502256070947fa419efca5cd7e40a9e3481d5cb69d0650b55a0
12	8	783e30905d60b7c28729724f366da669a5db9e2573174afc66dd4d9227f672fe	a99dcf9768cac197d49f694f1e2e6f165dfc1b97a970aab5ee7af7ba05788c62
13	4	24443f3634453cf5c89c0b802a09f52a833f9b60cbb5baa2059d4382f83b4aad	3e57da894eee3152fe482a80a67c429687132da736add8a5741f520c31670684
13	6	24443f3634453cf5c89c0b802a09f52a833f9b60cbb5baa2059d4382f83b4aad	82115b7ebf1972b9db846ec2645aa5f15e1ec961037e7102de71e60af213a2e0
13	8	24443f3634453cf5c89c0b802a09f52a833f9b60cbb5baa2059d4382f83b4aad	3d055f6a20e05b551ad0e00e22b3d901d2a064daf4dd6713531d24a116c236e2
14	4	b6bc3d82a2891f9db5b786f348d61b00e282a7d4b7c4bfdf10ae4057e5c6a94d	812e376ee3ce463b45194dee94daa9646b8896c9a0421f3f04a032435852e78f
14	6	b6bc3d82a2891f9db5b786f348d61b00e282a7d4b7c4bfdf10ae4057e5c6a94d	71c54859be41d1a2852b06ed16823ac7155d5d17bc102b97380858c3b3bc1747
14	8	b6bc3d82a2891f9db5b786f348d61b00e282a7d4b7c4bfdf10ae4057e5c6a94d	22958bf7b79507b38a04c9b3913b52a49d2da3dd48efaa688da50d4701a499ca
15	4	b6d2eae6a4e73b5faeacdfe35831eee9e2c4b4b2cd092917e03e73db2614fdb0	96d838835ead553cb77aebff76a176bd0ccb2e808a58b084150793f73d86f337
15	6	b6d2eae6a4e73b5faeacdfe35831eee9e2c4b4b2cd092917e03e73db2614fdb0	cd0817c1bda11bc6fe375bf6a843a6ddd34647567c89e791c8cca664b761bb28
15	8	b6d2eae6a4e73b5faeacdfe35831eee9e2c4b4b2cd092917e03e73db2614fdb0	4fa770086b5c3049c20d35cc2e76cc76f9e28882685272c509639bce6c94c2ed
16	4	00b4e83033be03e4f36d00bfc6bf7ac669467ad63650b9f04f6e2c907b63408a	8c97ca46973c7ce4c1486f37d5b808e16ac3a47359ab1fc793e4ec1d58195a9d
16	6	00b4e83033be03e4f36d00bfc6bf7ac669467ad63650b9f04f6e2c907b63408a	72e7cdce9ba6e371b132daf2e6b278178acaf26657f6a737b98049b9bea06779
16	8	00b4e83033be03e4f36d00bfc6bf7ac669467ad63650b9f04f6e2c907b63408a	f38399938a44e5dacb46cc77922fd1dc4888d89c7e83e1718c2e089930830a7c
17	4	7660cfeafc90b317f798dec5ae57acdba6d3bf3629875a6e68e4635ff4bdba4f	707aaa417cc4bd337f1f057c31cc0ae72e95b99262d73dc5a0ec8bc7886c58ec
17	6	7660cfeafc90b317f798dec5ae57acdba6d3bf3629875a6e68e4635ff4bdba4f	e1a648c9a9e28e162e0b49a9e6775fe3ebb85deada426551944d34c75d3cf244
17	8	7660cfeafc90b317f798dec5ae57acdba6d3bf3629875a6e68e4635ff4bdba4f	0efe6414ee83e6f30273a82ac48daba290f501120dda5d813ddb7ee2084d97b2
18	4	aa32b2842aa171aa1c4256543e1f6f20e1830216466b304e5dcc20df5ada5610	c21bf3df2d3999dc050d693429381df075d3cce138a07274446cf737a4546f46
18	6	aa32b2842aa171aa1c4256543e1f6f20e1830216466b304e5dcc20df5ada5610	ebdd8dd7fb1ee16fa85df753655393aa79895cd05790b1672dbe5c24b0e98280
18	8	aa32b2842aa171aa1c4256543e1f6f20e1830216466b304e5dcc20df5ada5610	82ad8b1760923b9b5047e6cb5f8a8f0d86385bf1e4eae9d7da2a8c9c22292690
19	4	009185767843f55825191c3198ea157db3d8879a1d8f89055fd59e9179952b29	bfe24ec5dfd73d0fbc33a556c0ba3151752c95b926a292c84e79e5a0afa30c5c
19	6	009185767843f55825191c3198ea157db3d8879a1d8f89055fd59e9179952b29	d2307f3b60ca195a824b45c70e47e8daaf8e3958e74b776082f6d0f2e9302811
19	8	009185767843f55825191c3198ea157db3d8879a1d8f89055fd59e9179952b29	edcc6506959d1d2cead29133fa15be64c7bef2cc73f96354f451eabd71b135d5
20	4	c6d90bcd0890ba1c45e8a12a339009be6a6daf97bbb5464f9f27ee023e9aa386	99b292f2543a2bf09e16c5311ab79ef96fb2bc50a74b554f7401d871c122cbdd
20	6	c6d90bcd0890ba1c45e8a12a339009be6a6daf97bbb5464f9f27ee023e9aa386	5bff67fedc6597e0c9d80f30ae2f3c8f10511b7dba67dde83dda9da9d3637035
20	8	c6d90bcd0890ba1c45e8a12a339009be6a6daf97bbb5464f9f27ee023e9aa386	23cdfdbbd65c1175858c6e89afe5ed7b74cb50a1b8d3bfb50796f8a94e39c52b
21	4	f0c84e4328f2828d0b0b7c84bb7d07c435fdc3a3506bc8ac13261749ee70e8c1	004061cab3edb8625268001b7431f3588d51c2a82776f9e00ade864f91f682ff
21	6	f0c84e4328f2828d0b0b7c84bb7d07c435fdc3a3506bc8ac13261749ee70e8c1	2f474eaa26725d5b54f8d58bc1e7c34f1a85ad20ee89cc664219a3f84fd0cfbe
21	8	f0c84e4328f2828d0b0b7c84bb7d07c435fdc3a3506bc8ac13261749ee70e8c1	52f9d92c4ed6577377b53e836573e9a3910de89fd0f88dacddb02907c76f2667
22	4	5b66c4673bc6d7a977acf4a6d8742e95e66c0b03ca9dee4c5078cec4327dbe16	e1a1561bcc4b778fbf7a26373ab5077a116994e3b63bb60eaa5c0d1ee4025017
22	6	5b66c4673bc6d7a977acf4a6d8742e95e66c0b03ca9dee4c5078cec4327dbe16	1d755a047b9e9bed23bec12be635349398a3cbb6c03a0c0a0494aac59cae54e7
