pattern_order	pattern_id	assignment_index_within_pattern	C_obs_block	C_pred_block	C_model_block	unique_block_count	assignment_weight_numerator	assignment_weight_denominator
0	ALL_SHARED	0	B1	B1	B1	1	1	3
0	ALL_SHARED	1	B2	B2	B2	1	1	3
0	ALL_SHARED	2	B3	B3	B3	1	1	3
1	OBS_PRED_SHARED_MODEL_SEPARATE	0	B1	B1	B2	2	1	6
1	OBS_PRED_SHARED_MODEL_SEPARATE	1	B1	B1	B3	2	1	6
1	OBS_PRED_SHARED_MODEL_SEPARATE	2	B2	B2	B1	2	1	6
1	OBS_PRED_SHARED_MODEL_SEPARATE	3	B2	B2	B3	2	1	6
1	OBS_PRED_SHARED_MODEL_SEPARATE	4	B3	B3	B1	2	1	6
1	OBS_PRED_SHARED_MODEL_SEPARATE	5	B3	B3	B2	2	1	6
2	OBS_MODEL_SHARED_PRED_SEPARATE	0	B1	B2	B1	2	1	6
2	OBS_MODEL_SHARED_PRED_SEPARATE	1	B1	B3	B1	2	1	6
2	OBS_MODEL_SHARED_PRED_SEPARATE	2	B2	B1	B2	2	1	6
2	OBS_MODEL_SHARED_PRED_SEPARATE	3	B2	B3	B2	2	1	6
2	OBS_MODEL_SHARED_PRED_SEPARATE	4	B3	B1	B3	2	1	6
2	OBS_MODEL_SHARED_PRED_SEPARATE	5	B3	B2	B3	2	1	6
3	PRED_MODEL_SHARED_OBS_SEPARATE	0	B2	B1	B1	2	1	6
3	PRED_MODEL_SHARED_OBS_SEPARATE	1	B3	B1	B1	2	1	6
3	PRED_MODEL_SHARED_OBS_SEPARATE	2	B1	B2	B2	2	1	6
3	PRED_MODEL_SHARED_OBS_SEPARATE	3	B3	B2	B2	2	1	6
3	PRED_MODEL_SHARED_OBS_SEPARATE	4	B1	B3	B3	2	1	6
3	PRED_MODEL_SHARED_OBS_SEPARATE	5	B2	B3	B3	2	1	6
4	ALL_DISJOINT	0	B1	B2	B3	3	1	6
4	ALL_DISJOINT	1	B1	B3	B2	3	1	6
4	ALL_DISJOINT	2	B2	B1	B3	3	1	6
4	ALL_DISJOINT	3	B2	B3	B1	3	1	6
4	ALL_DISJOINT	4	B3	B1	B2	3	1	6
4	ALL_DISJOINT	5	B3	B2	B1	3	1	6
