root_task_index	root_id	root_index	task_id	task_index
0	R41	0	T01	0
1	R41	0	T02	1
2	R41	0	T03	2
3	R41	0	T04	3
4	R41	0	T05	4
5	R42	1	T01	0
6	R42	1	T02	1
7	R42	1	T03	2
8	R42	1	T04	3
9	R42	1	T05	4
10	R43	2	T01	0
11	R43	2	T02	1
12	R43	2	T03	2
13	R43	2	T04	3
14	R43	2	T05	4
15	R44	3	T01	0
16	R44	3	T02	1
17	R44	3	T03	2
18	R44	3	T04	3
19	R44	3	T05	4
20	R45	4	T01	0
21	R45	4	T02	1
22	R45	4	T03	2
23	R45	4	T04	3
24	R45	4	T05	4
25	R46	5	T01	0
26	R46	5	T02	1
27	R46	5	T03	2
28	R46	5	T04	3
29	R46	5	T05	4
30	R47	6	T01	0
31	R47	6	T02	1
32	R47	6	T03	2
33	R47	6	T04	3
34	R47	6	T05	4
35	R48	7	T01	0
36	R48	7	T02	1
37	R48	7	T03	2
38	R48	7	T04	3
39	R48	7	T05	4
