dataset	regime	panel	seed_a	seed_b	depth	unit	family_a	family_b	contrast	margin_before	margin_after	margin_change	exact_classification	native_tolerance	native_classification	allocations	biological_roots	seed_combinations_not_biological_replicates
gse162632	original8	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	scGen	CPA	D_to_O	0.27488127861535383	0.27684157468227866	0.001960296066924827	stable_order	1e-12	stable_order	1000	8	True
gse162632	original8	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	scGen	CPA	D_to_P	0.27488127861535383	0.2729209825482159	-0.0019602960671379344	stable_order	1e-12	stable_order	1000	8	True
gse162632	original8	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	scGen	CellOT	D_to_O	0.00530447698680786	0.0032949041853137517	-0.0020095728014941083	stable_order	1e-12	stable_order	1000	8	True
gse162632	original8	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	scGen	CellOT	D_to_P	0.00530447698680786	0.00731404978741268	0.0020095728006048197	stable_order	1e-12	stable_order	1000	8	True
gse162632	original8	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	CPA	CellOT	D_to_O	-0.26957680162854597	-0.2735466704969649	-0.003969868868418935	stable_order	1e-12	stable_order	1000	8	True
gse162632	original8	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	CPA	CellOT	D_to_P	-0.26957680162854597	-0.2656069327608032	0.003969868867742754	stable_order	1e-12	stable_order	1000	8	True
gse162632	cap48	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	scGen	CPA	D_to_O	0.2638002991703114	0.2675865023441355	0.0037862031738241098	stable_order	1e-12	stable_order	1000	8	True
gse162632	cap48	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	scGen	CPA	D_to_P	0.2638002991703114	0.2600140959949674	-0.003786203175344005	stable_order	1e-12	stable_order	1000	8	True
gse162632	cap48	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	scGen	CellOT	D_to_O	0.007288350830443935	0.005848064198735348	-0.0014402866317085872	stable_order	1e-12	stable_order	1000	8	True
gse162632	cap48	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	scGen	CellOT	D_to_P	0.007288350830443935	0.008728637462641353	0.0014402866321974184	stable_order	1e-12	stable_order	1000	8	True
gse162632	cap48	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	CPA	CellOT	D_to_O	-0.25651194833986746	-0.26173843814540015	-0.005226489805532697	stable_order	1e-12	stable_order	1000	8	True
gse162632	cap48	primary	mean_of_scored_seeds	mean_of_scored_seeds	8	equal_eight_root_mean	CPA	CellOT	D_to_P	-0.25651194833986746	-0.25128545853232603	0.0052264898075414234	stable_order	1e-12	stable_order	1000	8	True
parse	common48	primary	mean_of_scored_seeds	mean_of_scored_seeds	48	equal_eight_root_mean	scGen	CPA	D_to_O	0.15374798927026642	0.15442445235082025	0.0006764630805538296	stable_order	1e-12	stable_order	1000	8	True
parse	common48	primary	mean_of_scored_seeds	mean_of_scored_seeds	48	equal_eight_root_mean	scGen	CPA	D_to_P	0.15374798927026642	0.15307152618965758	-0.0006764630806088412	stable_order	1e-12	stable_order	1000	8	True
parse	common48	primary	mean_of_scored_seeds	mean_of_scored_seeds	48	equal_eight_root_mean	scGen	CellOT	D_to_O	0.006725571229298129	0.006516103183845268	-0.00020946804545286107	stable_order	1e-12	stable_order	1000	8	True
parse	common48	primary	mean_of_scored_seeds	mean_of_scored_seeds	48	equal_eight_root_mean	scGen	CellOT	D_to_P	0.006725571229298129	0.006935039274743572	0.0002094680454454434	stable_order	1e-12	stable_order	1000	8	True
parse	common48	primary	mean_of_scored_seeds	mean_of_scored_seeds	48	equal_eight_root_mean	CPA	CellOT	D_to_O	-0.1470224180409683	-0.14790834916697498	-0.0008859311260066838	stable_order	1e-12	stable_order	1000	8	True
parse	common48	primary	mean_of_scored_seeds	mean_of_scored_seeds	48	equal_eight_root_mean	CPA	CellOT	D_to_P	-0.1470224180409683	-0.14613648691491402	0.0008859311260542846	stable_order	1e-12	stable_order	1000	8	True
parse	common128	primary	mean_of_scored_seeds	mean_of_scored_seeds	48	equal_eight_root_mean	scGen	CPA	D_to_O	0.15578435589457637	0.15602245013343016	0.0002380942388537921	stable_order	1e-12	stable_order	1000	8	True
parse	common128	primary	mean_of_scored_seeds	mean_of_scored_seeds	48	equal_eight_root_mean	scGen	CPA	D_to_P	0.15578435589457637	0.15554626165583746	-0.00023809423873891178	stable_order	1e-12	stable_order	1000	8	True
