dataset	regime	reference_depth	family	readout	root_index	value
gse162632	original8	8	scGen	raw_state	0	0.08805480339153374
gse162632	original8	8	scGen	raw_state	1	0.08509445029815224
gse162632	original8	8	scGen	raw_state	2	0.0900619222271083
gse162632	original8	8	scGen	raw_state	3	0.08984368886556508
gse162632	original8	8	scGen	raw_state	4	0.07810086522509482
gse162632	original8	8	scGen	raw_state	5	0.0732573188140091
gse162632	original8	8	scGen	raw_state	6	0.0813051977881228
gse162632	original8	8	scGen	raw_state	7	0.08525027754317581
gse162632	original8	8	scGen	input_centered_effect	0	0.48930856976848286
gse162632	original8	8	scGen	input_centered_effect	1	0.4726104633124005
gse162632	original8	8	scGen	input_centered_effect	2	0.46284172608556384
gse162632	original8	8	scGen	input_centered_effect	3	0.462714093670369
gse162632	original8	8	scGen	input_centered_effect	4	0.4690660032966451
gse162632	original8	8	scGen	input_centered_effect	5	0.4841030251118207
gse162632	original8	8	scGen	input_centered_effect	6	0.5047874609232071
gse162632	original8	8	scGen	input_centered_effect	7	0.48377082313110464
gse162632	original8	8	scGen	reference	0	0.4945971765783124
gse162632	original8	8	scGen	reference	1	0.4772762745684007
gse162632	original8	8	scGen	reference	2	0.4681235466829002
gse162632	original8	8	scGen	reference	3	0.4676773835581799
gse162632	original8	8	scGen	reference	4	0.4737203334423644
gse162632	original8	8	scGen	reference	5	0.4890371039141158
gse162632	original8	8	scGen	reference	6	0.5086716093608081
gse162632	original8	8	scGen	reference	7	0.4879458449993468
gse162632	original8	8	scGen	D_to_O	0	0.006478569508389057
gse162632	original8	8	scGen	D_to_O	1	0.005836528852282863
gse162632	original8	8	scGen	D_to_O	2	0.0065141706906275305
gse162632	original8	8	scGen	D_to_O	3	0.006344845523429021
gse162632	original8	8	scGen	D_to_O	4	0.005243892016330551
gse162632	original8	8	scGen	D_to_O	5	0.005084092419087577
gse162632	original8	8	scGen	D_to_O	6	0.005273480326850717
gse162632	original8	8	scGen	D_to_O	7	0.005662274089030517
gse162632	original8	8	scGen	D_to_P	0	-0.006478569515071075
gse162632	original8	8	scGen	D_to_P	1	-0.005836528854101544
gse162632	original8	8	scGen	D_to_P	2	-0.006514170684272162
gse162632	original8	8	scGen	D_to_P	3	-0.006344845518240281
gse162632	original8	8	scGen	D_to_P	4	-0.005243892011889827
gse162632	original8	8	scGen	D_to_P	5	-0.005084092419909865
gse162632	original8	8	scGen	D_to_P	6	-0.005273480327003397
gse162632	original8	8	scGen	D_to_P	7	-0.00566227408938709
gse162632	original8	8	scGen	S_to_M	0	2.1500034067904277e-12
