dataset	regime	family	mode	depth	seed_summary	root_index	root_tasks	rms
gse162632	cap48	CPA	raw_state	4	mean_of_squared_seed_displacements	0	5	0.16094141262056813
gse162632	cap48	CPA	raw_state	4	mean_of_squared_seed_displacements	1	5	0.16406632560857098
gse162632	cap48	CPA	raw_state	4	mean_of_squared_seed_displacements	2	5	0.15575548930281954
gse162632	cap48	CPA	raw_state	4	mean_of_squared_seed_displacements	3	5	0.15920096565238437
gse162632	cap48	CPA	raw_state	4	mean_of_squared_seed_displacements	4	5	0.1558901096113931
gse162632	cap48	CPA	raw_state	4	mean_of_squared_seed_displacements	5	5	0.15713839119290643
gse162632	cap48	CPA	raw_state	4	mean_of_squared_seed_displacements	6	5	0.16048251311843797
gse162632	cap48	CPA	raw_state	4	mean_of_squared_seed_displacements	7	5	0.15823636243380212
gse162632	cap48	CPA	raw_state	4	17	0	5	0.1615830544642419
gse162632	cap48	CPA	raw_state	4	17	1	5	0.16297900001016788
gse162632	cap48	CPA	raw_state	4	17	2	5	0.15456658699803227
gse162632	cap48	CPA	raw_state	4	17	3	5	0.15986912017570754
gse162632	cap48	CPA	raw_state	4	17	4	5	0.15503443639280284
gse162632	cap48	CPA	raw_state	4	17	5	5	0.15757147293085585
gse162632	cap48	CPA	raw_state	4	17	6	5	0.15989562007824074
gse162632	cap48	CPA	raw_state	4	17	7	5	0.15872383285857922
gse162632	cap48	CPA	raw_state	4	29	0	5	0.15915179749647085
gse162632	cap48	CPA	raw_state	4	29	1	5	0.16250140110960107
gse162632	cap48	CPA	raw_state	4	29	2	5	0.1545275355993943
gse162632	cap48	CPA	raw_state	4	29	3	5	0.16022108854586264
gse162632	cap48	CPA	raw_state	4	29	4	5	0.1561550813709466
gse162632	cap48	CPA	raw_state	4	29	5	5	0.15504983560911748
gse162632	cap48	CPA	raw_state	4	29	6	5	0.15952918112276976
gse162632	cap48	CPA	raw_state	4	29	7	5	0.15484944155554944
