dataset	regime	family	mode	depth	seed_summary	root_index	root_tasks	rms
gse162632	cap48	CellOT	raw_state	4	mean_of_squared_seed_displacements	0	5	0.18451301348087684
gse162632	cap48	CellOT	raw_state	4	mean_of_squared_seed_displacements	1	5	0.17762771423055615
gse162632	cap48	CellOT	raw_state	4	mean_of_squared_seed_displacements	2	5	0.17000218505982478
gse162632	cap48	CellOT	raw_state	4	mean_of_squared_seed_displacements	3	5	0.17520508602011087
gse162632	cap48	CellOT	raw_state	4	mean_of_squared_seed_displacements	4	5	0.1715254262080359
gse162632	cap48	CellOT	raw_state	4	mean_of_squared_seed_displacements	5	5	0.17183253633356899
gse162632	cap48	CellOT	raw_state	4	mean_of_squared_seed_displacements	6	5	0.1733363402077945
gse162632	cap48	CellOT	raw_state	4	mean_of_squared_seed_displacements	7	5	0.17668137100942163
gse162632	cap48	CellOT	raw_state	4	17	0	5	0.1801884288215363
gse162632	cap48	CellOT	raw_state	4	17	1	5	0.17290943405039833
gse162632	cap48	CellOT	raw_state	4	17	2	5	0.1639809006553926
gse162632	cap48	CellOT	raw_state	4	17	3	5	0.17087713664233983
gse162632	cap48	CellOT	raw_state	4	17	4	5	0.16583905183865197
gse162632	cap48	CellOT	raw_state	4	17	5	5	0.16874786257275068
gse162632	cap48	CellOT	raw_state	4	17	6	5	0.17166721883350122
gse162632	cap48	CellOT	raw_state	4	17	7	5	0.17379147899579972
gse162632	cap48	CellOT	raw_state	4	29	0	5	0.18517426805439408
gse162632	cap48	CellOT	raw_state	4	29	1	5	0.17841924843531973
gse162632	cap48	CellOT	raw_state	4	29	2	5	0.17231438813805536
gse162632	cap48	CellOT	raw_state	4	29	3	5	0.17559052123242136
gse162632	cap48	CellOT	raw_state	4	29	4	5	0.17153308018272437
gse162632	cap48	CellOT	raw_state	4	29	5	5	0.1725861430792614
gse162632	cap48	CellOT	raw_state	4	29	6	5	0.17352978319606435
gse162632	cap48	CellOT	raw_state	4	29	7	5	0.17690456700292734
gse162632	cap48	CellOT	raw_state	4	43	0	5	0.18808981099657754
gse162632	cap48	CellOT	raw_state	4	43	1	5	0.18144892943322347
gse162632	cap48	CellOT	raw_state	4	43	2	5	0.17355184999359333
gse162632	cap48	CellOT	raw_state	4	43	3	5	0.17905149965354888
gse162632	cap48	CellOT	raw_state	4	43	4	5	0.17702182576120085
gse162632	cap48	CellOT	raw_state	4	43	5	5	0.17411905042997025
gse162632	cap48	CellOT	raw_state	4	43	6	5	0.17479771403480793
gse162632	cap48	CellOT	raw_state	4	43	7	5	0.17930481473531532
gse162632	cap48	CellOT	raw_state	6	mean_of_squared_seed_displacements	0	5	0.1503666204690099
gse162632	cap48	CellOT	raw_state	6	mean_of_squared_seed_displacements	1	5	0.14532273645226598
gse162632	cap48	CellOT	raw_state	6	mean_of_squared_seed_displacements	2	5	0.13874222456247112
gse162632	cap48	CellOT	raw_state	6	mean_of_squared_seed_displacements	3	5	0.1427404291448374
gse162632	cap48	CellOT	raw_state	6	mean_of_squared_seed_displacements	4	5	0.140119640294459
gse162632	cap48	CellOT	raw_state	6	mean_of_squared_seed_displacements	5	5	0.13954811218210197
gse162632	cap48	CellOT	raw_state	6	mean_of_squared_seed_displacements	6	5	0.14156270786629607
