dataset	regime	family	mode	depth	seed_summary	root_index	root_tasks	rms
gse162632	original8	CPA	raw_state	4	mean_of_squared_seed_displacements	0	5	0.13815904944682314
gse162632	original8	CPA	raw_state	4	mean_of_squared_seed_displacements	1	5	0.13795178295390872
gse162632	original8	CPA	raw_state	4	mean_of_squared_seed_displacements	2	5	0.13353205028193899
gse162632	original8	CPA	raw_state	4	mean_of_squared_seed_displacements	3	5	0.13800422821529532
gse162632	original8	CPA	raw_state	4	mean_of_squared_seed_displacements	4	5	0.13394993991196374
gse162632	original8	CPA	raw_state	4	mean_of_squared_seed_displacements	5	5	0.13522931117465178
gse162632	original8	CPA	raw_state	4	mean_of_squared_seed_displacements	6	5	0.12975352535032095
gse162632	original8	CPA	raw_state	4	mean_of_squared_seed_displacements	7	5	0.13268993209915425
gse162632	original8	CPA	raw_state	4	17	0	5	0.13807397345599112
gse162632	original8	CPA	raw_state	4	17	1	5	0.1365657681937372
gse162632	original8	CPA	raw_state	4	17	2	5	0.12935751963705375
gse162632	original8	CPA	raw_state	4	17	3	5	0.1362711285001435
gse162632	original8	CPA	raw_state	4	17	4	5	0.1333832174419716
gse162632	original8	CPA	raw_state	4	17	5	5	0.13538414189077294
gse162632	original8	CPA	raw_state	4	17	6	5	0.12760928841788804
gse162632	original8	CPA	raw_state	4	17	7	5	0.1315468034925146
gse162632	original8	CPA	raw_state	4	29	0	5	0.1401007196488971
gse162632	original8	CPA	raw_state	4	29	1	5	0.13596358261738087
gse162632	original8	CPA	raw_state	4	29	2	5	0.13392513825335128
gse162632	original8	CPA	raw_state	4	29	3	5	0.1382059841276499
gse162632	original8	CPA	raw_state	4	29	4	5	0.13733345871195576
gse162632	original8	CPA	raw_state	4	29	5	5	0.13499174372510495
gse162632	original8	CPA	raw_state	4	29	6	5	0.1319958942401346
gse162632	original8	CPA	raw_state	4	29	7	5	0.1344093485458853
gse162632	original8	CPA	raw_state	4	43	0	5	0.13627595180399407
gse162632	original8	CPA	raw_state	4	43	1	5	0.14126492282229183
gse162632	original8	CPA	raw_state	4	43	2	5	0.1371973571708465
gse162632	original8	CPA	raw_state	4	43	3	5	0.1395162589252702
gse162632	original8	CPA	raw_state	4	43	4	5	0.1310579933857345
gse162632	original8	CPA	raw_state	4	43	5	5	0.13531172548181858
gse162632	original8	CPA	raw_state	4	43	6	5	0.12961822956566163
gse162632	original8	CPA	raw_state	4	43	7	5	0.13209625186131052
gse162632	original8	CPA	raw_state	6	mean_of_squared_seed_displacements	0	5	0.11238683824777156
gse162632	original8	CPA	raw_state	6	mean_of_squared_seed_displacements	1	5	0.11290559125662432
gse162632	original8	CPA	raw_state	6	mean_of_squared_seed_displacements	2	5	0.10871314725823071
gse162632	original8	CPA	raw_state	6	mean_of_squared_seed_displacements	3	5	0.1123015666759952
gse162632	original8	CPA	raw_state	6	mean_of_squared_seed_displacements	4	5	0.10944929164063173
gse162632	original8	CPA	raw_state	6	mean_of_squared_seed_displacements	5	5	0.10967070371185841
gse162632	original8	CPA	raw_state	6	mean_of_squared_seed_displacements	6	5	0.10602713147016993
gse162632	original8	CPA	raw_state	6	mean_of_squared_seed_displacements	7	5	0.1081081173122891
gse162632	original8	CPA	raw_state	6	17	0	5	0.11249363228147469
gse162632	original8	CPA	raw_state	6	17	1	5	0.11183032168184306
gse162632	original8	CPA	raw_state	6	17	2	5	0.10555646605321876
gse162632	original8	CPA	raw_state	6	17	3	5	0.1110094821066191
gse162632	original8	CPA	raw_state	6	17	4	5	0.1087725339841579
gse162632	original8	CPA	raw_state	6	17	5	5	0.1097707271146608
gse162632	original8	CPA	raw_state	6	17	6	5	0.104502415683358
gse162632	original8	CPA	raw_state	6	17	7	5	0.1071255295223459
gse162632	original8	CPA	raw_state	6	29	0	5	0.1139493140424689
gse162632	original8	CPA	raw_state	6	29	1	5	0.11121849067263317
