dataset	regime	family	mode	depth	seed_summary	root_index	root_tasks	rms
gse162632	original8	CellOT	raw_state	4	mean_of_squared_seed_displacements	0	5	0.15007314381597472
gse162632	original8	CellOT	raw_state	4	mean_of_squared_seed_displacements	1	5	0.14823081325547058
gse162632	original8	CellOT	raw_state	4	mean_of_squared_seed_displacements	2	5	0.14368957565121177
gse162632	original8	CellOT	raw_state	4	mean_of_squared_seed_displacements	3	5	0.15081651135666893
gse162632	original8	CellOT	raw_state	4	mean_of_squared_seed_displacements	4	5	0.1385078429414132
gse162632	original8	CellOT	raw_state	4	mean_of_squared_seed_displacements	5	5	0.13567525003234046
gse162632	original8	CellOT	raw_state	4	mean_of_squared_seed_displacements	6	5	0.1369996706218117
gse162632	original8	CellOT	raw_state	4	mean_of_squared_seed_displacements	7	5	0.14868309680293362
gse162632	original8	CellOT	raw_state	4	17	0	5	0.14461718465095405
gse162632	original8	CellOT	raw_state	4	17	1	5	0.1483477204239089
gse162632	original8	CellOT	raw_state	4	17	2	5	0.1411718965384608
gse162632	original8	CellOT	raw_state	4	17	3	5	0.1506824284445564
gse162632	original8	CellOT	raw_state	4	17	4	5	0.135833564831572
gse162632	original8	CellOT	raw_state	4	17	5	5	0.1357200036355016
gse162632	original8	CellOT	raw_state	4	17	6	5	0.14096118012618777
gse162632	original8	CellOT	raw_state	4	17	7	5	0.1452775134161634
gse162632	original8	CellOT	raw_state	4	29	0	5	0.15341161614735252
gse162632	original8	CellOT	raw_state	4	29	1	5	0.15096018378549686
gse162632	original8	CellOT	raw_state	4	29	2	5	0.1455861643896188
gse162632	original8	CellOT	raw_state	4	29	3	5	0.1526837174499432
gse162632	original8	CellOT	raw_state	4	29	4	5	0.141838862479595
gse162632	original8	CellOT	raw_state	4	29	5	5	0.13840841272809054
gse162632	original8	CellOT	raw_state	4	29	6	5	0.1371141625273751
gse162632	original8	CellOT	raw_state	4	29	7	5	0.1535642524488315
gse162632	original8	CellOT	raw_state	4	43	0	5	0.1520414135001375
gse162632	original8	CellOT	raw_state	4	43	1	5	0.1453309972153683
gse162632	original8	CellOT	raw_state	4	43	2	5	0.1442749001681474
gse162632	original8	CellOT	raw_state	4	43	3	5	0.14906155935420073
gse162632	original8	CellOT	raw_state	4	43	4	5	0.13778333507536855
gse162632	original8	CellOT	raw_state	4	43	5	5	0.13284017582525395
gse162632	original8	CellOT	raw_state	4	43	6	5	0.13280203832510862
gse162632	original8	CellOT	raw_state	4	43	7	5	0.14707975486170602
gse162632	original8	CellOT	raw_state	6	mean_of_squared_seed_displacements	0	5	0.12229677619230814
gse162632	original8	CellOT	raw_state	6	mean_of_squared_seed_displacements	1	5	0.12131613638193896
gse162632	original8	CellOT	raw_state	6	mean_of_squared_seed_displacements	2	5	0.11718956876358778
gse162632	original8	CellOT	raw_state	6	mean_of_squared_seed_displacements	3	5	0.12273517533608276
gse162632	original8	CellOT	raw_state	6	mean_of_squared_seed_displacements	4	5	0.1130936024349823
gse162632	original8	CellOT	raw_state	6	mean_of_squared_seed_displacements	5	5	0.11008642441159358
