dataset	regime	family	mode	depth	seed_summary	root_index	root_tasks	rms
gse162632	original8	scGen	raw_state	4	mean_of_squared_seed_displacements	0	5	0.12368237183888199
gse162632	original8	scGen	raw_state	4	mean_of_squared_seed_displacements	1	5	0.11948791786354265
gse162632	original8	scGen	raw_state	4	mean_of_squared_seed_displacements	2	5	0.1275000559756259
gse162632	original8	scGen	raw_state	4	mean_of_squared_seed_displacements	3	5	0.12825475837587677
gse162632	original8	scGen	raw_state	4	mean_of_squared_seed_displacements	4	5	0.1099079976750749
gse162632	original8	scGen	raw_state	4	mean_of_squared_seed_displacements	5	5	0.1050014088740373
gse162632	original8	scGen	raw_state	4	mean_of_squared_seed_displacements	6	5	0.11465048358662129
gse162632	original8	scGen	raw_state	4	mean_of_squared_seed_displacements	7	5	0.1204777229404743
gse162632	original8	scGen	raw_state	4	17	0	5	0.12943913034650514
gse162632	original8	scGen	raw_state	4	17	1	5	0.12339386742374146
gse162632	original8	scGen	raw_state	4	17	2	5	0.13582934357586487
gse162632	original8	scGen	raw_state	4	17	3	5	0.13578580803060947
gse162632	original8	scGen	raw_state	4	17	4	5	0.11022595581858086
gse162632	original8	scGen	raw_state	4	17	5	5	0.10313615263868804
gse162632	original8	scGen	raw_state	4	17	6	5	0.12175113167712849
gse162632	original8	scGen	raw_state	4	17	7	5	0.12435936366564124
gse162632	original8	scGen	raw_state	4	29	0	5	0.11195737641491335
gse162632	original8	scGen	raw_state	4	29	1	5	0.11086955889222398
gse162632	original8	scGen	raw_state	4	29	2	5	0.11225382445234297
gse162632	original8	scGen	raw_state	4	29	3	5	0.11192136541208575
gse162632	original8	scGen	raw_state	4	29	4	5	0.10609686142094465
gse162632	original8	scGen	raw_state	4	29	5	5	0.10344682503835866
gse162632	original8	scGen	raw_state	4	29	6	5	0.10192651018825478
gse162632	original8	scGen	raw_state	4	29	7	5	0.10681232026460849
gse162632	original8	scGen	raw_state	4	43	0	5	0.12885280250155287
gse162632	original8	scGen	raw_state	4	43	1	5	0.12374967450199618
gse162632	original8	scGen	raw_state	4	43	2	5	0.13310995883454899
gse162632	original8	scGen	raw_state	4	43	3	5	0.13558639843263262
gse162632	original8	scGen	raw_state	4	43	4	5	0.11328282535026205
gse162632	original8	scGen	raw_state	4	43	5	5	0.10834009417095172
gse162632	original8	scGen	raw_state	4	43	6	5	0.11925539239850133
gse162632	original8	scGen	raw_state	4	43	7	5	0.12911437597391132
gse162632	original8	scGen	raw_state	6	mean_of_squared_seed_displacements	0	5	0.10084254262081849
gse162632	original8	scGen	raw_state	6	mean_of_squared_seed_displacements	1	5	0.0975453535896696
gse162632	original8	scGen	raw_state	6	mean_of_squared_seed_displacements	2	5	0.10384414129725567
gse162632	original8	scGen	raw_state	6	mean_of_squared_seed_displacements	3	5	0.10410827402808542
gse162632	original8	scGen	raw_state	6	mean_of_squared_seed_displacements	4	5	0.08984888514253067
gse162632	original8	scGen	raw_state	6	mean_of_squared_seed_displacements	5	5	0.08488642228857099
gse162632	original8	scGen	raw_state	6	mean_of_squared_seed_displacements	6	5	0.09362121062662562
gse162632	original8	scGen	raw_state	6	mean_of_squared_seed_displacements	7	5	0.09826275025899786
gse162632	original8	scGen	raw_state	6	17	0	5	0.105912594305806
gse162632	original8	scGen	raw_state	6	17	1	5	0.10066760928705794
