dataset	regime	family	depth	root_index	rms
parse	common128	CellOT	16	0	0.31198862193901644
parse	common128	CellOT	16	1	0.3256315547900453
parse	common128	CellOT	16	2	0.3122583413808314
parse	common128	CellOT	16	3	0.3116896788845743
parse	common128	CellOT	16	4	0.32454924402689883
parse	common128	CellOT	16	5	0.32419585008456847
parse	common128	CellOT	16	6	0.3167601068853595
parse	common128	CellOT	16	7	0.32265359697834817
parse	common128	CellOT	24	0	0.2547597918109976
parse	common128	CellOT	24	1	0.2659269267352206
parse	common128	CellOT	24	2	0.2550338782969726
parse	common128	CellOT	24	3	0.2544171562874212
parse	common128	CellOT	24	4	0.26492417207079627
parse	common128	CellOT	24	5	0.26476653409123235
parse	common128	CellOT	24	6	0.25855055265393845
parse	common128	CellOT	24	7	0.26348017947699115
parse	common128	CellOT	32	0	0.22067571037475633
parse	common128	CellOT	32	1	0.23028294921805645
parse	common128	CellOT	32	2	0.22085862488749916
parse	common128	CellOT	32	3	0.2204026346822487
parse	common128	CellOT	32	4	0.22942830655989324
parse	common128	CellOT	32	5	0.22931692971908008
parse	common128	CellOT	32	6	0.22391737487076194
parse	common128	CellOT	32	7	0.22817353494355802
parse	common128	CellOT	40	0	0.19736915353205292
parse	common128	CellOT	40	1	0.20597562136316427
parse	common128	CellOT	40	2	0.1975543836008746
parse	common128	CellOT	40	3	0.19717617658953046
parse	common128	CellOT	40	4	0.2051564582807679
parse	common128	CellOT	40	5	0.205130810634371
parse	common128	CellOT	40	6	0.20029476601543433
parse	common128	CellOT	40	7	0.20407326906394574
parse	common128	CellOT	48	0	0.18015913714842088
parse	common128	CellOT	48	1	0.1880274111763369
parse	common128	CellOT	48	2	0.18035242758737655
parse	common128	CellOT	48	3	0.17999923333013756
parse	common128	CellOT	48	4	0.1872899039794497
parse	common128	CellOT	48	5	0.18726647727376414
parse	common128	CellOT	48	6	0.18288274708271757
parse	common128	CellOT	48	7	0.18629664812208066
