dataset	regime	family	mode	depth	seed_summary	root_index	root_tasks	rms
parse	common128	scGen	raw_state	16	mean_of_squared_seed_displacements	0	722	0.07927252088595568
parse	common128	scGen	raw_state	16	mean_of_squared_seed_displacements	1	722	0.07355824471169005
parse	common128	scGen	raw_state	16	mean_of_squared_seed_displacements	2	722	0.07419859161280194
parse	common128	scGen	raw_state	16	mean_of_squared_seed_displacements	3	722	0.07376992346173201
parse	common128	scGen	raw_state	16	mean_of_squared_seed_displacements	4	722	0.07867141626367276
parse	common128	scGen	raw_state	16	mean_of_squared_seed_displacements	5	722	0.0809699529259665
parse	common128	scGen	raw_state	16	mean_of_squared_seed_displacements	6	722	0.07963212619657371
parse	common128	scGen	raw_state	16	mean_of_squared_seed_displacements	7	722	0.07392526690146327
parse	common128	scGen	raw_state	16	17	0	722	0.0782755279684085
parse	common128	scGen	raw_state	16	17	1	722	0.07305131671168259
parse	common128	scGen	raw_state	16	17	2	722	0.07327163946155059
parse	common128	scGen	raw_state	16	17	3	722	0.07308976234585889
parse	common128	scGen	raw_state	16	17	4	722	0.07802583943730898
parse	common128	scGen	raw_state	16	17	5	722	0.08044353182528072
parse	common128	scGen	raw_state	16	17	6	722	0.0788610351133494
parse	common128	scGen	raw_state	16	17	7	722	0.0735755868080278
parse	common128	scGen	raw_state	16	29	0	722	0.07985626760752387
parse	common128	scGen	raw_state	16	29	1	722	0.07398417567284914
parse	common128	scGen	raw_state	16	29	2	722	0.07473519269898683
parse	common128	scGen	raw_state	16	29	3	722	0.07402642575048493
parse	common128	scGen	raw_state	16	29	4	722	0.07904656995838043
parse	common128	scGen	raw_state	16	29	5	722	0.08129685938221716
parse	common128	scGen	raw_state	16	29	6	722	0.08000326395233008
parse	common128	scGen	raw_state	16	29	7	722	0.07417746419499906
parse	common128	scGen	raw_state	16	43	0	722	0.07967631986923913
parse	common128	scGen	raw_state	16	43	1	722	0.07363622051608198
parse	common128	scGen	raw_state	16	43	2	722	0.07458023072391197
parse	common128	scGen	raw_state	16	43	3	722	0.07418881151146206
parse	common128	scGen	raw_state	16	43	4	722	0.07893784497130853
parse	common128	scGen	raw_state	16	43	5	722	0.081166856983394
parse	common128	scGen	raw_state	16	43	6	722	0.08002650476926991
parse	common128	scGen	raw_state	16	43	7	722	0.07402142994303579
parse	common128	scGen	raw_state	24	mean_of_squared_seed_displacements	0	722	0.06499820380122553
parse	common128	scGen	raw_state	24	mean_of_squared_seed_displacements	1	722	0.060172853792910846
parse	common128	scGen	raw_state	24	mean_of_squared_seed_displacements	2	722	0.06061171046339446
parse	common128	scGen	raw_state	24	mean_of_squared_seed_displacements	3	722	0.06014576729652781
parse	common128	scGen	raw_state	24	mean_of_squared_seed_displacements	4	722	0.06420451511264123
parse	common128	scGen	raw_state	24	mean_of_squared_seed_displacements	5	722	0.06621015176698697
parse	common128	scGen	raw_state	24	mean_of_squared_seed_displacements	6	722	0.06494787766321555
parse	common128	scGen	raw_state	24	mean_of_squared_seed_displacements	7	722	0.06053408995507224
parse	common128	scGen	raw_state	24	17	0	722	0.06416968717447126
parse	common128	scGen	raw_state	24	17	1	722	0.05974692085875346
parse	common128	scGen	raw_state	24	17	2	722	0.05985959666433402
parse	common128	scGen	raw_state	24	17	3	722	0.0595853950585281
parse	common128	scGen	raw_state	24	17	4	722	0.06368369947060817
parse	common128	scGen	raw_state	24	17	5	722	0.06578118431588256
parse	common128	scGen	raw_state	24	17	6	722	0.06431707946702493
parse	common128	scGen	raw_state	24	17	7	722	0.06023529750922752
parse	common128	scGen	raw_state	24	29	0	722	0.06547569252758191
parse	common128	scGen	raw_state	24	29	1	722	0.060532753925241684
parse	common128	scGen	raw_state	24	29	2	722	0.06104885618287117
parse	common128	scGen	raw_state	24	29	3	722	0.06035027228081992
parse	common128	scGen	raw_state	24	29	4	722	0.06450509189093136
parse	common128	scGen	raw_state	24	29	5	722	0.06646793239892484
parse	common128	scGen	raw_state	24	29	6	722	0.06525390663416321
parse	common128	scGen	raw_state	24	29	7	722	0.060769554234990766
parse	common128	scGen	raw_state	24	43	0	722	0.0653412919073458
parse	common128	scGen	raw_state	24	43	1	722	0.06023626939704251
parse	common128	scGen	raw_state	24	43	2	722	0.06091965349410176
parse	common128	scGen	raw_state	24	43	3	722	0.060497647081636685
parse	common128	scGen	raw_state	24	43	4	722	0.06442157111114152
parse	common128	scGen	raw_state	24	43	5	722	0.06637923126727367
parse	common128	scGen	raw_state	24	43	6	722	0.0652680733336011
parse	common128	scGen	raw_state	24	43	7	722	0.06059619090439348
parse	common128	scGen	raw_state	32	mean_of_squared_seed_displacements	0	722	0.05631015228810575
parse	common128	scGen	raw_state	32	mean_of_squared_seed_displacements	1	722	0.05198810321879663
parse	common128	scGen	raw_state	32	mean_of_squared_seed_displacements	2	722	0.05259204031051617
parse	common128	scGen	raw_state	32	mean_of_squared_seed_displacements	3	722	0.05221459386446984
parse	common128	scGen	raw_state	32	mean_of_squared_seed_displacements	4	722	0.05560171812666037
parse	common128	scGen	raw_state	32	mean_of_squared_seed_displacements	5	722	0.05732458804834181
parse	common128	scGen	raw_state	32	mean_of_squared_seed_displacements	6	722	0.05624651557843609
parse	common128	scGen	raw_state	32	mean_of_squared_seed_displacements	7	722	0.05238081057965381
parse	common128	scGen	raw_state	32	17	0	722	0.05560769666333792
parse	common128	scGen	raw_state	32	17	1	722	0.05162588678053363
parse	common128	scGen	raw_state	32	17	2	722	0.05192904186368483
parse	common128	scGen	raw_state	32	17	3	722	0.05171598224713952
parse	common128	scGen	raw_state	32	17	4	722	0.055164455753710886
parse	common128	scGen	raw_state	32	17	5	722	0.056966870836660743
parse	common128	scGen	raw_state	32	17	6	722	0.05571088895092656
parse	common128	scGen	raw_state	32	17	7	722	0.05212111001359112
parse	common128	scGen	raw_state	32	29	0	722	0.05672153212984032
parse	common128	scGen	raw_state	32	29	1	722	0.05229136042395309
parse	common128	scGen	raw_state	32	29	2	722	0.05297281190473743
parse	common128	scGen	raw_state	32	29	3	722	0.05239242857316961
parse	common128	scGen	raw_state	32	29	4	722	0.055849577331803624
parse	common128	scGen	raw_state	32	29	5	722	0.05754437388901296
parse	common128	scGen	raw_state	32	29	6	722	0.05650735338616146
parse	common128	scGen	raw_state	32	29	7	722	0.05257483738515759
parse	common128	scGen	raw_state	32	43	0	722	0.05659462533466111
