dataset	regime	family	mode	depth	seed_summary	root_index	root_tasks	rms
parse	common48	CPA	raw_state	16	mean_of_squared_seed_displacements	0	722	0.09250404023347432
parse	common48	CPA	raw_state	16	mean_of_squared_seed_displacements	1	722	0.0838149002638049
parse	common48	CPA	raw_state	16	mean_of_squared_seed_displacements	2	722	0.08903718298960495
parse	common48	CPA	raw_state	16	mean_of_squared_seed_displacements	3	722	0.08838383002822717
parse	common48	CPA	raw_state	16	mean_of_squared_seed_displacements	4	722	0.0891727707658038
parse	common48	CPA	raw_state	16	mean_of_squared_seed_displacements	5	722	0.09173936221854453
parse	common48	CPA	raw_state	16	mean_of_squared_seed_displacements	6	722	0.09038848410817002
parse	common48	CPA	raw_state	16	mean_of_squared_seed_displacements	7	722	0.08606717345687145
parse	common48	CPA	raw_state	16	17	0	722	0.09282342746781962
parse	common48	CPA	raw_state	16	17	1	722	0.08409429581379087
parse	common48	CPA	raw_state	16	17	2	722	0.08956420616062007
parse	common48	CPA	raw_state	16	17	3	722	0.08863037361248917
parse	common48	CPA	raw_state	16	17	4	722	0.08974052178857793
parse	common48	CPA	raw_state	16	17	5	722	0.09180189048966834
parse	common48	CPA	raw_state	16	17	6	722	0.09043029730105878
parse	common48	CPA	raw_state	16	17	7	722	0.08647198031829051
parse	common48	CPA	raw_state	16	29	0	722	0.09228516665808001
parse	common48	CPA	raw_state	16	29	1	722	0.08343290325864373
parse	common48	CPA	raw_state	16	29	2	722	0.08863152425671733
parse	common48	CPA	raw_state	16	29	3	722	0.08837573272949086
parse	common48	CPA	raw_state	16	29	4	722	0.08813941564392137
parse	common48	CPA	raw_state	16	29	5	722	0.09162489883492686
parse	common48	CPA	raw_state	16	29	6	722	0.09030860426046777
parse	common48	CPA	raw_state	16	29	7	722	0.08581553983292457
parse	common48	CPA	raw_state	16	43	0	722	0.09240266071150484
parse	common48	CPA	raw_state	16	43	1	722	0.08391610443836856
parse	common48	CPA	raw_state	16	43	2	722	0.08891324843307682
parse	common48	CPA	raw_state	16	43	3	722	0.08814471605951102
parse	common48	CPA	raw_state	16	43	4	722	0.08962941089404507
parse	common48	CPA	raw_state	16	43	5	722	0.0917911899738111
parse	common48	CPA	raw_state	16	43	6	722	0.09042649780173423
parse	common48	CPA	raw_state	16	43	7	722	0.08591254148017333
parse	common48	CPA	raw_state	24	mean_of_squared_seed_displacements	0	722	0.07569498609643542
parse	common48	CPA	raw_state	24	mean_of_squared_seed_displacements	1	722	0.0685081515567805
parse	common48	CPA	raw_state	24	mean_of_squared_seed_displacements	2	722	0.07258087696544872
parse	common48	CPA	raw_state	24	mean_of_squared_seed_displacements	3	722	0.07221418663598012
parse	common48	CPA	raw_state	24	mean_of_squared_seed_displacements	4	722	0.0727928875472235
parse	common48	CPA	raw_state	24	mean_of_squared_seed_displacements	5	722	0.0749386282239828
parse	common48	CPA	raw_state	24	mean_of_squared_seed_displacements	6	722	0.07376903644414978
parse	common48	CPA	raw_state	24	mean_of_squared_seed_displacements	7	722	0.07038652065596389
parse	common48	CPA	raw_state	24	17	0	722	0.0760095575285494
parse	common48	CPA	raw_state	24	17	1	722	0.06868941052295519
parse	common48	CPA	raw_state	24	17	2	722	0.07292072873372406
parse	common48	CPA	raw_state	24	17	3	722	0.07236956373159573
parse	common48	CPA	raw_state	24	17	4	722	0.07322481580508429
parse	common48	CPA	raw_state	24	17	5	722	0.07504579128602847
parse	common48	CPA	raw_state	24	17	6	722	0.07384570556922826
parse	common48	CPA	raw_state	24	17	7	722	0.07070218879438081
parse	common48	CPA	raw_state	24	29	0	722	0.0754693409019066
parse	common48	CPA	raw_state	24	29	1	722	0.06826343953948504
parse	common48	CPA	raw_state	24	29	2	722	0.07230078772676657
parse	common48	CPA	raw_state	24	29	3	722	0.07222243697654043
parse	common48	CPA	raw_state	24	29	4	722	0.07191467231801564
parse	common48	CPA	raw_state	24	29	5	722	0.0748454219820589
parse	common48	CPA	raw_state	24	29	6	722	0.07370563637393024
