dataset	regime	panel	seed	depth	unit	allocations	biological_roots	contrast	family	utility_before	utility_after	utility_gain	structural_input_unused	deterministic_seed_alias
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	NC	-0.4177725953783189	-0.4177725953783189	-3.5596525727044075e-18	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	CM	-0.3536851084830806	-0.3536851084830806	-1.4988010832439615e-18	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	TW	-0.35352970136606615	-0.35352970136606615	-1.4779844015322396e-18	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	PCA	-0.35333548439557116	-0.35333548439557116	-1.4779844015322396e-18	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	RBF	-0.3533622620262308	-0.3533622620262308	-1.3461454173580023e-18	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	scGen	-0.6004555611964757	-0.5790040750965797	0.021451486099896243	False	False
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	CPA	-0.8608175619259236	-0.8469895660430221	0.013827995882901145	False	False
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	CellOT	-0.6101064797299951	-0.5868249455252447	0.023281534204750078	False	False
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	NC	-0.4177725953783189	-0.4177725953783189	0.0	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	CM	-0.3536851084830806	-0.3536851084830806	0.0	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	TW	-0.35352970136606615	-0.35352970136606615	0.0	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	PCA	-0.35333548439557116	-0.35333548439557116	0.0	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	RBF	-0.3533622620262308	-0.3533622620262308	0.0	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	scGen	-0.6004555611964757	-0.6219070473009423	-0.02145148610446629	False	False
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	CPA	-0.8608175619259236	-0.8746455578000087	-0.013827995874085423	False	False
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	CellOT	-0.6101064797299951	-0.6333880139275352	-0.023281534197540345	False	False
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	NC	-0.41777259537831896	-0.4177725953783189	1.602190602412179e-17	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	CM	-0.3536851084830806	-0.3536851084830806	1.949829186997931e-18	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	TW	-0.35352970136606615	-0.35352970136606615	1.4918621893400539e-18	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	PCA	-0.35333548439557116	-0.35333548439557116	1.0894063429134349e-18	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	RBF	-0.35336226202623083	-0.3533622620262308	1.894318035766673e-18	True	True
gse162632	cap48	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	scGen	-0.13279138931114196	-0.13279138930845105	2.690925249987374e-12	False	False
