dataset	regime	panel	seed	depth	unit	allocations	biological_roots	contrast	family	utility_before	utility_after	utility_gain	structural_input_unused	deterministic_seed_alias
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_O	NC	-0.06439464414952933	-0.06439464414952933	-4.1546627249644523e-19	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_O	CM	-0.07035665244309736	-0.07035665244309736	-3.434752482434078e-19	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_O	TW	-0.06619477722848943	-0.06619477722848943	-3.027092465579528e-19	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_O	PCA	-0.06620592108660744	-0.06620592108660744	-5.048045315092509e-19	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_O	RBF	-0.06354609296567634	-0.06354609296567634	-4.588343593958655e-19	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_O	scGen	-0.12170696534108835	-0.11465134339128968	0.00705562194979869	False	False
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_O	CPA	-0.2761996562650529	-0.2711780292123436	0.005021627052709065	False	False
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_O	CellOT	-0.12947426310149943	-0.12172306319301504	0.007751199908484319	False	False
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_P	NC	-0.06439464414952933	-0.06439464414952933	0.0	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_P	CM	-0.07035665244309736	-0.07035665244309736	0.0	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_P	TW	-0.06619477722848943	-0.06619477722848943	0.0	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_P	PCA	-0.06620592108660744	-0.06620592108660744	0.0	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_P	RBF	-0.06354609296567634	-0.06354609296567634	0.0	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_P	scGen	-0.12170696534108835	-0.12876258729096693	-0.0070556219498786295	False	False
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_P	CPA	-0.2761996562650529	-0.2812212833183051	-0.005021627053252328	False	False
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	D_to_P	CellOT	-0.12947426310149943	-0.13722546301010916	-0.007751199908609685	False	False
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	S_to_M	NC	-0.06439464414952933	-0.06439464414952933	4.0505793164058443e-19	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	S_to_M	CM	-0.07035665244309736	-0.07035665244309736	-2.8449465006019638e-19	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	S_to_M	TW	-0.06619477722848943	-0.06619477722848943	-1.4137996329210976e-19	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	S_to_M	PCA	-0.06620592108660744	-0.06620592108660744	1.0842021724855043e-19	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	S_to_M	RBF	-0.06354609296567634	-0.06354609296567634	6.305719835175693e-19	True	True
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	S_to_M	scGen	-0.02009371442070472	-0.02009371442071331	-8.586883591329976e-15	False	False
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	S_to_M	CPA	-0.17458640534658298	-0.17458640534624975	3.332408377021423e-13	False	False
parse	common48	primary	17	16	equal_eight_root_mean	1000	8	S_to_M	CellOT	-0.027861012181297516	-0.027861012181265257	3.2252169684943156e-14	False	False
parse	common48	primary	17	16	root_00	1000	1	D_to_O	NC	-0.06554474295559412	-0.06554474295559412	-3.0531133177191803e-19	True	True
parse	common48	primary	17	16	root_00	1000	1	D_to_O	CM	-0.07362722732089486	-0.07362722732089486	-3.3306690738754697e-19	True	True
parse	common48	primary	17	16	root_00	1000	1	D_to_O	TW	-0.06915227671058378	-0.06915227671058378	-4.3021142204224816e-19	True	True
parse	common48	primary	17	16	root_00	1000	1	D_to_O	PCA	-0.06916344594274233	-0.06916344594274233	-3.4694469519536144e-19	True	True
parse	common48	primary	17	16	root_00	1000	1	D_to_O	RBF	-0.06501696397878456	-0.06501696397878456	-6.522560269672795e-19	True	True
parse	common48	primary	17	16	root_00	1000	1	D_to_O	scGen	-0.12120771244889414	-0.1137110019505474	0.007496710498346676	False	False
parse	common48	primary	17	16	root_00	1000	1	D_to_O	CPA	-0.24749653055118487	-0.2418428573143095	0.0056536732368750306	False	False
parse	common48	primary	17	16	root_00	1000	1	D_to_O	CellOT	-0.12921141600655925	-0.12106333692479307	0.00814807908176635	False	False
parse	common48	primary	17	16	root_00	1000	1	D_to_P	NC	-0.06554474295559412	-0.06554474295559412	0.0	True	True
parse	common48	primary	17	16	root_00	1000	1	D_to_P	CM	-0.07362722732089486	-0.07362722732089486	0.0	True	True
parse	common48	primary	17	16	root_00	1000	1	D_to_P	TW	-0.06915227671058378	-0.06915227671058378	0.0	True	True
parse	common48	primary	17	16	root_00	1000	1	D_to_P	PCA	-0.06916344594274233	-0.06916344594274233	0.0	True	True
parse	common48	primary	17	16	root_00	1000	1	D_to_P	RBF	-0.06501696397878456	-0.06501696397878456	0.0	True	True
parse	common48	primary	17	16	root_00	1000	1	D_to_P	scGen	-0.12120771244889414	-0.12870442294719409	-0.0074967104983001895	False	False
parse	common48	primary	17	16	root_00	1000	1	D_to_P	CPA	-0.24749653055118487	-0.2531502037882267	-0.005653673237042258	False	False
parse	common48	primary	17	16	root_00	1000	1	D_to_P	CellOT	-0.12921141600655925	-0.13735949508849266	-0.008148079081933417	False	False
parse	common48	primary	17	16	root_00	1000	1	S_to_M	NC	-0.06554474295559412	-0.06554474295559412	1.249000902703301e-19	True	True
parse	common48	primary	17	16	root_00	1000	1	S_to_M	CM	-0.07362722732089486	-0.07362722732089486	-5.967448757360216e-19	True	True
parse	common48	primary	17	16	root_00	1000	1	S_to_M	TW	-0.06915227671058378	-0.06915227671058378	-2.6367796834847467e-19	True	True
parse	common48	primary	17	16	root_00	1000	1	S_to_M	PCA	-0.06916344594274233	-0.06916344594274233	-1.3877787807814457e-19	True	True
parse	common48	primary	17	16	root_00	1000	1	S_to_M	RBF	-0.06501696397878456	-0.06501696397878456	3.0531133177191803e-19	True	True
parse	common48	primary	17	16	root_00	1000	1	S_to_M	scGen	-0.023870812226496986	-0.02387081222659559	-9.862224578660594e-14	False	False
parse	common48	primary	17	16	root_00	1000	1	S_to_M	CPA	-0.15015963032886864	-0.15015963032856058	3.081621346989749e-13	False	False
parse	common48	primary	17	16	root_00	1000	1	S_to_M	CellOT	-0.031874515784450136	-0.03187451578446481	-1.470279106796646e-14	False	False
parse	common48	primary	17	16	root_01	1000	1	D_to_O	NC	-0.06595749476667671	-0.06595749476667671	-4.3021142204224816e-19	True	True
parse	common48	primary	17	16	root_01	1000	1	D_to_O	CM	-0.07099357332748213	-0.07099357332748213	-3.3306690738754697e-19	True	True
parse	common48	primary	17	16	root_01	1000	1	D_to_O	TW	-0.06675567294163928	-0.06675567294163928	-4.579669976578771e-19	True	True
parse	common48	primary	17	16	root_01	1000	1	D_to_O	PCA	-0.06676507986233385	-0.06676507986233385	-4.996003610813204e-19	True	True
parse	common48	primary	17	16	root_01	1000	1	D_to_O	RBF	-0.06461674998691117	-0.06461674998691117	-4.440892098500626e-19	True	True
parse	common48	primary	17	16	root_01	1000	1	D_to_O	scGen	-0.12178996389308146	-0.11529473131333537	0.006495232579746075	False	False
parse	common48	primary	17	16	root_01	1000	1	D_to_O	CPA	-0.3013691472463748	-0.29713956254655877	0.004229584699816152	False	False
parse	common48	primary	17	16	root_01	1000	1	D_to_O	CellOT	-0.1269621016837968	-0.11970460514991176	0.007257496533884956	False	False
parse	common48	primary	17	16	root_01	1000	1	D_to_P	NC	-0.06595749476667671	-0.06595749476667671	0.0	True	True
parse	common48	primary	17	16	root_01	1000	1	D_to_P	CM	-0.07099357332748213	-0.07099357332748213	0.0	True	True
parse	common48	primary	17	16	root_01	1000	1	D_to_P	TW	-0.06675567294163928	-0.06675567294163928	0.0	True	True
parse	common48	primary	17	16	root_01	1000	1	D_to_P	PCA	-0.06676507986233385	-0.06676507986233385	0.0	True	True
parse	common48	primary	17	16	root_01	1000	1	D_to_P	RBF	-0.06461674998691117	-0.06461674998691117	0.0	True	True
parse	common48	primary	17	16	root_01	1000	1	D_to_P	scGen	-0.12178996389308146	-0.1282851964727989	-0.006495232579717695	False	False
parse	common48	primary	17	16	root_01	1000	1	D_to_P	CPA	-0.3013691472463748	-0.30559873194660797	-0.004229584700233425	False	False
parse	common48	primary	17	16	root_01	1000	1	D_to_P	CellOT	-0.1269621016837968	-0.13421959821775692	-0.007257496533960118	False	False
parse	common48	primary	17	16	root_01	1000	1	S_to_M	NC	-0.06595749476667671	-0.06595749476667671	-2.7755575615628914e-19	True	True
parse	common48	primary	17	16	root_01	1000	1	S_to_M	CM	-0.07099357332748213	-0.07099357332748213	-9.71445146547012e-20	True	True
parse	common48	primary	17	16	root_01	1000	1	S_to_M	TW	-0.06675567294163928	-0.06675567294163928	-2.914335439641036e-19	True	True
parse	common48	primary	17	16	root_01	1000	1	S_to_M	PCA	-0.06676507986233385	-0.06676507986233385	-3.191891195797325e-19	True	True
parse	common48	primary	17	16	root_01	1000	1	S_to_M	RBF	-0.06461674998691117	-0.06461674998691117	-9.71445146547012e-20	True	True
parse	common48	primary	17	16	root_01	1000	1	S_to_M	scGen	-0.015754054420833153	-0.0157540544207945	3.863505348977725e-14	False	False
parse	common48	primary	17	16	root_01	1000	1	S_to_M	CPA	-0.19533323777324277	-0.19533323777297695	2.6544638709324886e-13	False	False
parse	common48	primary	17	16	root_01	1000	1	S_to_M	CellOT	-0.020926192211732437	-0.02092619221167553	5.690439786043555e-14	False	False
parse	common48	primary	17	16	root_02	1000	1	D_to_O	NC	-0.06052018475767279	-0.06052018475767279	-4.163336342344337e-19	True	True
parse	common48	primary	17	16	root_02	1000	1	D_to_O	CM	-0.06786084568497404	-0.06786084568497404	-3.6082248300317586e-19	True	True
parse	common48	primary	17	16	root_02	1000	1	D_to_O	TW	-0.06411294022530693	-0.06411294022530693	-1.5265566588595902e-19	True	True
parse	common48	primary	17	16	root_02	1000	1	D_to_O	PCA	-0.06412386811084869	-0.06412386811084869	-5.967448757360216e-19	True	True
parse	common48	primary	17	16	root_02	1000	1	D_to_O	RBF	-0.06053108598876153	-0.06053108598876153	-4.579669976578771e-19	True	True
parse	common48	primary	17	16	root_02	1000	1	D_to_O	scGen	-0.12112401575723712	-0.11447930034801701	0.006644715409220283	False	False
parse	common48	primary	17	16	root_02	1000	1	D_to_O	CPA	-0.2850983396616913	-0.28006789107971203	0.0050304485819790195	False	False
parse	common48	primary	17	16	root_02	1000	1	D_to_O	CellOT	-0.13571473320805352	-0.1285775588859669	0.007137174322086642	False	False
parse	common48	primary	17	16	root_02	1000	1	D_to_P	NC	-0.06052018475767279	-0.06052018475767279	0.0	True	True
parse	common48	primary	17	16	root_02	1000	1	D_to_P	CM	-0.06786084568497404	-0.06786084568497404	0.0	True	True
parse	common48	primary	17	16	root_02	1000	1	D_to_P	TW	-0.06411294022530693	-0.06411294022530693	0.0	True	True
parse	common48	primary	17	16	root_02	1000	1	D_to_P	PCA	-0.06412386811084869	-0.06412386811084869	0.0	True	True
parse	common48	primary	17	16	root_02	1000	1	D_to_P	RBF	-0.06053108598876153	-0.06053108598876153	0.0	True	True
parse	common48	primary	17	16	root_02	1000	1	D_to_P	scGen	-0.12112401575723712	-0.1277687311664132	-0.006644715409175853	False	False
parse	common48	primary	17	16	root_02	1000	1	D_to_P	CPA	-0.2850983396616913	-0.29012878824430377	-0.0050304485826126065	False	False
parse	common48	primary	17	16	root_02	1000	1	D_to_P	CellOT	-0.13571473320805352	-0.1428519075299747	-0.0071371743219208195	False	False
parse	common48	primary	17	16	root_02	1000	1	S_to_M	NC	-0.06052018475767279	-0.06052018475767279	1.5959455978986626e-18	True	True
parse	common48	primary	17	16	root_02	1000	1	S_to_M	CM	-0.06786084568497404	-0.06786084568497404	-9.71445146547012e-20	True	True
parse	common48	primary	17	16	root_02	1000	1	S_to_M	TW	-0.06411294022530692	-0.06411294022530693	-3.7470027081099033e-19	True	True
parse	common48	primary	17	16	root_02	1000	1	S_to_M	PCA	-0.06412386811084869	-0.06412386811084869	-1.179611963664229e-19	True	True
parse	common48	primary	17	16	root_02	1000	1	S_to_M	RBF	-0.06053108598876153	-0.06053108598876153	1.97758476261356e-18	True	True
parse	common48	primary	17	16	root_02	1000	1	S_to_M	scGen	-0.02361874399693875	-0.023618743996919746	1.9042087351373026e-14	False	False
parse	common48	primary	17	16	root_02	1000	1	S_to_M	CPA	-0.18759306790006086	-0.18759306789981575	2.4504534512637123e-13	False	False
parse	common48	primary	17	16	root_02	1000	1	S_to_M	CellOT	-0.03820946144784248	-0.038209461447915434	-7.295580806143676e-14	False	False
parse	common48	primary	17	16	root_03	1000	1	D_to_O	NC	-0.06626919768538053	-0.06626919768538055	-7.0776717819853725e-19	True	True
parse	common48	primary	17	16	root_03	1000	1	D_to_O	CM	-0.07416424887411645	-0.07416424887411645	-3.7470027081099033e-19	True	True
parse	common48	primary	17	16	root_03	1000	1	D_to_O	TW	-0.07009094453850419	-0.07009094453850419	-2.914335439641036e-19	True	True
parse	common48	primary	17	16	root_03	1000	1	D_to_O	PCA	-0.07010221030132915	-0.07010221030132915	-4.3021142204224816e-19	True	True
parse	common48	primary	17	16	root_03	1000	1	D_to_O	RBF	-0.0662245076650791	-0.0662245076650791	-6.938893903907229e-19	True	True
parse	common48	primary	17	16	root_03	1000	1	D_to_O	scGen	-0.12579876779201196	-0.11920388036955568	0.006594887422456123	False	False
parse	common48	primary	17	16	root_03	1000	1	D_to_O	CPA	-0.28486258239023216	-0.2799042549470452	0.004958327443186406	False	False
parse	common48	primary	17	16	root_03	1000	1	D_to_O	CellOT	-0.1369786221223224	-0.1298525779914136	0.007126044130908791	False	False
parse	common48	primary	17	16	root_03	1000	1	D_to_P	NC	-0.06626919768538053	-0.06626919768538053	0.0	True	True
parse	common48	primary	17	16	root_03	1000	1	D_to_P	CM	-0.07416424887411645	-0.07416424887411645	0.0	True	True
parse	common48	primary	17	16	root_03	1000	1	D_to_P	TW	-0.07009094453850419	-0.07009094453850419	0.0	True	True
parse	common48	primary	17	16	root_03	1000	1	D_to_P	PCA	-0.07010221030132915	-0.07010221030132915	0.0	True	True
parse	common48	primary	17	16	root_03	1000	1	D_to_P	RBF	-0.0662245076650791	-0.0662245076650791	0.0	True	True
parse	common48	primary	17	16	root_03	1000	1	D_to_P	scGen	-0.12579876779201196	-0.13239365521466578	-0.006594887422654027	False	False
parse	common48	primary	17	16	root_03	1000	1	D_to_P	CPA	-0.28486258239023216	-0.28982090983392145	-0.004958327443689285	False	False
parse	common48	primary	17	16	root_03	1000	1	D_to_P	CellOT	-0.1369786221223224	-0.1441046662535364	-0.0071260441312138685	False	False
parse	common48	primary	17	16	root_03	1000	1	S_to_M	NC	-0.06626919768538053	-0.06626919768538053	-2.498001805406602e-19	True	True
parse	common48	primary	17	16	root_03	1000	1	S_to_M	CM	-0.07416424887411645	-0.07416424887411645	-8.326672684688674e-20	True	True
parse	common48	primary	17	16	root_03	1000	1	S_to_M	TW	-0.07009094453850419	-0.07009094453850419	-3.6082248300317586e-19	True	True
parse	common48	primary	17	16	root_03	1000	1	S_to_M	PCA	-0.07010221030132915	-0.07010221030132915	2.7755575615628914e-19	True	True
parse	common48	primary	17	16	root_03	1000	1	S_to_M	RBF	-0.0662245076650791	-0.0662245076650791	1.5265566588595902e-19	True	True
parse	common48	primary	17	16	root_03	1000	1	S_to_M	scGen	-0.028648311862198707	-0.02864831186230426	-1.055558661311462e-13	False	False
parse	common48	primary	17	16	root_03	1000	1	S_to_M	CPA	-0.18771212646377633	-0.18771212646340343	3.7276290387744383e-13	False	False
parse	common48	primary	17	16	root_03	1000	1	S_to_M	CellOT	-0.039828166192837224	-0.03982816619279759	3.9610960345104475e-14	False	False
parse	common48	primary	17	16	root_04	1000	1	D_to_O	NC	-0.06160757643268952	-0.06160757643268952	-3.2612801348363973e-19	True	True
parse	common48	primary	17	16	root_04	1000	1	D_to_O	CM	-0.06647470269378136	-0.06647470269378136	-2.7755575615628914e-19	True	True
parse	common48	primary	17	16	root_04	1000	1	D_to_O	TW	-0.062233802350354535	-0.062233802350354535	-2.220446049250313e-19	True	True
parse	common48	primary	17	16	root_04	1000	1	D_to_O	PCA	-0.062245860301158966	-0.062245860301158966	-4.0939474033052645e-19	True	True
parse	common48	primary	17	16	root_04	1000	1	D_to_O	RBF	-0.060618509021825064	-0.060618509021825064	-3.677613769070831e-19	True	True
parse	common48	primary	17	16	root_04	1000	1	D_to_O	scGen	-0.12292793209062587	-0.11556557795829366	0.007362354132332206	False	False
parse	common48	primary	17	16	root_04	1000	1	D_to_O	CPA	-0.28176252239128025	-0.2768936000792278	0.004868922312051876	False	False
parse	common48	primary	17	16	root_04	1000	1	D_to_O	CellOT	-0.12973197405029097	-0.12142461772620873	0.008307356324082091	False	False
parse	common48	primary	17	16	root_04	1000	1	D_to_P	NC	-0.06160757643268952	-0.06160757643268952	0.0	True	True
parse	common48	primary	17	16	root_04	1000	1	D_to_P	CM	-0.06647470269378136	-0.06647470269378136	0.0	True	True
parse	common48	primary	17	16	root_04	1000	1	D_to_P	TW	-0.062233802350354535	-0.062233802350354535	0.0	True	True
parse	common48	primary	17	16	root_04	1000	1	D_to_P	PCA	-0.062245860301158966	-0.062245860301158966	0.0	True	True
parse	common48	primary	17	16	root_04	1000	1	D_to_P	RBF	-0.060618509021825064	-0.060618509021825064	0.0	True	True
parse	common48	primary	17	16	root_04	1000	1	D_to_P	scGen	-0.12292793209062587	-0.130290286222997	-0.007362354132370964	False	False
parse	common48	primary	17	16	root_04	1000	1	D_to_P	CPA	-0.28176252239128025	-0.28663144470355645	-0.004868922312276731	False	False
parse	common48	primary	17	16	root_04	1000	1	D_to_P	CellOT	-0.12973197405029097	-0.13803933037424426	-0.008307356323953604	False	False
parse	common48	primary	17	16	root_04	1000	1	S_to_M	NC	-0.06160757643268952	-0.06160757643268952	1.0130785099704553e-18	True	True
parse	common48	primary	17	16	root_04	1000	1	S_to_M	CM	-0.06647470269378136	-0.06647470269378136	-4.440892098500626e-19	True	True
parse	common48	primary	17	16	root_04	1000	1	S_to_M	TW	-0.062233802350354535	-0.062233802350354535	4.371503159461554e-19	True	True
parse	common48	primary	17	16	root_04	1000	1	S_to_M	PCA	-0.062245860301158966	-0.062245860301158966	1.033895191682177e-18	True	True
parse	common48	primary	17	16	root_04	1000	1	S_to_M	RBF	-0.060618509021825064	-0.060618509021825064	1.3739009929736313e-18	True	True
parse	common48	primary	17	16	root_04	1000	1	S_to_M	scGen	-0.01759572029242704	-0.017595720292350934	7.611066638046892e-14	False	False
parse	common48	primary	17	16	root_04	1000	1	S_to_M	CPA	-0.17643031059397682	-0.1764303105937976	1.7940410268479923e-13	False	False
parse	common48	primary	17	16	root_04	1000	1	S_to_M	CellOT	-0.024399762251839215	-0.024399762251927797	-8.855971858623412e-14	False	False
parse	common48	primary	17	16	root_05	1000	1	D_to_O	NC	-0.06742092854103936	-0.06742092854103936	-2.6367796834847467e-19	True	True
parse	common48	primary	17	16	root_05	1000	1	D_to_O	CM	-0.07199866217824988	-0.07199866217824988	-4.996003610813204e-19	True	True
parse	common48	primary	17	16	root_05	1000	1	D_to_O	TW	-0.06776395672525867	-0.06776395672525867	-1.3877787807814457e-19	True	True
parse	common48	primary	17	16	root_05	1000	1	D_to_O	PCA	-0.06777671350960374	-0.06777671350960374	-6.661338147750939e-19	True	True
parse	common48	primary	17	16	root_05	1000	1	D_to_O	RBF	-0.06588486187848451	-0.06588486187848451	-3.885780586188048e-19	True	True
parse	common48	primary	17	16	root_05	1000	1	D_to_O	scGen	-0.12271786960868085	-0.11497014279398005	0.007747726814700951	False	False
parse	common48	primary	17	16	root_05	1000	1	D_to_O	CPA	-0.27270287075496075	-0.26718789861043585	0.005514972144525061	False	False
parse	common48	primary	17	16	root_05	1000	1	D_to_O	CellOT	-0.1267422659856475	-0.11817707134616338	0.00856519463948402	False	False
parse	common48	primary	17	16	root_05	1000	1	D_to_P	NC	-0.06742092854103936	-0.06742092854103936	0.0	True	True
parse	common48	primary	17	16	root_05	1000	1	D_to_P	CM	-0.07199866217824988	-0.07199866217824988	0.0	True	True
parse	common48	primary	17	16	root_05	1000	1	D_to_P	TW	-0.06776395672525867	-0.06776395672525867	0.0	True	True
parse	common48	primary	17	16	root_05	1000	1	D_to_P	PCA	-0.06777671350960374	-0.06777671350960374	0.0	True	True
parse	common48	primary	17	16	root_05	1000	1	D_to_P	RBF	-0.06588486187848451	-0.06588486187848451	0.0	True	True
parse	common48	primary	17	16	root_05	1000	1	D_to_P	scGen	-0.12271786960868085	-0.1304655964234934	-0.007747726814812575	False	False
parse	common48	primary	17	16	root_05	1000	1	D_to_P	CPA	-0.27270287075496075	-0.2782178429003535	-0.005514972145392179	False	False
parse	common48	primary	17	16	root_05	1000	1	D_to_P	CellOT	-0.1267422659856475	-0.13530746062532467	-0.008565194639677113	False	False
parse	common48	primary	17	16	root_05	1000	1	S_to_M	NC	-0.06742092854103936	-0.06742092854103936	-5.134781488891349e-19	True	True
parse	common48	primary	17	16	root_05	1000	1	S_to_M	CM	-0.07199866217824988	-0.07199866217824988	-3.3306690738754697e-19	True	True
parse	common48	primary	17	16	root_05	1000	1	S_to_M	TW	-0.06776395672525867	-0.06776395672525867	-3.0531133177191803e-19	True	True
parse	common48	primary	17	16	root_05	1000	1	S_to_M	PCA	-0.06777671350960375	-0.06777671350960374	-1.942890293094024e-19	True	True
parse	common48	primary	17	16	root_05	1000	1	S_to_M	RBF	-0.06588486187848451	-0.06588486187848451	-1.3877787807814457e-19	True	True
parse	common48	primary	17	16	root_05	1000	1	S_to_M	scGen	-0.017614920386345597	-0.017614920386392317	-4.6733790448616474e-14	False	False
parse	common48	primary	17	16	root_05	1000	1	S_to_M	CPA	-0.16759992153508085	-0.16759992153470438	3.763891420760501e-13	False	False
parse	common48	primary	17	16	root_05	1000	1	S_to_M	CellOT	-0.0216393167636453	-0.021639316763621953	2.331294879365231e-14	False	False
parse	common48	primary	17	16	root_06	1000	1	D_to_O	NC	-0.06076525081117937	-0.06076525081117937	-3.885780586188048e-19	True	True
parse	common48	primary	17	16	root_06	1000	1	D_to_O	CM	-0.06670654896218033	-0.06670654896218033	-3.7470027081099033e-19	True	True
parse	common48	primary	17	16	root_06	1000	1	D_to_O	TW	-0.06250193768209286	-0.06250193768209286	-3.8163916471489756e-19	True	True
parse	common48	primary	17	16	root_06	1000	1	D_to_O	PCA	-0.06251299156625233	-0.06251299156625233	-6.036837696399288e-19	True	True
parse	common48	primary	17	16	root_06	1000	1	D_to_O	RBF	-0.06001677912081763	-0.06001677912081763	-4.3021142204224816e-19	True	True
parse	common48	primary	17	16	root_06	1000	1	D_to_O	scGen	-0.1160252624636764	-0.1084386273448335	0.007586635118842966	False	False
