task	model	S_loss	O_mean	crossfit_mean	allocation_MC_standard_error	O_fixed_input_mean
Astro	NO_CHANGE_DIRECT_V1	0.12461662327146819	0.16682593065927248	0.16682593065927248	0.00016037456064581376	0.16682593065927248
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0.08651115754550821	0.12872046493331252	0.12872046493331252	0.00016037456064581064	0.12872046493331252
Astro	SCGEN_2_1_1_ABSOLUTE_V1	0.09542210827579904	0.26065088416811866	0.26065088416811866	0.0005595239202273661	0.26425933782701627
DA	NO_CHANGE_DIRECT_V1	0.12589057407391277	0.16925597032687084	0.16925597032687084	0.0002039495522023878	0.16925597032687084
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0.092753380017785	0.13611877627074304	0.13611877627074304	0.0002039495522023901	0.13611877627074304
DA	SCGEN_2_1_1_ABSOLUTE_V1	0.10892524637164613	0.27759688495757273	0.27759688495757273	0.0005104830911697945	0.2823868313834782
Epen1	NO_CHANGE_DIRECT_V1	0.09857080064221721	0.12821047301612598	0.12821047301612598	0.00018967534161913905	0.12821047301612598
Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0.06064542122773862	0.0902850936016474	0.09028509360164741	0.0001896753416191361	0.0902850936016474
Epen1	SCGEN_2_1_1_ABSOLUTE_V1	0.0686150785762423	0.18125907208982003	0.18125907208982003	0.000511253434148679	0.1871737680718774
FPP	NO_CHANGE_DIRECT_V1	0.11605858092489366	0.15702738189796586	0.15702738189796583	0.00012081825057128504	0.15702738189796586
FPP	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0.081039727424263	0.12200852839733517	0.12200852839733517	0.00012081825057128397	0.12200852839733517
FPP	SCGEN_2_1_1_ABSOLUTE_V1	0.07094145554142914	0.23164828082312222	0.23164828082312222	0.0004070271385261534	0.2348166594337178
P_FPP	NO_CHANGE_DIRECT_V1	0.1288902522042524	0.16378110783691807	0.16378110783691807	0.0002616975251187382	0.16378110783691807
P_FPP	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0.0978890823855107	0.1327799380181764	0.1327799380181764	0.00026169752511874024	0.1327799380181764
P_FPP	SCGEN_2_1_1_ABSOLUTE_V1	0.14556274428061966	0.28145378019248934	0.28145378019248934	0.0009230664553211905	0.28512616681128233
Sert	NO_CHANGE_DIRECT_V1	0.10495577577145246	0.1349592936446405	0.1349592936446405	0.00028895464542995434	0.1349592936446405
Sert	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0.06673087643084988	0.09673439430403794	0.09673439430403794	0.0002889546454299564	0.09673439430403794
Sert	SCGEN_2_1_1_ABSOLUTE_V1	0.08111679130667115	0.1971706753582393	0.1971706753582393	0.0007624307207860769	0.20113086279942335
U_Neur1	NO_CHANGE_DIRECT_V1	0.14578472112652335	0.18848182149516163	0.18848182149516163	0.00016325682994475254	0.18848182149516163
U_Neur1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0.11007989722495688	0.15277699759359514	0.15277699759359514	0.00016325682994475807	0.15277699759359514
U_Neur1	SCGEN_2_1_1_ABSOLUTE_V1	0.11157867760301528	0.2793942812917985	0.2793942812917985	0.000595816348658818	0.2823670790775683
U_Neur3	NO_CHANGE_DIRECT_V1	0.13491402925555476	0.17587597874717398	0.175875978747174	0.0003516707276760398	0.17587597874717398
U_Neur3	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0.0980005507704262	0.13896250026204554	0.13896250026204554	0.00035167072767604615	0.13896250026204554
U_Neur3	SCGEN_2_1_1_ABSOLUTE_V1	0.08656893581199379	0.24330197720902824	0.24330197720902827	0.0008537866450886565	0.25041673377847107
