root_task_index	root_index	task	model_a	model_b	allocation	S_margin	O_margin	O_fixed_input_margin	S_direction	O_direction	O_fixed_input_direction	strict_S_O_reversal	actual_vs_fixed_input_direction_changed
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0	-0.05712749057705878	-0.057925823069634896	-0.057925823069634896	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	1	-0.05712749057705878	-0.0563291580844827	-0.0563291580844827	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	2	-0.05712749057705878	-0.05812679355592194	-0.05812679355592194	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	3	-0.05712749057705878	-0.05612818759819564	-0.05612818759819564	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	4	-0.05712749057705878	-0.054748779863571434	-0.054748779863571434	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	5	-0.05712749057705878	-0.059506201290546124	-0.059506201290546124	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	6	-0.05712749057705878	-0.061330492181992685	-0.061330492181992685	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	7	-0.05712749057705878	-0.052924488972124914	-0.052924488972124914	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	8	-0.05712749057705878	-0.0558788619397631	-0.0558788619397631	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	9	-0.05712749057705878	-0.058376119214354455	-0.058376119214354455	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	10	-0.05712749057705878	-0.05708667469024814	-0.05708667469024814	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	11	-0.05712749057705878	-0.05716830646386943	-0.05716830646386943	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	12	-0.05712749057705878	-0.05799069790603746	-0.05799069790603746	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	13	-0.05712749057705878	-0.05626428324808007	-0.05626428324808007	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	14	-0.05712749057705878	-0.05533394988497785	-0.05533394988497785	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	15	-0.05712749057705878	-0.05892103126913975	-0.05892103126913975	-1	-1	-1	False	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	-0.05298779291983302	0.026105014187386866	0.02571588493827623	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	-0.05298779291983302	0.058156038726194265	0.06994663992632838	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	-0.05298779291983302	0.038498445233641376	0.041718155768627946	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	-0.05298779291983302	0.03747184081532837	0.03565882482513666	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	-0.05298779291983302	0.020661682730033243	0.021836425217488076	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	-0.05298779291983302	0.055287600894346395	0.060288677385929745	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	-0.05298779291983302	0.05184774220893426	0.05142144353761591	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	-0.05298779291983302	0.04032748998404165	0.04422798217693688	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	-0.05298779291983302	0.04179468950435178	0.05033512453269304	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	-0.05298779291983302	0.052466471682586446	0.051355540476983846	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	-0.05298779291983302	0.020266291087364496	0.01858563672078095	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	-0.05298779291983302	0.04474809975535887	0.04906478892887556	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	-0.05298779291983302	0.03697512104475495	0.038710720939250626	-1	1	1	True	False
