task	model_a	model_b	allocation	S_margin	O_margin	O_fixed_input_margin	S_direction	O_direction	O_fixed_input_direction	strict_S_O_reversal	actual_vs_fixed_input_direction_changed
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0	-0.03810546572595998	-0.03760246685338278	-0.03760246685338278	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	1	-0.03810546572595998	-0.03860846459853717	-0.03860846459853717	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	2	-0.03810546572595998	-0.040225356909419946	-0.040225356909419946	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	3	-0.03810546572595998	-0.03598557454250012	-0.03598557454250012	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	4	-0.03810546572595998	-0.03827846818388794	-0.03827846818388794	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	5	-0.03810546572595998	-0.03793246326803204	-0.03793246326803204	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	6	-0.03810546572595998	-0.03834576991238575	-0.03834576991238575	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	7	-0.03810546572595998	-0.03786516153953423	-0.03786516153953423	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	8	-0.03810546572595998	-0.036543604194458845	-0.036543604194458845	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	9	-0.03810546572595998	-0.039667327257461096	-0.039667327257461096	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	10	-0.03810546572595998	-0.0392220119135917	-0.0392220119135917	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	11	-0.03810546572595998	-0.03698891953832828	-0.03698891953832828	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	12	-0.03810546572595998	-0.039290308374277244	-0.039290308374277244	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	13	-0.03810546572595998	-0.03692062307764274	-0.03692062307764274	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	14	-0.03810546572595998	-0.03917821013733927	-0.03917821013733927	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	15	-0.03810546572595998	-0.03703272131458071	-0.03703272131458071	-1	-1	-1	False	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	-0.02919451499566915	0.09089421507336723	0.09413457651826465	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	-0.02919451499566915	0.10015017173960117	0.10524313328219531	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	-0.02919451499566915	0.08814281543645464	0.08801923044570326	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	-0.02919451499566915	0.09912950626720068	0.10528840606695422	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	-0.02919451499566915	0.0961171058509214	0.09909848671265784	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	-0.02919451499566915	0.09212430960540682	0.09457017195514014	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	-0.02919451499566915	0.09071445479767906	0.09275855428677246	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	-0.02919451499566915	0.0990018508639848	0.10447288229923793	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	-0.02919451499566915	0.093214460439703	0.09769509680788457	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	-0.02919451499566915	0.0924948409038305	0.0963165921980558	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	-0.02919451499566915	0.0941831186198932	0.09700735994392451	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	-0.02919451499566915	0.09449432036945804	0.09978679200091106	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	-0.02919451499566915	0.0925192458028831	0.09649942441867873	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	-0.02919451499566915	0.09118790289175824	0.09433530038442131	-1	1	1	True	False
