matching_id	graph_id	cardinality	model	utility_sum_numerator	utility_sum_denominator
M001	G12	12	NC	108064799084799341	9007199254740992
M001	G12	12	CM	108064834433808217	9007199254740992
M001	G12	12	TW	3377027170108423	281474976710656
M001	G12	12	PCA	3377027170108423	281474976710656
M001	G12	12	RBF	54032465445872913	4503599627370496
M001	G12	12	CPA	103341019877722249	9007199254740992
M001	G12	12	scGen	108016347034191089	9007199254740992
M001	G12	12	CellOT	26747969839096655	2251799813685248
M002	G12	12	NC	54032477236884049	4503599627370496
M002	G12	12	CM	54032616574687995	4503599627370496
M002	G12	12	TW	6754079320672819	562949953421312
M002	G12	12	PCA	6754079320672819	562949953421312
M002	G12	12	RBF	3377041220629009	281474976710656
M002	G12	12	CPA	103335006502220533	9007199254740992
M002	G12	12	scGen	108016033154549841	9007199254740992
M002	G12	12	CellOT	26749636121741495	2251799813685248
M003	G12	12	NC	27016256551669603	2251799813685248
M003	G12	12	CM	108065099934829683	9007199254740992
M003	G12	12	TW	27016283087665541	2251799813685248
M003	G12	12	PCA	27016283087665541	2251799813685248
M003	G12	12	RBF	54032596289249273	4503599627370496
M003	G12	12	CPA	103361472067340793	9007199254740992
M003	G12	12	scGen	108016300249001719	9007199254740992
M003	G12	12	CellOT	106991836275138943	9007199254740992
M004	G12	12	NC	108065181595647169	9007199254740992
M004	G12	12	CM	6754093665649841	562949953421312
M004	G12	12	TW	27016383009489433	2251799813685248
M004	G12	12	PCA	27016383009489433	2251799813685248
M004	G12	12	RBF	6754098796680063	562949953421312
M004	G12	12	CPA	103355458691839077	9007199254740992
M004	G12	12	scGen	108015986369360471	9007199254740992
M004	G12	12	CellOT	106998501405718303	9007199254740992
M005	G12	12	NC	108065295103927229	9007199254740992
M005	G12	12	CM	1688514501473163	140737488355328
M005	G12	12	TW	27016241643714845	2251799813685248
M005	G12	12	PCA	27016241643714845	2251799813685248
M005	G12	12	RBF	108065045968125095	9007199254740992
M005	G12	12	CPA	103327256885640819	9007199254740992
M005	G12	12	scGen	108016273475126525	9007199254740992
M005	G12	12	CellOT	106990471473265669	9007199254740992
M006	G12	12	NC	108065437660287733	9007199254740992
M006	G12	12	CM	6754124838249717	562949953421312
M006	G12	12	TW	54033014967577027	4503599627370496
M006	G12	12	PCA	54033014967577027	4503599627370496
M006	G12	12	RBF	27016516888263469	2251799813685248
M006	G12	12	CPA	51676999233825787	4503599627370496
M006	G12	12	scGen	108017051891974231	9007199254740992
M006	G12	12	CellOT	53501960749937493	4503599627370496
M007	G12	12	NC	54032725246447993	4503599627370496
M007	G12	12	CM	108065326809850205	9007199254740992
M007	G12	12	TW	27016341565538737	2251799813685248
M007	G12	12	PCA	27016341565538737	2251799813685248
M007	G12	12	RBF	108065434136507557	9007199254740992
M007	G12	12	CPA	103321243510139103	9007199254740992
M007	G12	12	scGen	108015959595485277	9007199254740992
M007	G12	12	CellOT	106997136603845029	9007199254740992
M008	G12	12	NC	27016380556451575	2251799813685248
M008	G12	12	CM	54032596797651949	4503599627370496
M008	G12	12	TW	13508153685256501	1125899906842624
M008	G12	12	PCA	13508153685256501	1125899906842624
M008	G12	12	RBF	108065307654877815	9007199254740992
M008	G12	12	CPA	103347709075259363	9007199254740992
M008	G12	12	scGen	108016226689937155	9007199254740992
M008	G12	12	CellOT	13373803549002249	1125899906842624
M009	G12	12	NC	54032763501201709	4503599627370496
M009	G12	12	CM	13508247387343555	1125899906842624
M009	G12	12	TW	108066012502442067	9007199254740992
M009	G12	12	PCA	108066012502442067	9007199254740992
M009	G12	12	RBF	13508256866521043	1125899906842624
M009	G12	12	CPA	103344608871762835	9007199254740992
M009	G12	12	scGen	108015596368814641	9007199254740992
M009	G12	12	CellOT	53501258419919377	4503599627370496
M010	G12	12	NC	108065651614895431	9007199254740992
M010	G12	12	CM	108065758078024393	9007199254740992
M010	G12	12	TW	54032896891598725	4503599627370496
M010	G12	12	PCA	54032896891598725	4503599627370496
M010	G12	12	RBF	13508231471954879	1125899906842624
M010	G12	12	CPA	103333777068884079	9007199254740992
M010	G12	12	scGen	27004280996319271	2251799813685248
M010	G12	12	CellOT	53501866580195365	4503599627370496
M011	G12	12	NC	27016416195541701	2251799813685248
M011	G12	12	CM	54033131456508469	4503599627370496
M011	G12	12	TW	54033146421173341	4503599627370496
M011	G12	12	PCA	54033146421173341	4503599627370496
M011	G12	12	RBF	27016582309951649	2251799813685248
M011	G12	12	CPA	51687225328635059	4503599627370496
M011	G12	12	scGen	108017005106784861	9007199254740992
M011	G12	12	CellOT	107003878418627309	9007199254740992
M012	G12	12	NC	54032832596317073	4503599627370496
M012	G12	12	CM	108066152154705949	9007199254740992
M012	G12	12	TW	13508272827734963	1125899906842624
M012	G12	12	PCA	13508272827734963	1125899906842624
M012	G12	12	RBF	108066224068841765	9007199254740992
M012	G12	12	CPA	103354920717501163	9007199254740992
M012	G12	12	scGen	108017361850059311	9007199254740992
M012	G12	12	CellOT	53500893484112833	4503599627370496
M013	G12	12	NC	108065677614775057	9007199254740992
M013	G12	12	CM	108065592310871671	9007199254740992
M013	G12	12	TW	13508203646168447	1125899906842624
M013	G12	12	PCA	13508203646168447	1125899906842624
M013	G12	12	RBF	108065695823260277	9007199254740992
M013	G12	12	CPA	103341695699757647	9007199254740992
M013	G12	12	scGen	108015912810295907	9007199254740992
M013	G12	12	CellOT	13374636690324669	1125899906842624
M014	G12	12	NC	54032852617823467	4503599627370496
M014	G12	12	CM	54032870946035347	4503599627370496
M014	G12	12	TW	27016444884496113	2251799813685248
M014	G12	12	PCA	27016444884496113	2251799813685248
M014	G12	12	RBF	108065840353164507	9007199254740992
M014	G12	12	CPA	103332856094691167	9007199254740992
M014	G12	12	scGen	54008383421774287	4503599627370496
M014	G12	12	CellOT	106993258739466933	9007199254740992
M015	G12	12	NC	108065754124282489	9007199254740992
M015	G12	12	CM	54033122299884953	4503599627370496
M015	G12	12	TW	108066275409634695	9007199254740992
M015	G12	12	PCA	108066275409634695	9007199254740992
M015	G12	12	RBF	13508289577365133	1125899906842624
M015	G12	12	CPA	103365061061381379	9007199254740992
M015	G12	12	scGen	108015549583625271	9007199254740992
M015	G12	12	CellOT	107002473758591077	9007199254740992
M016	G12	12	NC	108065860624615691	9007199254740992
M016	G12	12	CM	108066140607638467	9007199254740992
M016	G12	12	TW	27016544806320005	2251799813685248
M016	G12	12	PCA	27016544806320005	2251799813685248
M016	G12	12	RBF	108066228521546969	9007199254740992
M016	G12	12	CPA	103326842719189451	9007199254740992
M016	G12	12	scGen	54008226481953663	4503599627370496
M016	G12	12	CellOT	106999923870046293	9007199254740992
M017	G12	12	NC	54032939368387251	4503599627370496
M017	G12	12	CM	108066023579045859	9007199254740992
M017	G12	12	TW	54033028345195039	4503599627370496
M017	G12	12	PCA	54033028345195039	4503599627370496
M017	G12	12	RBF	13508264182798969	1125899906842624
M017	G12	12	CPA	103354229258502623	9007199254740992
M017	G12	12	scGen	54008538600043857	4503599627370496
M017	G12	12	CellOT	107003690079143053	9007199254740992
M018	G12	12	NC	108065892314513217	9007199254740992
M018	G12	12	CM	108066417655727415	9007199254740992
M018	G12	12	TW	27016611382268083	2251799813685248
M018	G12	12	PCA	27016611382268083	2251799813685248
M018	G12	12	RBF	108066485755594485	9007199254740992
M018	G12	12	CPA	103375372907119707	9007199254740992
M018	G12	12	scGen	108017315064869941	9007199254740992
M018	G12	12	CellOT	107001743886977989	9007199254740992
M019	G12	12	NC	108065932357526005	9007199254740992
M019	G12	12	CM	1688531365517065	140737488355328
M019	G12	12	TW	13508255305647135	1125899906842624
M019	G12	12	PCA	13508255305647135	1125899906842624
M019	G12	12	RBF	108066102039917227	9007199254740992
M019	G12	12	CPA	103353308284309711	9007199254740992
M019	G12	12	scGen	27004180014589801	2251799813685248
M019	G12	12	CellOT	13374151957277407	1125899906842624
M020	G12	12	NC	108065933679415621	9007199254740992
M020	G12	12	CM	108066091072469687	9007199254740992
M020	G12	12	TW	54033063533271949	4503599627370496
M020	G12	12	PCA	54033063533271949	4503599627370496
M020	G12	12	RBF	108066182629433145	9007199254740992
M020	G12	12	CPA	3229382358611567	281474976710656
M020	G12	12	scGen	108016978332909667	9007199254740992
M020	G12	12	CellOT	107002513616754035	9007199254740992
M021	G12	12	NC	54033011510765653	4503599627370496
M021	G12	12	CM	108066072759222655	9007199254740992
M021	G12	12	TW	108066109633831911	9007199254740992
M021	G12	12	PCA	108066109633831911	9007199254740992
M021	G12	12	RBF	108066170008547613	9007199254740992
M021	G12	12	CPA	103330845879681405	9007199254740992
M021	G12	12	scGen	108015522809750077	9007199254740992
M021	G12	12	CellOT	107001108956717803	9007199254740992
M022	G12	12	NC	54033043873247381	4503599627370496
M022	G12	12	CM	108066406108659933	9007199254740992
M022	G12	12	TW	13508305266559081	1125899906842624
M022	G12	12	PCA	13508305266559081	1125899906842624
M022	G12	12	RBF	108066490208299689	9007199254740992
M022	G12	12	CPA	103347294908807995	9007199254740992
M022	G12	12	scGen	27004101544679489	2251799813685248
M022	G12	12	CellOT	13374985098599827	1125899906842624
M023	G12	12	NC	54033069529061825	4503599627370496
M023	G12	12	CM	54032875690268743	4503599627370496
M023	G12	12	TW	108065785720613733	9007199254740992
M023	G12	12	PCA	108065785720613733	9007199254740992
M023	G12	12	RBF	108065866973280441	9007199254740992
M023	G12	12	CPA	6459623988847569	562949953421312
M023	G12	12	scGen	108018304612441625	9007199254740992
M023	G12	12	CellOT	106990433674764807	9007199254740992
M024	G12	12	NC	108066147634023319	9007199254740992
M024	G12	12	CM	6754115733656163	562949953421312
M024	G12	12	TW	54032945457293647	4503599627370496
M024	G12	12	PCA	54032945457293647	4503599627370496
M024	G12	12	RBF	108065966852018301	9007199254740992
M024	G12	12	CPA	103320014076802649	9007199254740992
M024	G12	12	scGen	13502131303276565	1125899906842624
M024	G12	12	CellOT	107002325277269779	9007199254740992
M025	G12	12	NC	27016540200323673	2251799813685248
M025	G12	12	CM	108066356573491153	9007199254740992
M025	G12	12	TW	54033194986868263	4503599627370496
M025	G12	12	PCA	54033194986868263	4503599627370496
M025	G12	12	RBF	108066444316185865	9007199254740992
M025	G12	12	CPA	6460042979074293	562949953421312
M025	G12	12	scGen	108016931547720297	9007199254740992
M025	G12	12	CellOT	53501235267753179	4503599627370496
M026	G12	12	NC	54033080605881017	4503599627370496
M026	G12	12	CM	27016561453795041	2251799813685248
M026	G12	12	TW	27016569938317387	2251799813685248
M026	G12	12	PCA	27016569938317387	2251799813685248
M026	G12	12	RBF	54033169572610517	4503599627370496
M026	G12	12	CPA	103341157725419733	9007199254740992
M026	G12	12	scGen	108017288290994747	9007199254740992
M026	G12	12	CellOT	107000379085104715	9007199254740992
M027	G12	12	NC	108066174473209681	9007199254740992
M027	G12	12	CM	27016454601325347	2251799813685248
M027	G12	12	TW	13508231518067965	1125899906842624
M027	G12	12	PCA	13508231518067965	1125899906842624
M027	G12	12	RBF	108065932058678477	9007199254740992
M027	G12	12	CPA	103340683785045329	9007199254740992
M027	G12	12	scGen	27004297548731977	2251799813685248
M027	G12	12	CellOT	53497358956975267	4503599627370496
M028	G12	12	NC	54033094707355471	4503599627370496
