case_id	graph_id	comparison_index	source	target	wins	losses	ties
G12_W01	G12	0	NC	CM	4	8	0
G12_W01	G12	1	NC	TW	4	8	0
G12_W01	G12	2	NC	PCA	4	8	0
G12_W01	G12	3	NC	RBF	4	8	0
G12_W01	G12	4	NC	CPA	12	0	0
G12_W01	G12	5	NC	scGen	12	0	0
G12_W01	G12	6	NC	CellOT	12	0	0
G12_W01	G12	7	CM	NC	8	4	0
G12_W01	G12	8	CM	TW	3	9	0
G12_W01	G12	9	CM	PCA	3	9	0
G12_W01	G12	10	CM	RBF	1	11	0
G12_W01	G12	11	CM	CPA	12	0	0
G12_W01	G12	12	CM	scGen	12	0	0
G12_W01	G12	13	CM	CellOT	12	0	0
G12_W01	G12	14	TW	NC	8	4	0
G12_W01	G12	15	TW	CM	9	3	0
G12_W01	G12	16	TW	PCA	0	0	12
G12_W01	G12	17	TW	RBF	3	9	0
G12_W01	G12	18	TW	CPA	12	0	0
G12_W01	G12	19	TW	scGen	12	0	0
G12_W01	G12	20	TW	CellOT	12	0	0
G12_W01	G12	21	PCA	NC	8	4	0
G12_W01	G12	22	PCA	CM	9	3	0
G12_W01	G12	23	PCA	TW	0	0	12
G12_W01	G12	24	PCA	RBF	3	9	0
G12_W01	G12	25	PCA	CPA	12	0	0
G12_W01	G12	26	PCA	scGen	12	0	0
G12_W01	G12	27	PCA	CellOT	12	0	0
G12_W01	G12	28	RBF	NC	8	4	0
G12_W01	G12	29	RBF	CM	11	1	0
G12_W01	G12	30	RBF	TW	9	3	0
G12_W01	G12	31	RBF	PCA	9	3	0
G12_W01	G12	32	RBF	CPA	12	0	0
G12_W01	G12	33	RBF	scGen	12	0	0
G12_W01	G12	34	RBF	CellOT	12	0	0
G12_W01	G12	35	CPA	NC	0	12	0
G12_W01	G12	36	CPA	CM	0	12	0
G12_W01	G12	37	CPA	TW	0	12	0
G12_W01	G12	38	CPA	PCA	0	12	0
G12_W01	G12	39	CPA	RBF	0	12	0
G12_W01	G12	40	CPA	scGen	0	12	0
G12_W01	G12	41	CPA	CellOT	0	12	0
G12_W01	G12	42	scGen	NC	0	12	0
G12_W01	G12	43	scGen	CM	0	12	0
G12_W01	G12	44	scGen	TW	0	12	0
G12_W01	G12	45	scGen	PCA	0	12	0
G12_W01	G12	46	scGen	RBF	0	12	0
G12_W01	G12	47	scGen	CPA	12	0	0
G12_W01	G12	48	scGen	CellOT	12	0	0
