dataset	regime	seed	depth	unit	policy_code	family	utility
gse162632	original8	17	4	root_00	S	NC	-0.4224909354288409
gse162632	original8	17	4	root_00	S	CM	-0.3740998668579828
gse162632	original8	17	4	root_00	S	TW	-0.37111033785063013
gse162632	original8	17	4	root_00	S	PCA	-0.37175749549814635
gse162632	original8	17	4	root_00	S	RBF	-0.37196863132706126
gse162632	original8	17	4	root_00	S	scGen	-0.13746884796363598
gse162632	original8	17	4	root_00	S	CPA	-0.4591955631131723
gse162632	original8	17	4	root_00	S	CellOT	-0.14911852627991867
gse162632	original8	17	4	root_00	M	NC	-0.42249093542884086
gse162632	original8	17	4	root_00	M	CM	-0.3740998668579828
gse162632	original8	17	4	root_00	M	TW	-0.37111033785063013
gse162632	original8	17	4	root_00	M	PCA	-0.3717574954981464
gse162632	original8	17	4	root_00	M	RBF	-0.37196863132706126
gse162632	original8	17	4	root_00	M	scGen	-0.13746884795953915
gse162632	original8	17	4	root_00	M	CPA	-0.4591955631184085
gse162632	original8	17	4	root_00	M	CellOT	-0.14911852627277034
gse162632	original8	17	4	root_00	P	NC	-0.42249093542884086
gse162632	original8	17	4	root_00	P	CM	-0.3740998668579828
gse162632	original8	17	4	root_00	P	TW	-0.37111033785063013
gse162632	original8	17	4	root_00	P	PCA	-0.3717574954981464
gse162632	original8	17	4	root_00	P	RBF	-0.37196863132706126
gse162632	original8	17	4	root_00	P	scGen	-0.6397661575857428
gse162632	original8	17	4	root_00	P	CPA	-0.9573334619645851
gse162632	original8	17	4	root_00	P	CellOT	-0.6541047763435607
gse162632	original8	17	4	root_00	O	NC	-0.42249093542884086
gse162632	original8	17	4	root_00	O	CM	-0.3740998668579828
gse162632	original8	17	4	root_00	O	TW	-0.37111033785063013
gse162632	original8	17	4	root_00	O	PCA	-0.37175749549814635
gse162632	original8	17	4	root_00	O	RBF	-0.37196863132706126
gse162632	original8	17	4	root_00	O	scGen	-0.6133742261057119
gse162632	original8	17	4	root_00	O	CPA	-0.9392603521567756
gse162632	original8	17	4	root_00	O	CellOT	-0.6223349639746156
gse162632	original8	17	4	root_00	D	NC	-0.42249093542884086
gse162632	original8	17	4	root_00	D	CM	-0.3740998668579828
gse162632	original8	17	4	root_00	D	TW	-0.37111033785063013
gse162632	original8	17	4	root_00	D	PCA	-0.3717574954981464
gse162632	original8	17	4	root_00	D	RBF	-0.37196863132706126
gse162632	original8	17	4	root_00	D	scGen	-0.6265701918465337
gse162632	original8	17	4	root_00	D	CPA	-0.9482969070556756
gse162632	original8	17	4	root_00	D	CellOT	-0.6382198701499701
gse162632	original8	17	4	root_01	S	NC	-0.4383821304158191
gse162632	original8	17	4	root_01	S	CM	-0.34394930876798757
gse162632	original8	17	4	root_01	S	TW	-0.3444408862834163
gse162632	original8	17	4	root_01	S	PCA	-0.343067306523818
gse162632	original8	17	4	root_01	S	RBF	-0.3440941303236806
gse162632	original8	17	4	root_01	S	scGen	-0.1269170578666319
gse162632	original8	17	4	root_01	S	CPA	-0.3476924349159938
gse162632	original8	17	4	root_01	S	CellOT	-0.1390673657364776
gse162632	original8	17	4	root_01	M	NC	-0.438382130415819
gse162632	original8	17	4	root_01	M	CM	-0.34394930876798757
gse162632	original8	17	4	root_01	M	TW	-0.3444408862834163
gse162632	original8	17	4	root_01	M	PCA	-0.34306730652381795
gse162632	original8	17	4	root_01	M	RBF	-0.3440941303236806
gse162632	original8	17	4	root_01	M	scGen	-0.1269170578697524
gse162632	original8	17	4	root_01	M	CPA	-0.3476924349141775
gse162632	original8	17	4	root_01	M	CellOT	-0.13906736573570735
gse162632	original8	17	4	root_01	P	NC	-0.438382130415819
gse162632	original8	17	4	root_01	P	CM	-0.34394930876798757
gse162632	original8	17	4	root_01	P	TW	-0.3444408862834163
gse162632	original8	17	4	root_01	P	PCA	-0.34306730652381795
gse162632	original8	17	4	root_01	P	RBF	-0.3440941303236806
gse162632	original8	17	4	root_01	P	scGen	-0.5942054445662813
gse162632	original8	17	4	root_01	P	CPA	-0.8113990522739455
gse162632	original8	17	4	root_01	P	CellOT	-0.6104160784429032
gse162632	original8	17	4	root_01	O	NC	-0.438382130415819
gse162632	original8	17	4	root_01	O	CM	-0.34394930876798757
gse162632	original8	17	4	root_01	O	TW	-0.3444408862834163
gse162632	original8	17	4	root_01	O	PCA	-0.34306730652381795
gse162632	original8	17	4	root_01	O	RBF	-0.3440941303236806
gse162632	original8	17	4	root_01	O	scGen	-0.5708739774546405
gse162632	original8	17	4	root_01	O	CPA	-0.7952311237984179
gse162632	original8	17	4	root_01	O	CellOT	-0.5789639593183656
gse162632	original8	17	4	root_01	D	NC	-0.438382130415819
gse162632	original8	17	4	root_01	D	CM	-0.34394930876798757
gse162632	original8	17	4	root_01	D	TW	-0.3444408862834163
gse162632	original8	17	4	root_01	D	PCA	-0.34306730652381795
gse162632	original8	17	4	root_01	D	RBF	-0.3440941303236806
gse162632	original8	17	4	root_01	D	scGen	-0.5825397110145304
gse162632	original8	17	4	root_01	D	CPA	-0.8033150880356218
gse162632	original8	17	4	root_01	D	CellOT	-0.5946900188856059
gse162632	original8	17	4	root_02	S	NC	-0.41551700859099705
gse162632	original8	17	4	root_02	S	CM	-0.3308712784163365
gse162632	original8	17	4	root_02	S	TW	-0.3307901594200786
gse162632	original8	17	4	root_02	S	PCA	-0.32962951686430125
gse162632	original8	17	4	root_02	S	RBF	-0.33062878962274117
gse162632	original8	17	4	root_02	S	scGen	-0.12068310184330074
gse162632	original8	17	4	root_02	S	CPA	-0.3398164535005834
gse162632	original8	17	4	root_02	S	CellOT	-0.13305747576732543
gse162632	original8	17	4	root_02	M	NC	-0.41551700859099705
gse162632	original8	17	4	root_02	M	CM	-0.3308712784163365
gse162632	original8	17	4	root_02	M	TW	-0.3307901594200786
gse162632	original8	17	4	root_02	M	PCA	-0.32962951686430125
gse162632	original8	17	4	root_02	M	RBF	-0.33062878962274117
gse162632	original8	17	4	root_02	M	scGen	-0.12068310184092752
gse162632	original8	17	4	root_02	M	CPA	-0.3398164535002809
gse162632	original8	17	4	root_02	M	CellOT	-0.1330574757647538
gse162632	original8	17	4	root_02	P	NC	-0.41551700859099705
gse162632	original8	17	4	root_02	P	CM	-0.3308712784163365
gse162632	original8	17	4	root_02	P	TW	-0.3307901594200786
gse162632	original8	17	4	root_02	P	PCA	-0.32962951686430125
gse162632	original8	17	4	root_02	P	RBF	-0.33062878962274117
gse162632	original8	17	4	root_02	P	scGen	-0.5726818771565299
gse162632	original8	17	4	root_02	P	CPA	-0.7861841656828353
gse162632	original8	17	4	root_02	P	CellOT	-0.5870887953631373
gse162632	original8	17	4	root_02	O	NC	-0.41551700859099705
gse162632	original8	17	4	root_02	O	CM	-0.3308712784163365
gse162632	original8	17	4	root_02	O	TW	-0.3307901594200786
gse162632	original8	17	4	root_02	O	PCA	-0.3296295168643012
gse162632	original8	17	4	root_02	O	RBF	-0.33062878962274117
gse162632	original8	17	4	root_02	O	scGen	-0.545767480437157
gse162632	original8	17	4	root_02	O	CPA	-0.7705318950992589
gse162632	original8	17	4	root_02	O	CellOT	-0.5561093100897103
gse162632	original8	17	4	root_02	D	NC	-0.41551700859099705
gse162632	original8	17	4	root_02	D	CM	-0.3308712784163365
gse162632	original8	17	4	root_02	D	TW	-0.3307901594200786
gse162632	original8	17	4	root_02	D	PCA	-0.32962951686430125
gse162632	original8	17	4	root_02	D	RBF	-0.33062878962274117
gse162632	original8	17	4	root_02	D	scGen	-0.5592246787991556
gse162632	original8	17	4	root_02	D	CPA	-0.7783580303933292
gse162632	original8	17	4	root_02	D	CellOT	-0.5715990527273885
gse162632	original8	17	4	root_03	S	NC	-0.3955474671934167
gse162632	original8	17	4	root_03	S	CM	-0.33647448039430955
gse162632	original8	17	4	root_03	S	TW	-0.3347830514940365
gse162632	original8	17	4	root_03	S	PCA	-0.33537164690051774
gse162632	original8	17	4	root_03	S	RBF	-0.3351542680408259
gse162632	original8	17	4	root_03	S	scGen	-0.12607727717360667
gse162632	original8	17	4	root_03	S	CPA	-0.3621971105322974
gse162632	original8	17	4	root_03	S	CellOT	-0.13427972295323648
gse162632	original8	17	4	root_03	M	NC	-0.3955474671934167
gse162632	original8	17	4	root_03	M	CM	-0.3364744803943095
gse162632	original8	17	4	root_03	M	TW	-0.33478305149403653
gse162632	original8	17	4	root_03	M	PCA	-0.33537164690051774
gse162632	original8	17	4	root_03	M	RBF	-0.3351542680408259
gse162632	original8	17	4	root_03	M	scGen	-0.12607727716876443
gse162632	original8	17	4	root_03	M	CPA	-0.3621971105249
gse162632	original8	17	4	root_03	M	CellOT	-0.134279722953474
gse162632	original8	17	4	root_03	P	NC	-0.3955474671934167
gse162632	original8	17	4	root_03	P	CM	-0.3364744803943095
gse162632	original8	17	4	root_03	P	TW	-0.33478305149403653
gse162632	original8	17	4	root_03	P	PCA	-0.33537164690051774
gse162632	original8	17	4	root_03	P	RBF	-0.3351542680408259
gse162632	original8	17	4	root_03	P	scGen	-0.5771941311563736
gse162632	original8	17	4	root_03	P	CPA	-0.8081691095306769
gse162632	original8	17	4	root_03	P	CellOT	-0.5886656702065809
gse162632	original8	17	4	root_03	O	NC	-0.3955474671934167
gse162632	original8	17	4	root_03	O	CM	-0.3364744803943095
gse162632	original8	17	4	root_03	O	TW	-0.33478305149403653
gse162632	original8	17	4	root_03	O	PCA	-0.33537164690051774
gse162632	original8	17	4	root_03	O	RBF	-0.3351542680408259
gse162632	original8	17	4	root_03	O	scGen	-0.5505604904927079
gse162632	original8	17	4	root_03	O	CPA	-0.7918251787376562
gse162632	original8	17	4	root_03	O	CellOT	-0.5554938430003161
gse162632	original8	17	4	root_03	D	NC	-0.3955474671934167
gse162632	original8	17	4	root_03	D	CM	-0.3364744803943095
gse162632	original8	17	4	root_03	D	TW	-0.33478305149403653
gse162632	original8	17	4	root_03	D	PCA	-0.33537164690051774
gse162632	original8	17	4	root_03	D	RBF	-0.3351542680408259
gse162632	original8	17	4	root_03	D	scGen	-0.5638773108286521
gse162632	original8	17	4	root_03	D	CPA	-0.7999971441312548
gse162632	original8	17	4	root_03	D	CellOT	-0.5720797566029375
gse162632	original8	17	4	root_04	S	NC	-0.41770653454901846
gse162632	original8	17	4	root_04	S	CM	-0.3413680502580647
gse162632	original8	17	4	root_04	S	TW	-0.341336918447409
gse162632	original8	17	4	root_04	S	PCA	-0.34009855939451883
gse162632	original8	17	4	root_04	S	RBF	-0.34110610184273643
gse162632	original8	17	4	root_04	S	scGen	-0.12370387575981537
gse162632	original8	17	4	root_04	S	CPA	-0.37189154142858094
gse162632	original8	17	4	root_04	S	CellOT	-0.13287379369972105
gse162632	original8	17	4	root_04	M	NC	-0.41770653454901846
gse162632	original8	17	4	root_04	M	CM	-0.34136805025806466
gse162632	original8	17	4	root_04	M	TW	-0.341336918447409
gse162632	original8	17	4	root_04	M	PCA	-0.34009855939451883
gse162632	original8	17	4	root_04	M	RBF	-0.34110610184273643
gse162632	original8	17	4	root_04	M	scGen	-0.1237038757582448
gse162632	original8	17	4	root_04	M	CPA	-0.3718915414351871
gse162632	original8	17	4	root_04	M	CellOT	-0.13287379369356225
gse162632	original8	17	4	root_04	P	NC	-0.41770653454901846
gse162632	original8	17	4	root_04	P	CM	-0.34136805025806466
gse162632	original8	17	4	root_04	P	TW	-0.341336918447409
gse162632	original8	17	4	root_04	P	PCA	-0.34009855939451883
gse162632	original8	17	4	root_04	P	RBF	-0.34110610184273643
gse162632	original8	17	4	root_04	P	scGen	-0.5820555679709464
gse162632	original8	17	4	root_04	P	CPA	-0.8273423704579811
gse162632	original8	17	4	root_04	P	CellOT	-0.5943099451810043
gse162632	original8	17	4	root_04	O	NC	-0.41770653454901846
gse162632	original8	17	4	root_04	O	CM	-0.34136805025806466
gse162632	original8	17	4	root_04	O	TW	-0.341336918447409
gse162632	original8	17	4	root_04	O	PCA	-0.34009855939451883
gse162632	original8	17	4	root_04	O	RBF	-0.34110610184273643
gse162632	original8	17	4	root_04	O	scGen	-0.5613594624858187
gse162632	original8	17	4	root_04	O	CPA	-0.8124479913703082
gse162632	original8	17	4	root_04	O	CellOT	-0.56744492114278
gse162632	original8	17	4	root_04	D	NC	-0.41770653454901846
gse162632	original8	17	4	root_04	D	CM	-0.34136805025806466
gse162632	original8	17	4	root_04	D	TW	-0.341336918447409
gse162632	original8	17	4	root_04	D	PCA	-0.34009855939451883
gse162632	original8	17	4	root_04	D	RBF	-0.34110610184273643
gse162632	original8	17	4	root_04	D	scGen	-0.571707515229462
gse162632	original8	17	4	root_04	D	CPA	-0.8198951809183518
gse162632	original8	17	4	root_04	D	CellOT	-0.5808774331628322
gse162632	original8	17	4	root_05	S	NC	-0.42233453446231084
gse162632	original8	17	4	root_05	S	CM	-0.3596567922751774
gse162632	original8	17	4	root_05	S	TW	-0.35762956426471443
gse162632	original8	17	4	root_05	S	PCA	-0.3584431371693759
gse162632	original8	17	4	root_05	S	RBF	-0.3581638042066437
gse162632	original8	17	4	root_05	S	scGen	-0.12928374164800518
gse162632	original8	17	4	root_05	S	CPA	-0.3977443038187398
gse162632	original8	17	4	root_05	S	CellOT	-0.14003537180138984
gse162632	original8	17	4	root_05	M	NC	-0.4223345344623108
gse162632	original8	17	4	root_05	M	CM	-0.35965679227517733
gse162632	original8	17	4	root_05	M	TW	-0.35762956426471443
gse162632	original8	17	4	root_05	M	PCA	-0.3584431371693759
gse162632	original8	17	4	root_05	M	RBF	-0.3581638042066437
gse162632	original8	17	4	root_05	M	scGen	-0.12928374164814527
gse162632	original8	17	4	root_05	M	CPA	-0.3977443038262074
gse162632	original8	17	4	root_05	M	CellOT	-0.14003537180198414
gse162632	original8	17	4	root_05	P	NC	-0.4223345344623108
gse162632	original8	17	4	root_05	P	CM	-0.35965679227517733
gse162632	original8	17	4	root_05	P	TW	-0.35762956426471443
gse162632	original8	17	4	root_05	P	PCA	-0.3584431371693759
gse162632	original8	17	4	root_05	P	RBF	-0.3581638042066437
gse162632	original8	17	4	root_05	P	scGen	-0.6184224189864354
gse162632	original8	17	4	root_05	P	CPA	-0.8842851659101861
gse162632	original8	17	4	root_05	P	CellOT	-0.6324769490983667
gse162632	original8	17	4	root_05	O	NC	-0.4223345344623108
gse162632	original8	17	4	root_05	O	CM	-0.35965679227517733
gse162632	original8	17	4	root_05	O	TW	-0.35762956426471443
gse162632	original8	17	4	root_05	O	PCA	-0.3584431371693759
gse162632	original8	17	4	root_05	O	RBF	-0.3581638042066437
gse162632	original8	17	4	root_05	O	scGen	-0.5973019368694407
gse162632	original8	17	4	root_05	O	CPA	-0.868360314265919
gse162632	original8	17	4	root_05	O	CellOT	-0.6047506670675271
gse162632	original8	17	4	root_05	D	NC	-0.4223345344623108
gse162632	original8	17	4	root_05	D	CM	-0.35965679227517733
gse162632	original8	17	4	root_05	D	TW	-0.35762956426471443
gse162632	original8	17	4	root_05	D	PCA	-0.3584431371693759
gse162632	original8	17	4	root_05	D	RBF	-0.3581638042066437
gse162632	original8	17	4	root_05	D	scGen	-0.6078621779313661
gse162632	original8	17	4	root_05	D	CPA	-0.876322740094299
gse162632	original8	17	4	root_05	D	CellOT	-0.6186138080790564
gse162632	original8	17	4	root_06	S	NC	-0.40490719162876515
gse162632	original8	17	4	root_06	S	CM	-0.41154301803164683
gse162632	original8	17	4	root_06	S	TW	-0.40574458345886516
gse162632	original8	17	4	root_06	S	PCA	-0.409380121644723
gse162632	original8	17	4	root_06	S	RBF	-0.4074713006263574
gse162632	original8	17	4	root_06	S	scGen	-0.1758482296651629
gse162632	original8	17	4	root_06	S	CPA	-0.51629006884041
gse162632	original8	17	4	root_06	S	CellOT	-0.17657777139975964
gse162632	original8	17	4	root_06	M	NC	-0.40490719162876515
gse162632	original8	17	4	root_06	M	CM	-0.4115430180316468
gse162632	original8	17	4	root_06	M	TW	-0.40574458345886505
gse162632	original8	17	4	root_06	M	PCA	-0.4093801216447229
gse162632	original8	17	4	root_06	M	RBF	-0.40747130062635734
gse162632	original8	17	4	root_06	M	scGen	-0.17584822966439273
gse162632	original8	17	4	root_06	M	CPA	-0.5162900688372452
gse162632	original8	17	4	root_06	M	CellOT	-0.1765777714059813
gse162632	original8	17	4	root_06	P	NC	-0.40490719162876515
gse162632	original8	17	4	root_06	P	CM	-0.4115430180316468
gse162632	original8	17	4	root_06	P	TW	-0.40574458345886505
gse162632	original8	17	4	root_06	P	PCA	-0.4093801216447229
gse162632	original8	17	4	root_06	P	RBF	-0.40747130062635734
gse162632	original8	17	4	root_06	P	scGen	-0.704064414924425
gse162632	original8	17	4	root_06	P	CPA	-1.0397889583003344
gse162632	original8	17	4	root_06	P	CellOT	-0.707600567337513
gse162632	original8	17	4	root_06	O	NC	-0.4049071916287651
gse162632	original8	17	4	root_06	O	CM	-0.4115430180316468
gse162632	original8	17	4	root_06	O	TW	-0.40574458345886505
gse162632	original8	17	4	root_06	O	PCA	-0.409380121644723
gse162632	original8	17	4	root_06	O	RBF	-0.40747130062635734
gse162632	original8	17	4	root_06	O	scGen	-0.6822563090268006
gse162632	original8	17	4	root_06	O	CPA	-1.0274154440262282
gse162632	original8	17	4	root_06	O	CellOT	-0.6801792400893354
gse162632	original8	17	4	root_06	D	NC	-0.40490719162876515
gse162632	original8	17	4	root_06	D	CM	-0.4115430180316468
gse162632	original8	17	4	root_06	D	TW	-0.40574458345886505
gse162632	original8	17	4	root_06	D	PCA	-0.4093801216447229
gse162632	original8	17	4	root_06	D	RBF	-0.40747130062635734
gse162632	original8	17	4	root_06	D	scGen	-0.6931603619791274
gse162632	original8	17	4	root_06	D	CPA	-1.0336022011633574
gse162632	original8	17	4	root_06	D	CellOT	-0.6938899037187286
gse162632	original8	17	4	root_07	S	NC	-0.4252949607573834
gse162632	original8	17	4	root_07	S	CM	-0.36457811264285866
gse162632	original8	17	4	root_07	S	TW	-0.36403037613023115
gse162632	original8	17	4	root_07	S	PCA	-0.3631515038486008
gse162632	original8	17	4	root_07	S	RBF	-0.36392729245726174
gse162632	original8	17	4	root_07	S	scGen	-0.13324953988205854
gse162632	original8	17	4	root_07	S	CPA	-0.4158911958371709
gse162632	original8	17	4	root_07	S	CellOT	-0.137649651659632
gse162632	original8	17	4	root_07	M	NC	-0.4252949607573834
gse162632	original8	17	4	root_07	M	CM	-0.36457811264285866
gse162632	original8	17	4	root_07	M	TW	-0.36403037613023115
gse162632	original8	17	4	root_07	M	PCA	-0.3631515038486008
gse162632	original8	17	4	root_07	M	RBF	-0.36392729245726163
gse162632	original8	17	4	root_07	M	scGen	-0.13324953989263671
gse162632	original8	17	4	root_07	M	CPA	-0.415891195840835
gse162632	original8	17	4	root_07	M	CellOT	-0.13764965166994084
gse162632	original8	17	4	root_07	P	NC	-0.4252949607573834
gse162632	original8	17	4	root_07	P	CM	-0.36457811264285866
gse162632	original8	17	4	root_07	P	TW	-0.36403037613023115
gse162632	original8	17	4	root_07	P	PCA	-0.3631515038486008
gse162632	original8	17	4	root_07	P	RBF	-0.36392729245726163
gse162632	original8	17	4	root_07	P	scGen	-0.6211402900794236
gse162632	original8	17	4	root_07	P	CPA	-0.8998641050312574
gse162632	original8	17	4	root_07	P	CellOT	-0.628791598112846
gse162632	original8	17	4	root_07	O	NC	-0.4252949607573833
gse162632	original8	17	4	root_07	O	CM	-0.36457811264285866
gse162632	original8	17	4	root_07	O	TW	-0.36403037613023115
gse162632	original8	17	4	root_07	O	PCA	-0.36315150384860073
gse162632	original8	17	4	root_07	O	RBF	-0.36392729245726163
gse162632	original8	17	4	root_07	O	scGen	-0.5980659084835193
gse162632	original8	17	4	root_07	O	CPA	-0.8846254054053249
gse162632	original8	17	4	root_07	O	CellOT	-0.5992148239965152
gse162632	original8	17	4	root_07	D	NC	-0.4252949607573834
gse162632	original8	17	4	root_07	D	CM	-0.36457811264285866
gse162632	original8	17	4	root_07	D	TW	-0.36403037613023115
gse162632	original8	17	4	root_07	D	PCA	-0.3631515038486008
gse162632	original8	17	4	root_07	D	RBF	-0.36392729245726163
gse162632	original8	17	4	root_07	D	scGen	-0.6096030992889601
gse162632	original8	17	4	root_07	D	CPA	-0.8922447552237858
gse162632	original8	17	4	root_07	D	CellOT	-0.6140032110650671
gse162632	original8	17	6	root_00	S	NC	-0.34102551748717674
gse162632	original8	17	6	root_00	S	CM	-0.2925706308829541
gse162632	original8	17	6	root_00	S	TW	-0.28958349781164594
gse162632	original8	17	6	root_00	S	PCA	-0.290224883039953
gse162632	original8	17	6	root_00	S	RBF	-0.2904411486896899
gse162632	original8	17	6	root_00	S	scGen	-0.134703477800223
gse162632	original8	17	6	root_00	S	CPA	-0.45603846383930974
gse162632	original8	17	6	root_00	S	CellOT	-0.14560562731852983
gse162632	original8	17	6	root_00	M	NC	-0.34102551748717674
gse162632	original8	17	6	root_00	M	CM	-0.2925706308829541
gse162632	original8	17	6	root_00	M	TW	-0.28958349781164594
gse162632	original8	17	6	root_00	M	PCA	-0.290224883039953
gse162632	original8	17	6	root_00	M	RBF	-0.2904411486896899
gse162632	original8	17	6	root_00	M	scGen	-0.13470347779565417
gse162632	original8	17	6	root_00	M	CPA	-0.45603846383687874
gse162632	original8	17	6	root_00	M	CellOT	-0.1456056273153629
gse162632	original8	17	6	root_00	P	NC	-0.34102551748717674
gse162632	original8	17	6	root_00	P	CM	-0.2925706308829541
gse162632	original8	17	6	root_00	P	TW	-0.28958349781164594
gse162632	original8	17	6	root_00	P	PCA	-0.290224883039953
gse162632	original8	17	6	root_00	P	RBF	-0.2904411486896899
gse162632	original8	17	6	root_00	P	scGen	-0.4693855640629908
gse162632	original8	17	6	root_00	P	CPA	-0.7879103144770887
gse162632	original8	17	6	root_00	P	CellOT	-0.4820566720953192
gse162632	original8	17	6	root_00	O	NC	-0.34102551748717674
gse162632	original8	17	6	root_00	O	CM	-0.2925706308829541
gse162632	original8	17	6	root_00	O	TW	-0.28958349781164594
gse162632	original8	17	6	root_00	O	PCA	-0.290224883039953
gse162632	original8	17	6	root_00	O	RBF	-0.2904411486896899
gse162632	original8	17	6	root_00	O	scGen	-0.4518969328481261
gse162632	original8	17	6	root_00	O	CPA	-0.7760421545096835
gse162632	original8	17	6	root_00	O	CellOT	-0.4610301238493629
gse162632	original8	17	6	root_00	D	NC	-0.34102551748717674
gse162632	original8	17	6	root_00	D	CM	-0.2925706308829541
gse162632	original8	17	6	root_00	D	TW	-0.28958349781164594
gse162632	original8	17	6	root_00	D	PCA	-0.290224883039953
gse162632	original8	17	6	root_00	D	RBF	-0.2904411486896899
gse162632	original8	17	6	root_00	D	scGen	-0.4606412484453987
gse162632	original8	17	6	root_00	D	CPA	-0.78197623449512
gse162632	original8	17	6	root_00	D	CellOT	-0.4715433979648499
gse162632	original8	17	6	root_01	S	NC	-0.3624718944540366
gse162632	original8	17	6	root_01	S	CM	-0.2679599173027739
gse162632	original8	17	6	root_01	S	TW	-0.2684587024774512
gse162632	original8	17	6	root_01	S	PCA	-0.2670826760857811
gse162632	original8	17	6	root_01	S	RBF	-0.26810935741507486
gse162632	original8	17	6	root_01	S	scGen	-0.1243459880539994
gse162632	original8	17	6	root_01	S	CPA	-0.34453984646237523
gse162632	original8	17	6	root_01	S	CellOT	-0.13538783600931223
gse162632	original8	17	6	root_01	M	NC	-0.3624718944540366
gse162632	original8	17	6	root_01	M	CM	-0.2679599173027739
gse162632	original8	17	6	root_01	M	TW	-0.26845870247745124
gse162632	original8	17	6	root_01	M	PCA	-0.2670826760857811
gse162632	original8	17	6	root_01	M	RBF	-0.26810935741507486
gse162632	original8	17	6	root_01	M	scGen	-0.12434598805730515
gse162632	original8	17	6	root_01	M	CPA	-0.34453984647588637
gse162632	original8	17	6	root_01	M	CellOT	-0.135387836014373
gse162632	original8	17	6	root_01	P	NC	-0.3624718944540366
gse162632	original8	17	6	root_01	P	CM	-0.2679599173027739
gse162632	original8	17	6	root_01	P	TW	-0.26845870247745124
gse162632	original8	17	6	root_01	P	PCA	-0.2670826760857811
gse162632	original8	17	6	root_01	P	RBF	-0.26810935741507486
gse162632	original8	17	6	root_01	P	scGen	-0.4359020499848592
gse162632	original8	17	6	root_01	P	CPA	-0.653696607459699
gse162632	original8	17	6	root_01	P	CellOT	-0.4496904411288692
gse162632	original8	17	6	root_01	O	NC	-0.3624718944540366
gse162632	original8	17	6	root_01	O	CM	-0.2679599173027739
gse162632	original8	17	6	root_01	O	TW	-0.2684587024774512
gse162632	original8	17	6	root_01	O	PCA	-0.2670826760857811
gse162632	original8	17	6	root_01	O	RBF	-0.26810935741507486
gse162632	original8	17	6	root_01	O	scGen	-0.42028781308621926
gse162632	original8	17	6	root_01	O	CPA	-0.6428809725710426
gse162632	original8	17	6	root_01	O	CellOT	-0.42858311787057896
gse162632	original8	17	6	root_01	D	NC	-0.3624718944540366
gse162632	original8	17	6	root_01	D	CM	-0.2679599173027739
gse162632	original8	17	6	root_01	D	TW	-0.26845870247745124
gse162632	original8	17	6	root_01	D	PCA	-0.2670826760857811
gse162632	original8	17	6	root_01	D	RBF	-0.26810935741507486
gse162632	original8	17	6	root_01	D	scGen	-0.42809493153479455
gse162632	original8	17	6	root_01	D	CPA	-0.6482887900214427
gse162632	original8	17	6	root_01	D	CellOT	-0.4391367795026743
gse162632	original8	17	6	root_02	S	NC	-0.342359951039915
gse162632	original8	17	6	root_02	S	CM	-0.2577292390326306
gse162632	original8	17	6	root_02	S	TW	-0.2576457313359588
gse162632	original8	17	6	root_02	S	PCA	-0.25648022737643006
gse162632	original8	17	6	root_02	S	RBF	-0.25748528480141747
gse162632	original8	17	6	root_02	S	scGen	-0.1176031454760237
gse162632	original8	17	6	root_02	S	CPA	-0.33694723558883133
gse162632	original8	17	6	root_02	S	CellOT	-0.1297457302975684
gse162632	original8	17	6	root_02	M	NC	-0.342359951039915
gse162632	original8	17	6	root_02	M	CM	-0.2577292390326306
gse162632	original8	17	6	root_02	M	TW	-0.2576457313359588
gse162632	original8	17	6	root_02	M	PCA	-0.25648022737643006
gse162632	original8	17	6	root_02	M	RBF	-0.25748528480141747
gse162632	original8	17	6	root_02	M	scGen	-0.11760314547847248
gse162632	original8	17	6	root_02	M	CPA	-0.3369472355928352
gse162632	original8	17	6	root_02	M	CellOT	-0.1297457303053878
gse162632	original8	17	6	root_02	P	NC	-0.342359951039915
